### 存储容量
- 64 GB
- 128 GB
- 256 GB

### 功能支持
- YES
- YES
- YES
- YES

### 性能评分
- 10.0
- 9.0
- 9.0
- 9.0
- 9.0
- 10.0
- 10.0
- 9.0
- 10.0
- 9.0
- 10.0
- 10.0
- 10.0
- 9.0
- 10.0
- 10.0
- 10.0
- 10.0
- 10.0
- 10.0
- 10.0
- 9.0
- 10.0
- 10.0
- 9.0
- 9.0
- 10.0
- 10.0
- 10.0
- 10.0
- 10.0
- 10.0
- 10.0
- 10.0

### 故障率
- 2.71%
- 3.02%
- 7.31%
- 3.90%
- 2.85%
- 4.33%
- 1.44%
- 4.07%
- 5.47%
- 5.78%
- 1.18%
- 1.44%
- 5.39%
- 2.98%
- 3.98%
- 3.02%
- 1.09%
- 0.26%
- 1.31%
- 0.57%
- 2.80%
- 0.44%
- 0.84%
- 3.25%
- 4.99%
- 2.15%
- 1.84%
- 7.14%
- 1.31%
- 1.01%
- 1.88%
- 3.63%
- 4.78%
- 1.84%

### 市场份额
- 28%
- 13%
- 10%
- 19%
- 21%
- 4%
- 5%
- 0.15%
- 2%
- 27%
- 25%
- 33%
- 26%
- 15%
- 25%
- 19%
- 28%
- 13%
- 24%
- 21%
- 36%
- 38%
- 44%
- 37%
- 14%
- 17%
- 22%
- 28%
- 30%
- 30%
- 28%
- 29%
- 32%
- 25%

### 平均故障持续时间（秒）
- 35.9
- 23.8
- 13.8
- 22.4
- 28.2
- 5.3
- 6.4
- 2.3
- 2.6
- 36.8
- 28.5
- 43.5
- 18.7
- 17.9
- 26.7
- 28.0
- 48.4
- 38.8
- 44.8
- 33.0
- 46.6
- 61.1
- 49.6
- 38.0
- 19.6
- 24.6
- 54.2
- 58.1
- 65.1
- 90.2
- 61.7
- 57.8
- 70.9
- 79.3

### 细分讨论

#### 地理位置因素
在山区和沿海地区，基站长期被忽视且处于失修状态。在收集到的23.2亿次蜂窝故障中，绝大多数（>99%）包括数据设置错误、服务中断和数据停滞事件。其余的（<1%）主要与传统的短消息和语音呼叫服务有关，这些服务如今使用较少。例如，Android标记为RIL_SMS_SEND_FAIL_RETRY的短消息发送失败 [7]，其功能和技术已经稳定了近20年。

如图3所示，研究中的每部手机平均发生16次数据设置错误、14次数据停滞和3次服务中断事件。尽管大多数（95%）手机没有经历服务中断事件，但单部手机的最大服务中断次数高达102,696次。特别是，数据停滞故障导致所有收集到的蜂窝故障持续时间中的绝大部分（94%），这将在§3.2中解释并在§4.2中实际缓解。

#### Android手机全景
本部分深入探讨用户设备的硬件、软件和操作系统组件对蜂窝故障的影响，尤其是与新兴技术相关的影响。

直观上，使用高端手机应有助于减轻蜂窝故障，因为它们通常采用更可靠或更强大的硬件组件。然而，我们的测量结果表明情况恰恰相反：如图2和图5所示，蜂窝故障的发生率和频率随着硬件配置的提高而增加。为了澄清这一点，我们检查了每个特征（见表1）与蜂窝故障发生率和频率之间的相关性，发现两个特征，即5G能力和Android版本，对蜂窝故障的发生有显著影响。

34款手机中有4款配备了5G调制解调器，其中型号23和24具有典型的当前硬件配置，而型号33和34具有最佳配置。如图6和图7所示，5G手机上的蜂窝故障发生率和频率高于非5G手机。这表明新兴的5G通信模块对蜂窝连接的可靠性有负面影响，可能是由于它们在网络堆栈和系统内核中处理大量进出数据时带来的高工作负载，以及目前相对不成熟的生产状态。

**Android版本**：研究的34款手机使用的是Android 9或Android 10，分别于2018年8月和2019年9月发布。Android 11于2020年9月发布，因此未包含在我们的研究中（2020年1月至8月）。我们注意到，从Android 9升级到10的过程中，实现了许多新功能和性能改进[1]。尽管这些更新应该有利于用户，但我们意外地发现，Android 10手机上的蜂窝故障发生率和频率高于Android 9手机，如图8和图9所示。我们将此归因于Android 9更好的稳定性和鲁棒性，因为在我们的测量期间，Android 10仍在进行频繁的修复和补丁。

适应新兴的5G技术，Android 10增加了许多专用服务、网络功能和编程API[6]。虽然这些新功能可以实现诸如UHD视频流和AR/VR等高需求应用[24]，但从软件工程的角度来看，它们不可避免地带来了缺陷、风险和漏洞。

特别值得注意的是，在Android 10的RAT（无线电接入技术）选择策略中，5G被盲目优先于其他RAT，可能旨在最大化5G的潜在好处，尤其是其显著更高的峰值带宽。然而，这种策略可能导致严重的蜂窝故障。例如，当用户设备可以选择低接收信号强度（RSS）的5G连接或高RSS的4G连接时，优先使用5G可能会带来相当不稳定的蜂窝性能甚至蜂窝故障，尽管共存的4G连接可能具有更好的蜂窝性能。更糟糕的是，这种情况在日常生活中并不罕见，从而导致5G手机上出现大量蜂窝故障。

**数据设置错误分解**：当数据连接设置失败时，无线电接口会生成一个错误代码来描述Data_Setup_Error的原因，基于对发出的设置请求的响应（如果有）或执行的调制解调器命令的返回值。在Android中，定义了总共344个错误代码。表2列出了最常见的10个错误代码（排除误报）及其相应的含义和百分比。如所示，前10个代码占Data_Setup_Error故障的近一半（46.7%）。此外，我们发现这些错误代码及其相关原因非常多样，涵盖了物理层（例如SIGNAL_LOST和IRAT_HANDOVER_FAILED）、数据链路或MAC层（例如PPP_TIMEOUT）以及网络层（例如INVALID_EMM_STATE）发生的蜂窝故障。

**数据停滞恢复**：回想一下，在Android中，如果在过去的一分钟内有超过10个出站TCP段但没有任何入站TCP段，则会发生Data_Stall事件[5]。根据我们的测量，约40%的蜂窝故障是自动在几秒钟内修复的。

希望这些优化后的文本更加清晰、连贯和专业。如有进一步修改需求，请告知！
