### 术语定义与解释

**假冒 (Impersonation)**
- **定义**：假冒是指冒充他人的身份或在线账户，通常通过欺骗和会话重放机制实现。
- **特点**：这种攻击被视为比伪装更主动。

**实现攻击 (Implementation Attack)**
- **定义**：这种攻击类型利用密码学系统实现中的弱点，主要关注软件代码的利用。
- **范围**：不仅涉及错误与缺陷，还包括编写加密系统所使用的方法学。

**不恰当的行为 (Inappropriate Activities)**
- **定义**：指发生在计算机或IT基础设施上的行为活动，虽然不是实际犯罪，但通常需要内部处罚或开除。
- **示例**：包括生成或查看不当内容、性骚扰和种族歧视、浪费和滥用资源等。

**事故 (Incident)**
- **定义**：发生系统入侵的事件。

**增量备份 (Incremental Backup)**
- **定义**：只存储自最近一次完整备份或增量备份以来被修改过的文件，并指创建这种备份的过程。

**间接寻址 (Indirect Addressing)**
- **定义**：作为指令的一部分提供给CPU的存储器地址并不包含真实操作数，而是指向另一个存储器地址（可能位于不同的页面上）。
- **过程**：CPU从该地址中取出真实的操作数进行处理。

**工业控制系统 (Industrial Control System, ICS)**
- **定义**：一种用于控制工业生产过程和机器的计算机管理设备。
- **应用**：广泛应用于制造、装配、发电、配电、供水、污水处理、石油精炼等行业。
- **类型**：包括集散控制系统(DCS)、可编程逻辑控制器(PLC)和数据采集与监控系统(SCADA)。

**行业间谍活动 (Industrial Espionage)**
- **定义**：通过非法手段获取竞争对手信息的行为。

**推理 (Inference)**
- **定义**：这种攻击利用多个非敏感信息片段的组合，从而获得更高级分类的信息访问能力。

**推理引擎 (Inference Engine)**
- **定义**：专家系统的第二个主要构件，通过对知识库中的信息进行分析，做出正确决策。

**信息流模型 (Information Flow Model)**
- **定义**：专注于信息流的模型，无论信息流如何，都能确保维护和实施安全性。
- **基础**：以状态机模型为基础。

**信息隐藏 (Information Hiding)**
- **定义**：为了对某个主体隐藏数据，将数据和主体放置在不同的安全域。

**信息式策略 (Informative Policy)**
- **定义**：设计用于提供特定主体的信息或知识，如公司目标、任务描述或组织如何与合作伙伴和客户交流。
- **特点**：信息式策略不是强制执行的。

**基础设施即服务 (Infrastructure as a Service, IaaS)**
- **定义**：一种云计算概念，不仅可以提供按需操作的解决方案，还可以完全外包IT基础设施。

**基础设施模式 (Infrastructure Mode)**
- **定义**：无线网络配置，使用无线基站将所有无线设备连接到网络，并可能彼此连接。

**继承 (Inheritance)**
- **定义**：在面向对象编程环境中，一个类具有来自另一个类的一个或多个相同方法。
- **关系**：当一个类具有来自另一个类的一个或多个相同方法时，就说前者“继承了”这些方法。

**初始化向量 (Initialization Vector, IV)**
- **定义**：许多密码学解决方案使用的一种向量，通过增加输入的随机性来增强加密数据的强度。

**输入验证 (Input Validation)**
- **定义**：在处理接收的输入之前，检查、扫描、过滤或清理从用户（特别是通过互联网）接收的输入。

**电涌 (Inrush)**
- **定义**：电源开始时的电涌通常与所连接的电源有关，无论是主电源还是替换/辅助电源。

**实例 (Instance)**
- **定义**：在面向对象编程环境中，实例可以是类的对象、例子或表示。

**即时消息 (Instant Messaging, IM)**
- **定义**：一种机制，允许两个用户在互联网上的任何位置进行实时文字聊天。
