**版权 © 2017 日本电报电话株式会社**

**网络安全**
**NTT集团的人才培养**

**演讲者：**
- Takehiro Ozaki, NTT-CERT
- Mitsuhiro Hatada, NTT Com-SIRT

**关于我们**
- **Takehiro Ozaki**
  - NTT安全平台实验室
  - NTT-CERT高级研究员
  - NTT集团认证的安全专家
- **Mitsuhiro Hatada**
  - NTT通信公司
  - 网络安全与技术开发部门
  - 东京2020工作组成员
  - NTT Com-SIRT成员
  - NTT集团认证的首席安全专家
  - 博士生
  - MWS组织者
  - [http://www.iwsec.org/mws/2017/](http://www.iwsec.org/mws/2017/)

**议程**
- NTT集团的安全认证计划
  - NTT集团概述
  - 安全认证计划
  - 技术活动
  - 成功的关键
- NTT Com网络靶场
  - 概述
  - 场景开发
  - 培训案例
  - 经验教训

**NTT集团的秘密（信息管理等级：B级）**

**NTT集团的安全认证计划**

**NTT关联公司图示**

**CISO和CISO委员会**
- 各集团公司任命了CISO，并于2015年成立了集团CISO委员会。
- 促进各集团公司之间的安全信息共享。
- 加强安全运营和网络安全人才培养。

**几年前的网络安全状况**
- 全球：
  - 网络威胁变得更加复杂和多样化。
  - 网络攻击和数据泄露成为社会问题。
- 日本：
  - 网络人才短缺是一个严重的问题。
  - 2014年，日本政府机构估计，日本企业需要额外80,000名信息安全工程师。
- NTT集团：
  - 遭受了多次网络攻击和数据泄露事件。

**对安全专家的需求增加**
- 目标：到2020年培养10,000名安全专家。

**安全认证计划**
- 该计划始于2015年。
- 为什么进行认证？
  - 定义安全专家的类别、职位和级别。
  - 激励工程师在安全领域更加积极。
  - 统计安全专家的数量。

**安全专家类型/级别地图**

**各类别的定义**
- 安全管理咨询
- 安全监督
- 审计和评估
- 安全运营
- 监控操作员
- 运营支持人员
- 安全开发
- 架构师
- 工程师和研究员

**各级别资格**
- 高级：
  - 由集团CISO委员会成员、现有高级成员和大学教授组成的审批考试。
- 中级：
  - 工作经验
  - 公共/内部资格
  - 通过使用网络靶场的操作考试
- 初级：
  - 公共/内部资格
  - 通过在线讲座系统（Gacco）进行培训

**公共资格**
- 中级：
  - CISSP（注册信息系统安全专业人员）
  - GIAC（全球信息安全认证）（SANS）
  - CCIE Security（思科）
  - 日本认证之一

**当前的安全专家**
- 高级（30人）
- 中级（2,400人）
- 初级（28,000人）

**集团安全标志/许可证卡**
- 标志
- 许可证卡
- 设计理念：猫头鹰从古至今被誉为“森林的守护者”，象征着始终警觉的安全形象。

**在线安全培训**
- 由大学教授和实验室成员制作。
- 针对非安全人员的在线培训。
- 平台由NTT集团旗下公司提供。
- 课程名称：信息安全入门
- 开始日期：2015年7月
- 讲师：信息安全研究所的教授
- 学习方式：通过Gacco在线学习
- 学习时间：随时随地
- 内容形式：10分钟视频内容
- 支持设备：智能手机、平板电脑

**网络靶场培训**
- 技术动手培训
- 参训人员可以通过考试获得中级安全运营认证。
- 培训内容：
  - 第一天：网站被入侵
  - 第二天：数据泄露、鱼叉式网络钓鱼
  - 第三天：DDoS攻击
  - 第四天：培训回顾和考试
- 虚拟网络环境

**安全竞赛**
- NTT集团针对中级和初级水平专家的比赛。
- 与参与者交流。
- 高级成员的小组讨论和支持。
- 比赛概览：
  - 获胜者
  - 比赛现场氛围
  - 与同事一起解答多个问题
- 比赛形式：
  - CTF（夺旗赛）
  - 修复易受攻击的代码
- 参与者
  - Web服务器
  - 问题服务器
  - 答案/评分服务器
  - 其他服务器

---

希望这些优化后的文本能够更好地传达信息并提升整体的专业性和清晰度。
