### 联系信息

- **邮政编码**：100080
- **网页**：[http://www.oreilly.com.cn](http://www.oreilly.com.cn)
- **电子邮件**：PI:EMAIL

与本书相关的在线资源如下：

- **原书**：[http://www.oreilly.com/catalog/regex3/](http://www.oreilly.com/catalog/regex3/)
- **中文版**：[http://www.oreilly.com.cn/book.php?bn=978-7-121-04684-1](http://www.oreilly.com.cn/book.php?bn=978-7-121-04684-1)

### 出版社联系方式

- **公司名称**：北京博文视点资讯有限公司（武汉分部）
- **地址**：湖北省武汉市洪山区吴家湾邮科院路特1号湖北信息产业科技大厦1402室
- **邮政编码**：430074
- **电话**：(027) 87690813
- **传真**：(027) 87690813转817
- **网页**：[http://bo.csdn.net](http://bo.csdn.net)

**读者服务信箱**：
- **读者信箱**：PI:EMAIL
- **投稿信箱**：PI:EMAIL

---

## 目录

### 第1章 正则表达式入门
- 解决实际问题
- 作为编程语言的正则表达式
  - 以文件名做类比
  - 以语言做类比
- 正则表达式的思维框架
  - 对于有部分经验的读者
  - 检索文本文件：Egrep
    - Egrep元字符
    - 行的起始和结束
    - 字符组
    - 用点号匹配任意字符
    - 多选结构
    - 忽略大小写
    - 单词分界符
    - 小结
    - 可选项元素
    - 其他量词：重复出现
    - 括号及反向引用
    - 神奇的转义
    - 基础知识拓展
      - 语言的差异
      - 正则表达式的目标
    - 更多的例子
    - 正则表达式术语汇总
    - 改进现状
    - 总结
    - 一家之言

### 第2章 入门示例拓展
- 关于这些例子
- Perl简单入门
- 使用正则表达式匹配文本
- 向更实用的程序前进
- 成功匹配的副作用
- 错综复杂的正则表达式
- 暂停片刻
- 使用正则表达式修改文本
  - 例子：公函生成程序
  - 举例：修整股票价格
  - 自动的编辑操作
  - 处理邮件的小工具
  - 用环视功能为数值添加逗号
  - Text-to-HTML转换
  - 回到单词重复问题

### 第3章 正则表达式的特性和流派概览
- 在正则的世界中漫步
  - 正则表达式的起源
  - 最初印象
  - 正则表达式的注意事项和处理方式
    - 集成式处理
    - 程序式处理和面向对象式处理
    - 查找和替换
    - 其他语言中的查找和替换
    - 注意事项和处理方式：小结
    - 字符串，字符编码和匹配模式
      - 作为正则表达式的字符串
      - 字符编码
      - Unicode
      - 正则模式和匹配模式
    - 常用的元字符和特性
      - 字符表示法
      - 字符组及相关结构
      - 锚点及其他“零长度断言”
      - 注释和模式修饰符
      - 分组，捕获，条件判断和控制
      - 高级话题引导

### 第4章 表达式的匹配原理
- 发动引擎
  - 两类引擎
  - 新的标准
  - 正则引擎的分类
  - 几句题外话
  - 测试引擎的类型
- 匹配的基础
  - 关于范例
  - 规则1：优先选择最左端的匹配结果
  - 引擎的构造
  - 规则2：标准量词是匹配优先的
  - 表达式主导与文本主导
    - NFA引擎：表达式主导
    - DFA引擎：文本主导
    - 第一想法：比较NFA与DFA
    - 回溯
    - 真实世界中的例子：面包屑
    - 回溯的两个要点
    - 备用状态
    - 回溯与匹配优先
    - 关于匹配优先和回溯的更多内容
    - 匹配优先的问题
    - 多字符“引文”
    - 使用忽略优先量词
    - 匹配优先和忽略优先都期望获得匹配
    - 匹配优先、忽略优先和回溯的要旨
    - 占有优先量词和固化分组
    - 占有优先量词，?+、*+、++和{m,n}+
    - 环视中的回溯
    - 多选结构也是匹配优先的吗
    - 发掘有序多选结构的价值
- NFA、DFA 和 POSIX
  - 最左最长规则
  - POSIX和最左最长规则
  - 速度和效率
  - 小结：NFA与DFA的比较
  - 总结

### 第5章 正则表达式实用技巧
- 正则表达式的平衡法则
- 若干简单的例子
- 匹配连续行（续前）

---

这样优化后的文本更加清晰、连贯和专业。希望这对你有帮助！
