# 3月13日安全热点 – 通过扬声器和耳机从PC窃取数据

## 译文声明
本文为翻译文章，仅供参考。具体内容及含义以原文为准。

## 资讯类

### 通过扬声器和耳机从PC窃取数据
- [详细报道](https://www.bleepingcomputer.com/news/security/data-exfiltration-technique-steals-data-from-pcs-using-speakers-headphones/)

### 四大恶意软件威胁中有三个是浏览器内加密矿工
- [详细报道](https://www.darkreading.com/vulnerabilities--threats/malware-leveraging-powershell-grew-432–in-2017/d/d-id/1331255)

### 医院黑客：默认密码和未打补丁的设备使医疗保健器械面临风险
- [详细报道](https://www.darkreading.com/vulnerabilities--threats/hospital-hackers-default-passwords-unpatched-devices-put-medical-equipment-at-risk/a/d-id/1331256)

### 2017年利用PowerShell的恶意软件增长了432%
- [详细报道](https://www.darkreading.com/vulnerabilities--threats/malware-leveraging-powershell-grew-432–in-2017/d/d-id/1331255)

### 2月份最受欢迎的恶意软件：加密恶意软件深入企业计算资源
- [详细报道](https://www.darkreading.com/vulnerabilities--threats/top-malware-of-february-cryptomining-malware-deepens-in-enterprise-compute-resources/a/d-id/1331257)

## 技术类

### WPS Office Free 10.2.0.5978 本地权限提升或拒绝服务漏洞
- [详细报道](https://www.example.com/wps-office-vulnerability)

### SecurEnvoy SecurMail爆出多个严重漏洞
- [详细报道](https://www.example.com/securmail-vulnerabilities)

### 对JSON Web Services的Fuzz研究
- [详细报道](https://www.example.com/json-web-services-fuzzing)

### 浅谈企业内部安全漏洞的运营(一)——规范化
- [详细报道](https://www.example.com/internal-security-vulnerabilities-management)

### 在中东和亚洲中部的新行动——可能与“MuddyWater”行动有联系
- [详细报道](https://www.example.com/new-campaign-middle-east-central-asia)

### 编写C#查询证书域名小工具
- [详细报道](https://www.example.com/csharp-tool-for-certificates)

### 有人在看！当相机不仅仅是“聪明”
- [详细报道](https://www.example.com/smart-camera-surveillance)

### ezXSS——测试（盲）XSS的简单方法
- [详细报道](https://www.example.com/ezxss-cross-site-scripting)

### Docker安全审计工具
- [GitHub项目链接](https://github.com/bbb31/dprobe)

希望这些优化后的条目能帮助您更好地理解每一条资讯和技术内容。如果有更多需要修改的地方，请随时告知。
