### 企业API的识别与攻击

#### 攻击者如何识别企业的API？

**步骤1：扫描典型主机名**
- 主机名：
  - `auth.`
  - `api.`
  - `developer.`
  - `download.`
- IP地址：
  - `xxx.xxx.xxx.xxxx`
  - `xx.xxx.xxx.xxx`
  - `xxx.xxx.xxx.xxx`
  - `xxx.xxx.xxx.xxx`

**步骤2：反向解析±10个IP地址**
- 通过反向解析这些IP地址，攻击者可以获取更多的主机名。

**工具示例：**
- **Fierce**：一个域名发现工具。
- **Gitrob**：用于在GitHub上发现并移除敏感数据。它可以通过单位搜索来标记感兴趣的内容，如私钥、用户名、邮件地址和内部系统信息。

这些工具可以帮助攻击者识别企业网络内部的信息，从而用于API攻击、网络钓鱼活动和社会工程攻击。

**来源**：[Gitrob: Putting the Open Source in OSINT](https://michenriksen.com/blog/gitrob-putting-the-open-source-in-osint/)

### 微服务架构下的API攻击案例
- 在GitHub上发布的共享代码样本中可能包含敏感的API密钥。
- 利用这些API密钥，攻击者可以获得未认证的访问权限。

### API安全策略
- **传统方法**：
  - 访问控制
  - 基于签名的安全
  - 流量限制
  - 可见性
  - API治理
  - 加密
  - 基于签名的方法
- **现有API安全策略**：
  - API测试
  - 应用安全
  - 现有差距

### 调查问卷
- 您单位现有的API安全策略包括哪些方面？
  - 访问控制
  - 基于签名的安全
  - 流量限制
  - 可见性
  - API治理

### API安全的重要性
- 与传统的Web应用程序相比，API往往会公开更多的端点，因此制定适当的和更新的资源清单非常重要。
- 引用：OWASP API Security Project

### API安全从可见性开始
- **防护**：基于API的DDoS和注入攻击防护，实施API的认证和授权。
- **保护和管理**：自动检测流量，发现未被保护的API端点，并提供可行性的工作流程来快速应用防护措施。
- **交付**：提升API流量的规模和性能。
- **发现**：优化流量，优先处理超载问题，进行峰值事件的API性能负载测试。
- **响应**：快速应对针对系统和应用的API攻击，避免宕机时间和数据窃取。

### 抵御API威胁，降低API风险
- **挑战**：
  - API泄露
  - 凭证滥用
  - 授权和认证
  - API搜刮和数据窃取
- **最佳实践**：
  - 使用高级bot检测（登录确认）
  - 使用API网关进行认证、授权和API访问管理
  - WAF的主动和被动防御模型（API规则检测）
  - API流量行为发现，提供快速WAF/DDoS集成

### Akamai解决方案
- **概述**：
  - 合法流量和恶意流量通过Akamai智能边缘平台访问API服务。
  - 边缘服务器自动检测和防护应用层DDoS攻击。
  - 利用Akamai平台的威胁情报对攻击行为打分并采取相应措施。
  - Bot Manager防护利用API产生的爬虫类攻击。
  - SSL/TLS加密保证传输过程中敏感数据不外泄。
  - API网关验证API请求确保合法用户访问API资源。
  - 边缘API缓存提高性能并减少基础设施和带宽成本。
  - 实时获取、保留并传递安全信息和事件到SIEM平台。
  - 自动检测API请求中的恶意内容并进行阻断，根据API规范保护数据获取和插入。

### API安全检查表
- **API生态**
- **聚焦测试**
- **发布和回退设计和策略**
- **用户身份**
- **DoS/DDoS**
- **主动和被动防御模式**
- **通过API管理来优化API安全**
- **风险评估**
- **API测量**
- **API审计**

### 资料下载
- [How Akamai Helps to Mitigate the OWASP API Security Top 10 Vulnerabilities](https://www.akamai.com/us/en/multimedia/documents/white-paper/how-akamai-helps-to-mitigate-the-owasp-api-security.pdf)
- [Web 应用程序和 API 保护功能检查清单](https://www.akamai.com/cn/zh/multimedia/documents/white-paper/web-application-and-api-protection-capabilities-checklist.pdf)
- [Strategies for API Security](https://www.akamai.com/us/en/multimedia/documents/white-paper/akamai-strategies-for-api-security-white-paper.pdf)
- [加速、保护以及管理 API](https://www.akamai.com/cn/zh/solutions/performance/apis.jsp)
- [Akamai最新一期互联网现状报告](https://www.akamai.com/cn/zh/multimedia/documents/state-of-the-internet/soti-security-phishing-for-finance-report-2021.pdf)

### 更多信息
- 关注二维码，了解更多信息。

© 2021 Akamai | Confidential
