以下是优化后的文本，使其更加清晰、连贯和专业：

---

### 2018年10月网络安全文章概览

- **10月25日**
  - [在Weblogic中发现并利用XXE漏洞（CVE-2018-3246）](https://www.freebuf.com/vuls/186862.html)
  - [安全研究报告：传真机的攻击面分析](https://www.freebuf.com/articles/paper/186769.html)

- **10月26日**
  - [双十一前夕电商行业黑灰产活动研究报告](https://www.freebuf.com/articles/es/187600.html)
  - [WannaMine僵尸网络的新动向：伪装被美国土安全部查封](https://www.freebuf.com/articles/paper/187295.html)

- **10月27日**
  - [应用日活增长背后的黑产狂欢：安卓拉活病毒研究](https://www.freebuf.com/articles/wireless/187268.html)
  - [ANDRAX：最新的Android智能手机渗透测试平台](https://www.freebuf.com/sectool/187100.html)
  - [病毒史上的六个奇特案例：逼迫用户玩游戏、装萌卖可爱等](https://blog.trendmicro.com.tw/?p=57744)

- **10月28日**
  - [保护SSH端口安全性的多种方法介绍](https://www.freebuf.com/articles/network/185956.html)
  - [JBoss高危漏洞分析：打开潘多拉魔盒](https://www.freebuf.com/vuls/186948.html)
  - [赛门铁克邮件网关身份验证绕过漏洞（CVE-2018-12242）分析](https://www.freebuf.com/vuls/187052.html)

- **10月29日**
  - [ZombieboyMiner（僵尸男孩矿工）控制7万台电脑挖门罗币](https://www.freebuf.com/articles/paper/187556.html)

- **10月30日**
  - [十种进程注入技术及其趋势调查](https://www.freebuf.com/articles/system/187239.html)
  - [收到“来自自己”的敲诈邮件，请不要惊慌](https://www.freebuf.com/articles/network/187522.html)
  - [Fallout Exploit Kit发布Kraken勒索软件](https://securingtomorrow.mcafee.com/mcafee-labs/fallout-exploit-kit-releases-the-kraken-ransomware-on-its-victims/)

- **10月31日**
  - [phpStudy一键安装隐藏隐患：批量入侵事件分析与溯源](https://www.freebuf.com/articles/system/187653.html)
  - [iOS 12.1新发布的密码绕过漏洞](http://hackernews.cc/archives/24341)
  - [如何使用serviceFu工具远程收集服务帐户凭据](https://www.freebuf.com/sectool/187241.html)

### 2018年11月网络安全文章概览

- **11月1日**
  - [自动化反弹Shell防御技术](https://www.freebuf.com/articles/system/187584.html)
  - [低功耗蓝牙（BLE）攻击分析](https://www.freebuf.com/articles/wireless/187843.html)

- **11月2日**
  - [Linux应急响应：黑客小动作导致的大问题](https://www.freebuf.com/articles/terminal/187842.html)
  - [BCMUPnP_Hunter：疑似10万节点级别的僵尸网络滥用家用路由器发送垃圾邮件](http://blog.netlab.360.com/bcmupnp_hunter-a-100k-botnet-is-seeming-abusing-home-routers-for-spam-emails/)
  - [隐藏套件：虚假身份与特殊后门](https://www.freebuf.com/articles/network/188364.html)
  - [Gartner 2018年十大安全项目详解](https://www.freebuf.com/articles/paper/188284.html)

- **11月3日**
  - [交易所漏洞分析：薅羊毛现象探讨](https://www.freebuf.com/articles/blockchain-articles/188030.html)
  - [2018年游戏行业安全监测报告及五大攻击趋势](https://www.freebuf.com/articles/paper/188153.html)

- **11月4日**
  - [Blackout勒索病毒再度来袭](https://www.freebuf.com/articles/terminal/188046.html)

- **11月5日**
  - [MacOS再次出现漏洞，号称牢不可破的系统也有弱点](https://www.freebuf.com/news/188168.html)
  - [开源Botnet框架Byob分析](https://www.freebuf.com/sectool/187819.html)

- **11月6日**
  - [T级攻击态势下的DDoS高防IP系统架构解析](https://www.freebuf.com/articles/network/188199.html)
  - [银行木马Trickbot新模块：密码抓取器分析](https://www.freebuf.com/vuls/188295.html)
  - [bscan：信息收集和服务枚举工具](https://www.freebuf.com/sectool/188149.html)

- **11月7日**
  - [Linux下的Rootkit驻留技术分析](https://www.freebuf.com/articles/system/188211.html)
  - [2018年上半年物联网恶意活动&僵尸网络数据摘要](https://www.freebuf.com/news/188339.html)
  - [卡巴斯基2018 Q3全球DDoS攻击分析报告](https://www.freebuf.com/articles/network/188212.html)

- **11月8日**
