# G0032: Lazarus Group
## Description
The [Lazarus Group](https://attack.mitre.org/groups/G0032) is a threat actor attributed to the North Korean government, as reported by US-CERT in June 2017 (Citation: US-CERT HIDDEN COBRA June 2017). Active since at least 2009, the group has been linked to several high-profile cyberattacks, including the destructive wiper attack on Sony Pictures Entertainment in November 2014, which was part of a campaign named Operation Blockbuster by Novetta. The malware used by the [Lazarus Group](https://attack.mitre.org/groups/G0032) correlates with other campaigns such as Operation Flame, Operation 1Mission, Operation Troy, DarkSeoul, and Ten Days of Rain (Citation: Novetta Blockbuster). In late 2017, the group employed KillDisk, a disk-wiping tool, in an attack on a Central American online casino (Citation: Lazarus KillDisk).

Definitions of North Korean threat groups often overlap, and the name [Lazarus Group](https://attack.mitre.org/groups/G0032) is sometimes used broadly to encompass a wide range of activities. Some organizations use "Lazarus Group" to refer to any activity attributed to North Korea (Citation: US-CERT HIDDEN COBRA June 2017). Other organizations track specific North Korean clusters or groups, such as Bluenoroff, [APT37](https://attack.mitre.org/groups/G0067), and [APT38](https://attack.mitre.org/groups/G0082), separately (Citation: Kaspersky Lazarus Under The Hood Blog 2017).

## Tactics, Techniques, and Procedures (TTPs)
|Platform|Tactic|Technique|Description|Data Sources|
|---|---|---|---|---|
|Linux, macOS, Windows|[Impact](https://attack.mitre.org/tactics/impact/) |[System Shutdown/Reboot](https://attack.mitre.org/techniques/T1529/) |The [Lazarus Group](https://attack.mitre.org/groups/G0032) reboots systems after destroying files and wiping the MBR on infected systems. |Windows event logs, Process command-line parameters, Process monitoring|
|Linux, macOS, Windows, AWS, GCP, Azure|[Impact](https://attack.mitre.org/tactics/impact/) |[Resource Hijacking](https://attack.mitre.org/techniques/T1496/) |Subgroups like Bluenoroff, associated with [Lazarus Group](https://attack.mitre.org/groups/G0032), have used cryptocurrency mining software on victim machines. |Azure activity logs, Stackdriver logs, AWS CloudTrail logs, Process use of network, Process monitoring, Network protocol analysis, Network device logs|
|Linux, macOS, Windows|[Impact](https://attack.mitre.org/tactics/impact/) |[Data Destruction](https://attack.mitre.org/techniques/T1485/) |[Lazarus Group](https://attack.mitre.org/groups/G0032) uses a custom secure delete function to overwrite file contents with data from heap memory. |File monitoring, Process command-line parameters, Process monitoring|
|Linux, macOS, Windows|[Impact](https://attack.mitre.org/tactics/impact/) |[Disk Content Wipe](https://attack.mitre.org/techniques/T1488/) |[Lazarus Group](https://attack.mitre.org/groups/G0032) employs malware like WhiskeyAlfa to overwrite the first 64MB of every drive with a mix of static and random buffers. Similar processes are used to wipe content in logical drives and every byte of every sector on every drive. WhiskeyBravo overwrites the first 4.9MB of physical drives, while WhiskeyDelta overwrites the first 132MB or 1.5MB of each drive with random data from heap memory. |Kernel drivers, Process monitoring, Process command-line parameters|
|Windows, macOS, Linux|[Impact](https://attack.mitre.org/tactics/impact/) |[Disk Structure Wipe](https://attack.mitre.org/techniques/T1487/) |[Lazarus Group](https://attack.mitre.org/groups/G0032) malware, SHARPKNOT, overwrites and deletes the Master Boot Record (MBR) on the victim's machine. The group has possessed MBR wiper malware since at least 2009. |Kernel drivers, MBR|
|Windows|[Impact](https://attack.mitre.org/tactics/impact/) |[Service Stop](https://attack.mitre.org/techniques/T1489/) |[Lazarus Group](https://attack.mitre.org/groups/G0032) stops the MSExchangeIS service to render Exchange contents inaccessible to users. |Process command-line parameters, Process monitoring, Windows Registry, API monitoring|
|Windows, Linux, macOS, SaaS|[Initial Access](https://attack.mitre.org/tactics/initial-access/) |[Drive-by Compromise](https://attack.mitre.org/techniques/T1189/) |[Lazarus Group](https://attack.mitre.org/groups/G0032) delivers [RATANKBA](https://attack.mitre.org/software/S0241) to victims via compromised legitimate websites. |Packet capture, Network device logs, Process use of network, Web proxy, Network intrusion detection system, SSL/TLS inspection|
|Windows|[Defense Evasion, Execution](https://attack.mitre.org/tactics/defense-evasion/, https://attack.mitre.org/tactics/execution/) |[Compiled HTML File](https://attack.mitre.org/techniques/T1223/) |[Lazarus Group](https://attack.mitre.org/groups/G0032) uses CHM files to move concealed payloads. |File monitoring, Process monitoring, Process command-line parameters|
|Windows, Linux, macOS|[Credential Access](https://attack.mitre.org/tactics/credential-access/) |[Credential Dumping](https://attack.mitre.org/techniques/T1003/) |[Lazarus Group](https://attack.mitre.org/groups/G0032) leverages [Mimikatz](https://attack.mitre.org/software/S0002) to extract Windows credentials of currently logged-in users and steal passwords stored in browsers. |API monitoring, Process monitoring, PowerShell logs, Process command-line parameters|
