# 目录

## 第18章 系统恢复与容错能力

### 18.1 设施故障
- **页码**: 539

### 18.2 理解系统恢复和容错能力
- **页码**: 541
  - **18.2.1 保护硬盘驱动器**
    - **页码**: 542
  - **18.2.2 保护服务器**
    - **页码**: 542
  - **18.2.3 保护电源**
    - **页码**: 543
  - **18.2.4 受信恢复**
    - **页码**: 544
  - **18.2.5 服务质量**
    - **页码**: 545

### 18.3 恢复策略
- **页码**: 545
  - **18.3.1 确定业务单元的优先顺序**
    - **页码**: 546
  - **18.3.2 危机管理**
    - **页码**: 546
  - **18.3.3 应急通信**
    - **页码**: 547
  - **18.3.4 工作组恢复**
    - **页码**: 547
  - **18.3.5 可替代的工作站点**
    - **页码**: 547
  - **18.3.6 相互援助协议**
    - **页码**: 550
  - **18.3.7 数据库恢复**
    - **页码**: 551

### 18.4 恢复计划开发
- **页码**: 552
  - **18.4.1 紧急事件响应**
    - **页码**: 552
  - **18.4.2 人员通知**
    - **页码**: 553
  - **18.4.3 评估**
    - **页码**: 553
  - **18.4.4 备份和离站存储**
    - **页码**: 553
  - **18.4.5 软件托管协议**
    - **页码**: 556
  - **18.4.6 外部通信**
    - **页码**: 556
  - **18.4.7 公用设施**
    - **页码**: 557
  - **18.4.8 物流和供应**
    - **页码**: 557
  - **18.4.9 恢复与还原的比较**
    - **页码**: 557

### 18.5 培训、意识与文档记录
- **页码**: 558

### 18.6 测试与维护
- **页码**: 558
  - **18.6.1 通读测试**
    - **页码**: 558
  - **18.6.2 结构化演练**
    - **页码**: 559
  - **18.6.3 模拟测试**
    - **页码**: 559
  - **18.6.4 并行测试**
    - **页码**: 559
  - **18.6.5 完全中断测试**
    - **页码**: 559
  - **18.6.6 维护**
    - **页码**: 559

### 18.7 总结
- **页码**: 560

### 18.8 考试要点
- **页码**: 560

### 18.9 书面实验
- **页码**: 561

### 18.10 复习题
- **页码**: 561

## 第19章 事件与道德规范

### 19.1 调查
- **页码**: 565
  - **19.1.1 调查的类型**
    - **页码**: 566
  - **19.1.2 证据**
    - **页码**: 567
  - **19.1.3 调查过程**
    - **页码**: 570

### 19.2 计算机犯罪的主要类别
- **页码**: 571
  - **19.2.1 军事和情报攻击**
    - **页码**: 571
  - **19.2.2 商业攻击**
    - **页码**: 572
  - **19.2.3 财务攻击**
    - **页码**: 572
  - **19.2.4 恐怖攻击**
    - **页码**: 573
  - **19.2.5 恶意攻击**
    - **页码**: 573
  - **19.2.6 兴奋攻击**
    - **页码**: 574

### 19.3 事故处理
- **页码**: 575
  - **19.3.1 常见的事故类型**
    - **页码**: 575
  - **19.3.2 响应团队**
    - **页码**: 576
  - **19.3.3 事故响应过程**
    - **页码**: 578
  - **19.3.4 约谈个人**
    - **页码**: 580
  - **19.3.5 事故数据的完整性和保存**
    - **页码**: 580
  - **19.3.6 事故报告**
    - **页码**: 580

### 19.4 道德规范
- **页码**: 581
  - **19.4.1 (ISC)2的道德规范**
    - **页码**: 582
  - **19.4.2 道德规范和互联网**
    - **页码**: 582

### 19.5 本章小结
- **页码**: 583

### 19.6 考试要点
- **页码**: 584

### 19.7 书面实验室
- **页码**: 585

### 19.8 复习题
- **页码**: 585

## 第20章 软件开发安全

### 20.1 系统开发控制概述
- **页码**: 589
  - **20.1.1 软件开发**
    - **页码**: 590
  - **20.1.2 系统开发生命周期**
    - **页码**: 593
  - **20.1.3 生命周期模型**
    - **页码**: 595
  - **20.1.4 甘特图与PERT**
    - **页码**: 600
  - **20.1.5 变更和配置管理**
    - **页码**: 600
  - **20.1.6 DevOps方法**
    - **页码**: 601
  - **20.1.7 应用编程接口**
    - **页码**: 602
  - **20.1.8 软件测试**
    - **页码**: 603
  - **20.1.9 代码仓库**
    - **页码**: 604
  - **20.1.10 服务等级协议**
    - **页码**: 604
  - **20.1.11 软件采购**
    - **页码**: 605

### 20.2 创建数据库和数据仓储
- **页码**: 605
  - **20.2.1 数据库管理系统的体系结构**
    - **页码**: 605
  - **20.2.2 数据库事务**
    - **页码**: 608
  - **20.2.3 多级数据库的安全性**
    - **页码**: 609
  - **20.2.4 ODBC**
    - **页码**: 610

### 20.3 存储数据和信息
- **页码**: 611
  - **20.3.1 存储器的类型**
    - **页码**: 611
  - **20.3.2 存储器威胁**
    - **页码**: 612

### 20.4 理解基于知识的系统
- **页码**: 612
  - **20.4.1 专家系统**
    - **页码**: 612
  - **20.4.2 神经网络**
    - **页码**: 613
  - **20.4.3 决策支持系统**
    - **页码**: 613
  - **20.4.4 安全性应用**
    - **页码**: 614

### 20.5 本章小结
- **页码**: 614

### 20.6 考试要点
- **页码**: 614

### 20.7 书面实验室
- **页码**: 615

### 20.8 复习题
- **页码**: 615

## 第21章 恶意代码与应用攻击

### 21.1 恶意代码
- **页码**: 619
  - **21.1.1 恶意代码的来源**
    - **页码**: 620
  - **21.1.2 病毒**
    - **页码**: 620
  - **21.1.3 逻辑炸弹**
    - **页码**: 624
  - **21.1.4 特洛伊木马**
    - **页码**: 624
  - **21.1.5 蠕虫**
    - **页码**: 625
  - **21.1.6 间谍软件与广告软件**
    - **页码**: 627
  - **21.1.7 对策**
    - **页码**: 628

### 21.2 密码攻击
- **页码**: 629
  - **21.2.1 密码猜测攻击**
    - **页码**: 629
  - **21.2.2 字典攻击**
    - **页码**: 630
  - **21.2.3 社会工程学攻击**
    - **页码**: 630
  - **21.2.4 对策**
    - **页码**: 631

### 21.3 应用程序攻击
- **页码**: 631
  - **21.3.1 缓冲区溢出**
    - **页码**: 632
  - **21.3.2 检验时间到使用时间**
    - **页码**: 632
  - **21.3.3 后门**
    - **页码**: 632
  - **21.3.4 权限提升和rootkit**
    - **页码**: 633

### 21.4 Web应用的安全性
- **页码**: 633
  - **21.4.1 跨站脚本(XSS)攻击**
    - **页码**: 633

希望这能帮助你更好地组织和理解这些章节的内容。如果有任何进一步的需求，请随时告知！
