互联网2.0公司要想实现盈利，需要具备独特的商业模式，而不能仅仅依赖于传统互联网公司的广告模式。以Facebook为例，它作为一个虚拟社会平台，其发展路径应该借鉴商品经济的规律。实际上，在虚拟社会中也存在商品经济，因此Facebook无需复制Google的商业模式。在中国，游戏网站的道具销售、腾讯的虚拟物品交易以及Q币这种在线支付手段都是具有创新性的盈利模式。从本质上讲，Q币并非无价值的虚拟货币，而是作为一种购买增值服务或虚拟商品的在线支付方式。通过这些虚拟社会中的增值服务和虚拟商品，腾讯成为中国最赚钱的互联网公司之一。

然而，如果Facebook直接模仿腾讯的商业模式，是否能成为全球最盈利的互联网公司呢？答案可能是否定的。这是因为Facebook更像是一个开放且不与第三方服务提供商竞争的平台，其上的增值服务并不完全属于自身。这种情况类似于免费版Linux，尽管用户众多，但收入却远低于垄断性较强的微软。但是，有一项业务或许能让Facebook跃升为信息产业的领头羊——在线支付。既然人们在虚拟世界里需要制作和消费虚拟物品及服务，那么相应的虚拟金融体系也就不可或缺。而Facebook正是构建这一虚拟金融帝国的理想选择，并有可能逐步扩展至现实世界。鉴于美国金融系统相对开放，对于Facebook来说推出类似PayPal的在线支付工具并非难事。也许相较于广告业务，在线支付领域更能推动Facebook的发展。

作为一股新兴力量，互联网2.0公司正深刻影响着整个行业生态链。我认为更恰当的说法是将其视为互联网发展历程中的一次成功进化而非彻底变革（英语中"evolution"与"revolution"仅一字之差）。互联网2.0使整个产业链分工更加明确清晰，但它与1.0版本之间并不存在根本性差异，后者完全可以演变为前者。这也解释了为何除了Facebook之外，纯粹的互联网2.0企业很难取得最终成功：像Google这样的巨头可以迅速将2.0元素融入自身服务体系并建立专属平台，从而挤压了其他2.0企业的生存空间。

在中国市场，这一现象尤为明显。腾讯就是一个很好的例子，这家原本依靠即时通讯软件QQ起家的企业，在经历了数年之后不仅成功转型为典型的互联网2.0代表，还打造出了自己的2.0平台Qzone。如今，中国几乎不可能再出现新的重要互联网2.0公司，就像微软崛起后客户端软件领域鲜有新面孔一样。即便是现存的一些仍标榜自己为2.0的企业，也大多退化成了简单的视频分享站点或社交网络，重新回到了1.0阶段。同样的情况也出现在新浪微博身上，使得中国难以孕育出本土化的Twitter。因此，在中国，互联网2.0往往只是为他人做嫁衣裳。

除与1.0版本过于相似外，互联网2.0企业还面临着来自电子商务公司的巨大挑战。毕竟，电子商务才是驱动互联网经济发展的最强劲动力之一。既然如此，直接涉足电商或许是线上赚钱的最佳途径。在中国，阿里巴巴已经成长为整合了批发、零售乃至支付功能的全球领先电商平台。值得注意的是，互联网领域的商业机会总量是有限的，在行业发展初期可能会有多种模式共存竞争，但一旦某些模式占据主导地位后，其余模式便很难再有所作为。互联网2.0所倡导的新模式实际上正在与包括Google、腾讯、亚马逊以及阿里巴巴在内的众多现有模式展开激烈较量。

由于商业模式尚未完全成熟，我们目前还没有看到互联网2.0能够彻底颠覆现有格局。因此，我更倾向于将其视作一种渐进式的演变过程。

### 结论

我们可以从三个维度来理解互联网2.0：
- 从技术角度来看，它并没有带来革命性的突破。
- 从用户体验角度来看，确实引发了一场使用习惯上的革新。
- 从商业逻辑角度来看，则是对整个生态系统的一次优化调整，并有可能催生出全新的商机。

### 互联网2.0里程碑
- **1998年**：Blogger成立，博客时代开启。
- **2001年**：维基百科上线，在线百科全书时代开始。
- **2003年**：Facebook创立，标志着社交网络时代的到来。
- **2006年**：Google收购YouTube，中国视频分享网站随之涌现。
- **2008年**：Twitter诞生，微博客潮流兴起。
- **2009年**：Facebook流量超越Google，成为全球访问量最大的网站；随后一年内，中国各大门户网站纷纷推出微博服务。
