### DCCS Reviewers

**Authors:**

- Abdelwahed, Sherif
- Abraham, Jacob
- Ademaj, Astrit
- Agbaria, Adnan
- Ahamad, Mustaque
- Aida, Masaki
- Aiyer, Amitanand
- Albinet, Arnaud
- Alessandri, Dominique
- Alvisi, Lorenzo
- Amir, Yair
- Amoroso, Alessandro
- Anceaume, Emmanuelle
- Araujo, Filipe
- Arlat, Jean
- Astley, Mark
- Attie, Paul
- Atiya, Hagit
- Avizienis, Algirdas
- Avoine, Gildas
- Ayalvadi, Ganesh
- Ayari, Brahim
- Badger, Lee
- Badishi, Gal
- Bailey, Michael
- Baldoni, Roberto
- Balogh, András
- Banatre, Michel
- Banks, David
- Bartha, Tamás
- Bartlett, Wendy
- Basile, Claudio
- Battistelli, Francesco
- Baxter, Ira
- Beck, Micah
- Belli, Fevzi
- Beraldi, Roberto
- Bergmann, Kathryn
- Bernardeschi, Cinzia
- Bertolino, Antonia
- Bertossi, Alan
- Besnard, Denis
- Bhola, Sumeer
- Blanc, Sara
- Blough, Doug
- Bode, Arndt
- Boulkenafed, Malika
- Brar, Gurashish
- Brasileiro, Francisco
- Brown, Lawrie
- Burns, Randal
- Buzato, Luiz
- Cachin, Christian
- Cai, Xia
- Campelo, Jose-Carlos
- Canonico, Roberto
- Cao, Fengyun
- Cartigny, Julien
- Casimiro, António
- Chan, Pik Wah
- Chan, Chi-Bun
- Chen, Yinong
- Chen, Peter
- Chen, Y.Y.
- Chessa, Stefano
- Cheswick, Bill
- Chiaradonna, Silvano
- Chinchani, Ramkumar
- Chockler, Gregory V.
- Cilardo, Alessandro
- Dal Cin, Mario
- Cinque, Marcello
- Cirio, Diego
- Clement, Allen
- Coccoli, Andrea
- Colwell, Bob
- Constantinescu, Cristian
- Cook, Nick
- Cooke, Evan
- Coppola, Paolo
- Coppolino, Luigi
- Coronato, Antonio
- Correia, Miguel
- Cotroneo, Domenico
- Csertán, György
- Cukic, Bojan
- Cukier, Michel
- Cunha, João Carlos
- Dacier, Marc
- Danilov, Claudiu
- Dass, Sarat
- De Lemos, Rogério
- De Prisco, Roberto
- Debray, Saumya
- Deconinck, Geert
- Defago, Xavier
- Dekel, Eliezer
- Delporte-Gallet, Carole
- Desovski, Dejan
- Deswarte, Yves
- Detweiler, Mark
