以下是优化后的文本，使其更加清晰、连贯和专业：

---

### 登录记录

1. **用户：rizhiyi**
   - **终端**：pts/1
   - **源IP**：222.128.87.64
   - **地理位置**：
     - **国家**：日本
     - **省份**：北海道
     - **城市**：未知
     - **经度**：142.869541
     - **纬度**：43.225063
     - **ISP**：odn.ne.jp
   - **登录时间**：2021年8月2日 15:20
   - **使用时长**：4小时48分钟
   - **主机名**：VM_16_9_centos
   - **内部IP**：172.21.16.9
   - **事件时间戳**：1701860622529
   - **上下文ID**：1701860622529365545
   - **文档ID**：AYw-zEDBu625wSnN_d3B

2. **用户：root**
   - **终端**：pts/7
   - **源IP**：222.128.87.64
   - **地理位置**：
     - **国家**：日本
     - **省份**：北海道
     - **城市**：未知
     - **经度**：142.869541
     - **纬度**：43.225063
     - **ISP**：odn.ne.jp
   - **登录时间**：2021年8月2日 16:33
   - **使用时长**：3小时36分钟
   - **主机名**：VM_16_9_centos
   - **内部IP**：172.21.16.9
   - **事件时间戳**：1701860622529
   - **上下文ID**：1701860622529362168
   - **文档ID**：AYw-zEDBu625wSnN_d3A

3. **用户：rizhiyi**
   - **终端**：pts/1
   - **源IP**：192.168.201.16
   - **地理位置**：
     - **国家**：私有网络
     - **省份**：私有网络
     - **城市**：私有网络
     - **ISP**：私有网络
   - **登录时间**：2021年8月3日 11:27
   - **使用时长**：1天2小时30分钟
   - **主机名**：VM_16_9_centos
   - **内部IP**：172.21.16.9
   - **事件时间戳**：1701860622529
   - **上下文ID**：1701860622529358000
   - **文档ID**：AYw-zEDBu625wSnN_d2_

4. **用户：rizhiyi**
   - **终端**：pts/5
   - **源IP**：192.168.201.16
   - **地理位置**：
     - **国家**：私有网络
     - **省份**：私有网络
     - **城市**：私有网络
     - **ISP**：私有网络
   - **登录时间**：2021年8月3日 11:40
   - **使用时长**：1天2小时18分钟
   - **主机名**：VM_16_9_centos
   - **内部IP**：172.21.16.9
   - **事件时间戳**：1701860622529
   - **上下文ID**：1701860622529349965
   - **文档ID**：AYw-zEDBu625wSnN_d2-

5. **用户：root**
   - **终端**：pts/6
   - **源IP**：222.128.87.64
   - **地理位置**：
     - **国家**：日本
     - **省份**：北海道
     - **城市**：未知
     - **经度**：142.869541
     - **纬度**：43.225063
     - **ISP**：odn.ne.jp
   - **登录时间**：2021年8月4日 09:53
   - **使用时长**：9小时1分钟
   - **主机名**：VM_16_9_centos
   - **内部IP**：172.21.16.9
   - **事件时间戳**：1701860622529
   - **上下文ID**：1701860622529346429
   - **文档ID**：AYw-zEDBu625wSnN_d29

6. **用户：root**
   - **终端**：pts/1
   - **源IP**：222.128.87.64
   - **地理位置**：
     - **国家**：日本
     - **省份**：北海道
     - **城市**：未知
     - **经度**：142.869541
     - **纬度**：43.225063
     - **ISP**：odn.ne.jp
   - **登录时间**：2021年8月4日 15:00
   - **使用时长**：2小时11分钟
   - **主机名**：VM_16_9_centos
   - **内部IP**：172.21.16.9
   - **事件时间戳**：1701860622529
   - **上下文ID**：1701860622529342992
   - **文档ID**：AYw-zEDBu625wSnN_d28

7. **用户：root**
   - **终端**：pts/5
   - **源IP**：222.128.87.64
   - **地理位置**：
     - **国家**：日本
     - **省份**：北海道
     - **城市**：未知
     - **经度**：142.869541
     - **纬度**：43.225063
     - **ISP**：odn.ne.jp
   - **登录时间**：2021年8月4日 15:00
   - **使用时长**：2小时11分钟
   - **主机名**：VM_16_9_centos
   - **内部IP**：172.21.16.9
   - **事件时间戳**：1701860622529
   - **上下文ID**：1701860622529339696
   - **文档ID**：AYw-zEDBu625wSnN_d27

8. **用户：rizhiyi**
   - **终端**：pts/1
   - **源IP**：192.168.201.41
   - **地理位置**：
     - **国家**：私有网络
     - **省份**：私有网络
     - **城市**：私有网络
     - **ISP**：私有网络
   - **登录时间**：2021年8月4日 17:20
   - **使用时长**：16小时53分钟
   - **主机名**：VM_16_9_centos
   - **内部IP**：172.21.16.9
   - **事件时间戳**：1701860622529
   - **上下文ID**：1701860622529336220
   - **文档ID**：AYw-zEDBu625wSnN_d26

9. **用户：root**
   - **终端**：pts/1
   - **源IP**：222.128.87.64
   - **地理位置**：
     - **国家**：日本
     - **省份**：北海道
     - **城市**：未知
     - **经度**：142.869541
     - **纬度**：43.225063
     - **ISP**：odn.ne.jp
   - **登录时间**：2021年8月5日 16:44
   - **使用时长**：1小时29分钟
   - **主机名**：VM_16_9_centos
   - **内部IP**：172.21.16.9
   - **事件时间戳**：1701860622529
   - **上下文ID**：1701860622529332672
   - **文档ID**：AYw-zEDBu625wSnN_d25

---

通过这种结构化的格式，信息更加清晰、易读，并且便于进一步分析和处理。
