### Software Version Distribution and Vulnerability Analysis

#### MovableType
- **Version Distribution (June 18, 2010)**
  - 50
  - 60
  - 70
  - 80
  - 3.31
  - 3.33
  - 3.35-en
  - 3.37-en
  - 4.0-en
  - 4.1-en-CS
  - 4.2-en
  - 4.3-en-OS
  - 4.12-en-OS
  - 4.13-en-OS
  - 4.21-en
  - 4.21-en-OS
  - 4.22-en-COM
  - 4.23-en
  - 4.23-en-OS
  - 4.24-en-COM
  - 4.25-en-COM
  - 4.26-en
  - 4.31-en
  - 4.32-en
  - 4.33-en
  - 4.121-en
  - 4.131-en-CS
  - 4.261-en-OS
  - 5.01-en-OS

- **Vulnerability Impact:**
  - **Critical Vulnerability:** 91%

#### phpBB
- **Version Distribution (June 18, 2010)**
  - 39
  - 0
  - 5
  - 10
  - 15
  - 20
  - 25
  - 30
  - 2.0.4
  - 2.0.5
  - 2.0.6
  - 2.0.7
  - 2.0.9
  - 2.0.11
  - 2.0.12
  - 2.0.13
  - 2.0.14
  - 2.0.15
  - 2.0.16
  - 2.0.17
  - 2.0.18
  - 2.0.19
  - 2.0.20
  - 2.0.21
  - 3.0.2
  - 3.0.3
  - 3.0.4
  - 3.0.5
  - 3.0.6

- **Vulnerability Impact:**
  - **Severe Vulnerability:** 100%

#### PHPNuke
- **Version Distribution (June 18, 2010)**
  - 40
  - 0
  - 10
  - 20
  - 30
  - 40
  - 50
  - 60
  - 70
  - 80
  - 90
  - 6.0
  - 6.5
  - 6.6
  - 6.7
  - 6.8
  - 6.9
  - 7.0
  - 7.1
  - 7.2
  - 7.3
  - 7.4
  - 7.5
  - 7.6
  - 7.7
  - 7.8
  - 7.9
  - 8.0

- **Vulnerability Impact:**
  - **Critical Vulnerability:** 85%

#### phpMyAdmin
- **Version Distribution (June 18, 2010)**
  - 41
  - 0
  - 10
  - 20
  - 30
  - 40
  - 50
  - 60
  - 70
  - 80
  - 90
  - 100
  - 2.2.4
  - 2.6.1PL3
  - 2.6.3PL1
  - 2.7.0PL2
  - 2.8.1
  - 2.9.0
  - 2.9.0.2
  - 2.9.1.1
  - 2.10.0.1
  - 2.10.1
  - 2.10.3
  - 2.11.1
  - 2.11.1.2
  - 2.11.2.1
  - 2.11.3
  - 2.11.5
  - 2.11.5.2
  - 2.11.7
  - 2.11.8
  - 2.11.9
  - 2.11.9.2
  - 2.11.9.4
  - 2.11.9.6
  - 3.0.0
  - 3.0.1.1
  - 3.1.1
  - 3.1.3
  - 3.1.3.2
  - 3.1.5
  - 3.2.0.1
  - 3.2.2
  - 3.2.3
  - 3.2.5
  - 3.3.1RC1
  - 3.3.3

- **Vulnerability Impact:**
  - **Critical Vulnerability:** 85%

#### SPIP
- **Version Distribution (June 18, 2010)**
  - 42
  - 0
  - 5
  - 10
  - 15
  - 20
  - 25
  - 30
  - 35
  - 40
  - 45
  - 1.4.1
  - 1.4.2
  - 1.5b1
  - 1.6
  - 1.7.2
  - 1.8
  - 1.8.1
  - 1.8.2
  - 1.8.2.b
  - 1.8.3
  - 1.9.0
  - 1.9.1i
  - 1.9.1.rev7385
  - 1.9.1.rev7502
  - 1.9.2f
  - 1.9.2g
  - 1.9.2h
  - 1.9.2i
  - 2.0.0
  - 2.0.1
  - 2.0.2
  - 2.0.3
  - 2.0.5
  - 2.0.6
  - 2.0.7
  - 2.0.8
  - 2.0.9
  - 2.0.10
  - 2.0.11
  - 2.1.0

- **Vulnerability Impact:**
  - **Critical Vulnerability:** 65%

#### WordPress
- **Version Distribution (June 18, 2010)**
  - 43
  - 0
  - 1000
  - 2000
  - 3000
  - 4000
  - 5000
  - 6000
  - 1.5.1
  - 1.5.1.2
  - 1.5.2
  - 2.0
  - 2.0.4
  - 2.0.6
  - 2.0.8
  - 2.0.10
  - 2.1
  - 2.1.2
  - 2.2
  - 2.2.2
  - 2.3
  - 2.3.2
  - 2.5
  - 2.6
  - 2.6.2
  - 2.6.5
  - 2.7.1
  - 2.8.1
  - 2.8.3
  - 2.8.5
  - 2.9
  - 2.9.2
  - 3.0-beta1-IIS
  - 3.0-beta2-IIS
  - 3.0-RC1-IIS
  - 3.0-RC2-IIS

- **Vulnerability Impact:**
  - **Critical Vulnerability:** 4%
  - **Medium Vulnerability:** 21.5%

### Observations
- Web applications are generally well-maintained and updated.
- Improperly removed web applications are common.
- Switching from one CMS to another often leaves the old CMS in place.
- Test and QA sites are frequently visible on the internet.

### Precision
- **Fingerprint Precision**
  - Average Versions Produced: 3.06 versions
  - Fingerprinting Time: Quicker is better
  - Average Time to Fingerprint: 6.4 seconds

### BlindElephant Scorecard
- **Key Features:**
