### 第一节：已删除的驱动程序

以下列出的驱动程序已在 Red Hat Enterprise Linux 6 和版本 7 中被移除，并且不再获得支持：

- 3c574_cs.ko
- 3c589_cs.ko
- 3c59x.ko
- 8390.ko
- acenic.ko
- amd8111e.ko
- avm_cs.ko
- axnet_cs.ko
- b1pcmpcia.ko
- bt3c_cs.ko
- btuart_cs.ko
- can-dev.ko
- cassini.ko
- cdc-phonet.ko
- cm4000_cs.ko
- cm4040_cs.ko
- cxgb.ko
- de2104x.ko
- de4x5.ko
- dl2k.ko
- dmfe.ko
- dtl1_cs.ko
- e100.ko
- elsa_cs.ko
- ems_pci.ko
- ems_usb.ko
- fealnx.ko
- fmvj18x_cs.ko
- forcedeth.ko
- ipwireless.ko
- ixgb.ko
- kvaser_pci.ko
- myri10ge.ko
- natsemi.ko
- ne2k-pci.ko
- niu.ko
- nmclan_cs.ko
- ns83820.ko
- parport_cs.ko
- pata_pcmcia.ko
- pcnet_cs.ko
- pcnet32.ko
- pppol2tp.ko
- r6040.ko
- s2io.ko
- sc92031.ko
- sdricoh_cs.ko
- sedlbauer_cs.ko
- serial_cs.ko
- sis190.ko
- sis900.ko
- sja1000_platform.ko
- sja1000.ko
- smc91c92_cs.ko
- starfire.ko
- sundance.ko
- sungem_phy.ko
- sungem.ko
- sunhme.ko
- tehuti.ko
- teles_cs.ko
- tlan.ko
- tulip.ko
- typhoon.ko
- uli526x.ko
- vcan.ko
- via-rhine.ko
- via-velocity.ko
- vxge.ko
- winbond-840.ko
- xirc2ps_cs.ko
- xircom_cb.ko

请注意，`avma1_cs-ko` 在 Red Hat Enterprise Linux 7 中已被移除，因为 PCMCIA 技术已经被 USB 等新技术所取代。

### 第二节：弃用的驱动程序

关于在 Red Hat Enterprise Linux 7 中已经废弃的驱动程序的详细信息，请访问[红帽客户门户网站上的最新发行说明](https://access.redhat.com/documentation/en/red-hat-enterprise-linux/)。

### 脚注解释：
1. `avma1_cs-ko` 在 Red Hat Enterprise Linux 7.0 版本中被删除，在 7.1 版本中由其他方案替代。自 7.3 版本起，该驱动可通过 Optional 频道获取。更多有关 Optional 频道的信息，请参考 [此处](https://access.redhat.com/solutions/392003)。
2. 从 Red Hat Enterprise Linux 7.1 开始，某些功能或软件包被转移到了 Red Hat Enterprise Linux 7.0 的 Optional 仓库。
3. Red Hat Enterprise Linux 7 不再支持 PCMCIA 技术，因为它已经被更新的技术如 USB 所替代。

### 附录：与迁移相关的红帽客户门户网站 Labs

红帽客户门户网站 Labs 提供了一系列工具，旨在帮助用户提升性能、诊断问题、发现安全漏洞以及优化系统配置。以下是几个与迁移特别相关的 Labs 工具介绍：

#### Red Hat Enterprise Linux Upgrade Helper
[Red Hat Enterprise Linux Update Helper](https://access.redhat.com/labs/rhelupgradehelper/) 是一款专为从 Red Hat Enterprise Linux 6.5/6.6/6.7/6.8/6.9 升级到 7.x 设计的应用程序。它不仅提供了升级的基本步骤指南，还列出了针对特定升级场景可能遇到的问题及其解决方案。目前支持的升级路径包括从 6.5 到 7.4、6.6 到 7.4 等多个版本间的直接升级。

#### Product Life Cycle Checker
[Product Life Cycle Checker](https://access.redhat.com/labs/plcc/) 允许用户查询红帽产品的生命周期详情，涵盖产品正式发布日期、支持终止时间点及整个生命周期的状态变化。通过此工具，您可以轻松地对比不同产品的关键时间节点，从而做出更合理的规划决策。
