# 欧洲国家与地区

## 国家
- 阿尔巴尼亚
- 安道尔
- 比利时
- 波斯尼亚和黑塞哥维那
- 保加利亚
- 丹麦
- 爱沙尼亚
- 芬兰
- 法国
- 希腊
- 白俄罗斯
- 爱尔兰
- 冰岛
- 意大利
- 科索沃
- 克罗地亚
- 拉脱维亚
- 列支敦士登
- 立陶宛
- 卢森堡
- 马耳他
- 摩尔多瓦
- 摩纳哥
- 黑山
- 荷兰
- 北马其顿
- 挪威
- 波兰
- 葡萄牙
- 罗马尼亚
- 俄罗斯
- 圣马力诺
- 塞尔维亚
- 斯洛伐克
- 斯洛文尼亚
- 西班牙
- 英国
- 瑞士
- 瑞典
- 捷克
- 土耳其
- 德国
- 乌克兰
- 匈牙利
- 梵蒂冈城
- 奥地利

## 地区
- 法罗群岛
- 直布罗陀
- 根西岛
- 杰西岛
- 曼岛
- 奥兰群岛

## 未被普遍承认的地区
- 阿布哈兹
- 纳戈尔诺-卡拉巴赫
- 北塞浦路斯
- 南奥塞梯
- 德涅斯特河沿岸

---

### 参考资料
- Store norske leksikon
- BIBSYS
- VIAF
- GND
- LCCN
- ISNI
- BNF
- BNF (data)
- SUDOC
- HDS
- NDL
- NKC
- BNE
- GeoNames
- BBC Things
- Encyclopædia Britannica

---

### 页面信息
- 获取自: [https://no.wikipedia.org/w/index.php?title=Norge&oldid=19502631]
- 分类: 挪威、君主立宪制国家、北约成员国、欧洲自由贸易联盟、北欧国家

### 隐藏分类
- 使用重复参数模板的页面
- CS1维护：编辑者列表
- 使用魔术ISBN链接的页面
- 维基百科半保护页面
- 带有坐标的文章
- 缺少维基数据图片的文章
- 需要澄清的文章
- 需要参考资料的文章
- 从维基数据带有官方链接的文章
- 推荐文章
- 从维基数据带有权威控制链接的文章
