### 优化后的文本

该消息于2012年10月20日发布，因此帖子已有6年的历史。这段代码很可能被重新用于新的攻击中。

在对脚本进行分析后，我们决定检查恶意域名的WHOIS信息。通过这一过程，我们发现了一些有助于识别同一黑客其他攻击行为的关键信息。

首先，我们注意到使用`lixiaomraz[@]gmail.com`邮箱注册了以下两个网站：
- `hxxp://www.montepaschi-decreto-gdpr[.]net`
- `hxxp://www.posteweb-sicurezza[.]com`

进一步调查发现，第一个网站已被用于MPS银行的网络钓鱼活动。据此可以合理推测，`hxxp://www.posteweb-sicurezza[.]com`也遭受了类似的攻击手法。

随后，在WHOIS历史记录中，我们发现了同一参与者于2018年2月9日注册的另外五个域名：
- `hxxp://www.3djks92lsd[.]biz`
- `hxxp://www.38djkf92lsd[.]biz`
- `hxxp://www.38djks92lsd[.]biz`
- `hxxp://www.348djks92lsd[.]biz`
- `hxxp://www.38djks921lsd[.]biz`

这些旧的WHOIS条目中的所有数据与`jma-go[.]jp`列出的注册商信息相匹配。所有这些网站都伪装成音乐、视频或购物网站，但它们的真实目的却完全不同。

一旦用户尝试从这些网站下载文件，他们会被重定向到其他网站，最终下载合法的7zip 16.02（哈希值：1f662cf64a83651238b92d62e23144fd）软件安装程序。然而，这些网站似乎尚未携带有效载荷，或者已经被修改。

我们在攻击过程中检测到了多个重定向：
- `hxxp://writingspiders[.]xyz`
- `hxxp://catsamusement[.]xyz`
- `hxxp://oatmealtheory[.]xyz`
- `hxxp://canvasporter[.]pw`

这些重定向域名比主要的.biz域名出现得更早。这可能意味着攻击者仍在进行黑客活动。然而，重定向域的WHOIS信息并未提供进一步线索，或者攻击者可能使用了反测试技术。

除了传播恶意软件外，我们还在网站源代码中发现了一个隐藏在左下角的iframe对象，其大小为1x1像素。这个iframe指向一个YouTube视频播放器链接，并且自动播放功能已开启。这意味着视频会在后台隐身播放，这种技术通常用于推广视频或增加播放次数。

此外，我们还观察到了几个链接到Twitter和Facebook的iframe。由于这些网站的访问量较低，我们认为此类活动可能刚刚开始或处于测试阶段。

我们还发现了另外两个由“Kupriushin Anton”注册的网站：
- `hxxp://Craigslist[.]business`
- `hxxp://Craiglist[.]news`

目前这两个网站无法访问，显然攻击者试图掩盖`Craigslist`网站的名称。

综上所述，攻击者正在快速开发其攻击工具，并从不同角度进行恶意活动以获利。

### 结论
自去年11月以来，FortiGuard实验室一直在监测这个假冒海啸预警活动，并研究其背后的黑客组织。我们发现这些可下载的恶意软件旨在感染受害者并窃取其重要信息，从而提高从`Smoke Loader`切换到`AZORult`的效率。同时，我们还发现假冒JMA网站的注册人也为其他钓鱼活动创建了相应的网站。FortiGuard实验室将继续监控这些恶意事件。

### 解决方案
以下解决方案可以帮助Fortinet用户免受上述恶意威胁：
- 文件由FortiGuard Antivirus检测
- 使用FortiGuard Web过滤服务阻止恶意网络钓鱼URL

### 指示器（IOCs）
**样本哈希值：**
- `27aa9cdf60f1fbff84ede0d77bd49677ec346af050ffd90a43b8dcd528c9633b` - W32/Kryptik.GMMP!tr
- `42fdaffdbacfdf85945bd0e8bfaadb765dde622a0a7268f8aa70cd18c91a0e85` - W32/Kryptik.GMOP!tr
- `fb3def9c23ba81f85aae0f563f4156ba9453c2e928728283de4abdfb5b5f426f` - W32/Kryptik.GMVI!tr
- `70900b5777ea48f4c635f78b597605e9bdbbee469b3052f1bd0088a1d18f85d3` - W32/GenKryptik.CSCS!tr
- `a1ce72ec2f2fe6139eb6bb35b8a4fb40aca2d90bc19872d6517a6ebb66b6b139` - W32/Generik.CMTJTLW!tr
- `7337143e5fb7ecbdf1911e248d73c930a81100206e8813ad3a90d4dd69ee53c7` - W32/GenKryptik.CSIZ!tr
- `748c94bfdb94b322c876114fcf55a6043f1cd612766e8af1635218a747f45fb9` - W32/Generik.JKNHTRB!tr

**下载URL地址：**
- `hxxp://www.jma-go[.]jp/jma/tsunami/tsunami_regions.scr` - 恶意软件
- `hxxp://jma-go[.]jp/jma/tsunami/1.exe` - 恶意软件
- `hxxp://thunderbolt-price[.]com/Art-and-Jakes/Coupon.scr` - 恶意软件
- `hxxp://bite-me.wz[.]cz/1.exe` - 恶意软件

**C&C地址：**
- `hxxp://jma-go[.]jp/js/metrology/jma.php` - 恶意
- `hxxp://www.jma-go[.]jp/java/java9356/index.php` - 恶意

**其他URL地址：**
- `hxxp://montepaschi-decreto-gdpr[.]net/` - 网络钓鱼
- `hxxp://montepaschi-decreto-gdpr[.]net/procedura-per-sblocco-temporaneo-decreto/conferma_dati.html` - 网络钓鱼
- `hxxp://certificazione.portalemps[.]com/` - 网络钓鱼
- `hxxp://certificazione.portalemps[.]com/verifica-conto/` - 网络钓鱼
- `hxxp://Craigslist[.]business` - 网络钓鱼
- `hxxp://Craiglist[.]news` - 网络钓鱼
- `hxxp://www.3djks92lsd[.]biz` - 网络钓鱼
- `hxxp://www.38djkf92lsd[.]biz` - 网络钓鱼
- `hxxp://www.38djks92lsd[.]biz` - 网络钓鱼
- `hxxp://www.348djks92lsd[.]biz` - 网络钓鱼
- `hxxp://www.38djks921lsd[.]biz` - 网络钓鱼
- `hxxp://writingspiders[.]xyz` - 恶意
- `hxxp://catsamusement[.]xyz` - 恶意
- `hxxp://oatmealtheory[.]xyz` - 恶意
- `hxxp://canvasporter[.]pw` - 恶意

本文为翻译稿件，原始来源：https://www.fortinet.com/blog/threat-research/fake-tsunami-brings-malware-to-japan.html
