### Issue Report

#### Preliminary Checks
- I have thoroughly searched the issues in this repository and believe that this is not a duplicate.
- I have reviewed the FAQ of this repository and confirmed that this issue has not been addressed there.

#### Environment Details
- **Dubbo Version:** 2.7.1
- **Operating System:** macOS 10.14.4
- **Java Version:** 1.8

#### Steps to Reproduce
1. Start a Spring Boot application with Dubbo and Consul integration.

**Please provide the [GitHub address] to reproduce this issue.**

#### Expected Result
- The service should successfully register with the Consul registry without any errors.

#### Actual Result
- The service fails to register with the Consul registry, and an exception is thrown.

**Exception Trace:**
```java
java.lang.IllegalStateException: Failed to register dubbo://192.168.0.184:20880/com.ejlerp.cache.api.HashCacher?anyhost=true&application=ejlerp-cache-provider&application.version=master&bean.name=providers:dubbo:com.ejlerp.cache.api.HashCacher:0.1&default.deprecated=false&default.dynamic=false&default.register=true&default.retries=0&default.timeout=6000&deprecated=false&dubbo=2.0.2&dynamic=false&generic=false&interface=com.ejlerp.cache.api.HashCacher&methods=hasKey,keys,values,increment,del,expireAt,delete,ttl,put,exist,entries,size,get,putAll,expire,putIfAbsent&organization=egenie&owner=dani&pid=11049&register=true&release=2.7.1&revision=10.0.0-SNAPSHOT&side=provider&threadpool=cached&timestamp=1554355820115&version=0.1 to registry 192.168.0.230:8500, cause: OperationException(statusCode=400, statusMessage='Bad Request', statusContent='Invalid Service Meta: Couldn't load metadata pair ('url', 'dubbo://192.168.0.184:20880/com.ejlerp.cache.api.HashCacher?anyhost=true&application=ejlerp-cache-provider&application.version=master&bean.name=providers:dubbo:com.ejlerp.cache.api.HashCacher:0.1&default.deprecated=false&default.dynamic=false&default.register=true&default.retries=0&default.timeout=6000&deprecated=false&dubbo=2.0.2&dynamic=false&generic=false&interface=com.ejlerp.cache.api.HashCacher&methods=hasKey,keys,values,increment,del,expireAt,delete,ttl,put,exist,entries,size,get,putAll,expire,putIfAbsent&organization=egenie&owner=dani&pid=11049&register=true&release=2.7.1&revision=10.0.0-SNAPSHOT&side=provider&threadpool=cached&timestamp=1554355820115&version=0.1'): Value is too long (limit: 512 characters)')
    at org.apache.dubbo.registry.support.FailbackRegistry.register(FailbackRegistry.java:244)
    at org.apache.dubbo.registry.consul.ConsulRegistry.register(ConsulRegistry.java:90)
    at org.apache.dubbo.registry.integration.RegistryProtocol.register(RegistryProtocol.java:160)
    at org.apache.dubbo.registry.integration.RegistryProtocol.export(RegistryProtocol.java:194)
    at org.apache.dubbo.rpc.protocol.ProtocolFilterWrapper.export(ProtocolFilterWrapper.java:106)
    at org.apache.dubbo.rpc.protocol.ProtocolListenerWrapper.export(ProtocolListenerWrapper.java:55)
    at org.apache.dubbo.qos.protocol.QosProtocolWrapper.export(QosProtocolWrapper.java:61)
    at org.apache.dubbo.rpc.Protocol$Adaptive.export(Protocol$Adaptive.java)
    at org.apache.dubbo.config.ServiceConfig.doExportUrlsFor1Protocol(ServiceConfig.java:559)
    at org.apache.dubbo.config.ServiceConfig.doExportUrls(ServiceConfig.java:417)
    at org.apache.dubbo.config.ServiceConfig.doExport(ServiceConfig.java:375)
    at org.apache.dubbo.config.ServiceConfig.export(ServiceConfig.java:337)
    at org.apache.dubbo.config.spring.ServiceBean.export(ServiceBean.java:319)
    at org.apache.dubbo.config.spring.ServiceBean.onApplicationEvent(ServiceBean.java:113)
    at org.apache.dubbo.config.spring.ServiceBean.onApplicationEvent(ServiceBean.java:59)
    at org.springframework.context.event.SimpleApplicationEventMulticaster.doInvokeListener(SimpleApplicationEventMulticaster.java:172)
    at org.springframework.context.event.SimpleApplicationEventMulticaster.invokeListener(SimpleApplicationEventMulticaster.java:165)
    at org.springframework.context.event.SimpleApplicationEventMulticaster.multicastEvent(SimpleApplicationEventMulticaster.java:139)
    at org.springframework.context.support.AbstractApplicationContext.publishEvent(AbstractApplicationContext.java:400)
    at org.springframework.context.support.AbstractApplicationContext.publishEvent(AbstractApplicationContext.java:354)
    at org.springframework.context.support.AbstractApplicationContext.finishRefresh(AbstractApplicationContext.java:886)
    at org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext.finishRefresh(ServletWebServerApplicationContext.java:161)
    at org.springframework.context.support.AbstractApplicationContext.refresh(AbstractApplicationContext.java:551)
    at org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext.refresh(ServletWebServerApplicationContext.java:140)
    at org.springframework.boot.SpringApplication.refresh(SpringApplication.java:754)
    at org.springframework.boot.SpringApplication.refreshContext(SpringApplication.java:386)
    at org.springframework.boot.SpringApplication.run(SpringApplication.java:307)
    at org.springframework.boot.SpringApplication.run(SpringApplication.java:1242)
    at org.springframework.boot.SpringApplication.run(SpringApplication.java:1230)
    at com.ejlerp.cache.CacheProvider.main(CacheProvider.java:20)
Caused by: com.ecwid.consul.v1.OperationException: OperationException(statusCode=400, statusMessage='Bad Request', statusContent='Invalid Service Meta: Couldn't load metadata pair ('url', 'dubbo://192.168.0.184:20880/com.ejlerp.cache.api.HashCacher?anyhost=true&application=ejlerp-cache-provider&application.version=master&bean.name=providers:dubbo:com.ejlerp.cache.api.HashCacher:0.1&default.deprecated=false&default.dynamic=false&default.register=true&default.retries=0&default.timeout=6000&deprecated=false&dubbo=2.0.2&dynamic=false&generic=false&interface=com.ejlerp.cache.api.HashCacher&methods=hasKey,keys,values,increment,del,expireAt,delete,ttl,put,exist,entries,size,get,putAll,expire,putIfAbsent&organization=egenie&owner=dani&pid=11049&register=true&release=2.7.1&revision=10.0.0-SNAPSHOT&side=provider&threadpool=cached&timestamp=1554355820115&version=0.1'): Value is too long (limit: 512 characters)')
    at com.ecwid.consul.v1.agent.AgentConsulClient.agentServiceRegister(AgentConsulClient.java:278)
    at com.ecwid.consul.v1.agent.AgentConsulClient.agentServiceRegister(AgentConsulClient.java:265)
    at com.ecwid.consul.v1.ConsulClient.agentServiceRegister(ConsulClient.java:305)
    at org.apache.dubbo.registry.consul.ConsulRegistry.doRegister(ConsulRegistry.java:95)
    at org.apache.dubbo.registry.support.FailbackRegistry.register(FailbackRegistry.java:231)
```

The error indicates that the URL value being registered is too long, exceeding the 512-character limit imposed by Consul.
