# 【知识】9月25日 - 每日安全知识热点

## 译文声明
本文为翻译文章，原文来源：安全客。译文仅供参考，具体内容及含义请以原文为准。

## 热点概要
- **Python PyYAML反序列化漏洞实验和Payload构造**
- **FLIR系统存在多处漏洞**
- **Sentora/ZPanel密码重置漏洞**
- **beef+msf实现内网渗透**
- **我是如何拿到Google 13337美元赏金的**

## 国内热词
- 微软与Canonical合作构建定制Linux内核
- Adobe安全团队意外公开私钥

## 技术类
### Python PyYAML反序列化漏洞实验和Payload构造
- 描述了PyYAML库中的反序列化漏洞，并提供了构造Payload的方法。

### Python反序列化漏洞浅析与利用 (pickle模块)
- 分析了Python中pickle模块的反序列化漏洞及其利用方法。

### FLIR系统存在多处漏洞
- 讨论了FLIR系统中存在的多个安全漏洞。

### CLKSCREW: 可持续能源管理暴露的安全风险
- 介绍了CLKSCREW攻击，揭示了可持续能源管理系统中的安全风险。

### Sentora/ZPanel密码重置漏洞
- 分析了Sentora/ZPanel系统中的密码重置漏洞。

### 向运行的Python进程中注入代码
- 介绍了一种向正在运行的Python进程中注入代码的技术。
- [项目链接](https://github.com/lmacken/pyrasite)

### 我是如何拿到Google 13337美元赏金的
- 分享了作者通过发现并报告漏洞获得Google高额赏金的经验。

### Linux堆漏洞利用系列：1字节溢出
- 详细讲解了Linux堆漏洞中的1字节溢出及其利用方法。

### 在社交平台（Facebook）上发布登机牌的信息可能导致你的账户信息被盗用
- 提醒用户在社交媒体上发布登机牌照片可能泄露个人信息的风险。

### beef+msf实现内网渗透
- 介绍了使用BeEF和Metasploit框架进行内网渗透的方法。

### A web viewer for RF spectrum data
- 介绍了一个用于查看射频谱数据的Web工具。

### Starting in cybersecurity? Here are my few tips on how to get started on the technical side of computer hacking
- 为初学者提供了一些进入网络安全领域的技术建议。

### dbghost.exe – Ghost And The Darkness
- 介绍了一个名为dbghost.exe的工具及其用途。

希望这些内容对您有所帮助！
