# 弃用的设备驱动程序

在 Red Hat Enterprise Linux 7 生命周期结束前，以下设备驱动程序将继续被支持，但可能在以后的主要发行版本中不再被支持，并且不建议在新的部署中使用。

## 设备驱动程序列表

- **3w-9xxx**
- **3w-sas**
- **aic79xx**
- **aoe**
- **arcmsr**
- **ATA 驱动程序**：
  - acard-ahci
  - sata_mv
  - sata_nv
  - sata_promise
  - sata_qstor
  - sata_sil
  - sata_sil24
  - sata_sis
  - sata_svw
  - sata_sx4
  - sata_uli
  - sata_via
  - sata_vsc
- **bfa**
- **cxgb3**
- **cxgb3i**
- **e1000**
- **floppy**
- **hptiop**
- **initio**
- **isci**
- **iw_cxgb3**
- **mptbase**
- **mptctl**
- **mptsas**
- **mptscsih**
- **mptspi**
- **mthca**
- **mtip32xx**
- **mvsas**
- **mvumi**
- **OSD 驱动程序**

请注意，这些驱动程序虽然在当前版本中仍然可用，但在未来的版本中可能会被移除。因此，在新系统部署时，请考虑使用其他替代方案。
