# Plague of Boils
## Description
> “So the Lord said to Moses and Aaron, ‘Take for yourselves handfuls of ashes from a furnace, and let Moses scatter it toward the heavens in the sight of Pharaoh. And it will become fine dust in all the land of Egypt, and it will cause boils that break out in sores on man and beast throughout all the land of Egypt’” (Exodus 9:8-9).

Upon examining the provided RAR file, we encounter a complex folder structure. The key to solving this challenge lies in viewing the structure from a different perspective.

## Solution

First, we extract the RAR file to reveal the following folder structure:

```console
┌──(user@kali)-[/media/sf_CTFs/basmach/Plague_of_boils/New_folder]
└─$ tree -v
.
└── New folder
    ├── New folder
    │   ├── New folder
    │   │   ├── New folder
    │   │   ├── New folder (2)
    │   │   │   └── New folder
    │   │   ├── New folder (3)
    │   │   └── New folder (4)
    │   │       └── New folder
    │   │           └── New folder
    │   │               └── New folder
    │   │                   └── New folder
    │   │                       └── New folder
    │   │                           └── New folder
    │   │                               └── New folder
    │   │                                   └── New folder
    │   │                                       └── New folder
    │   │                                           └── New folder
    │   │                                               └── New folder
    │   │                                                   └── New folder
    │   │                                                       └── New folder
    │   │                                                           └── New folder
    │   │                                                               └── New folder
    │   │                                                                   └── New folder
    │   │                                                                       └── New folder
    │   │                                                                           └── New folder
    │   │                                                                               └── New folder
    │   │                                                                                   └── New folder
    │   │                                                                                       └── New folder
    │   │                                                                                           └── New folder
    │   │                                                                                               └── New folder
    │   │                                                                                                   └── New folder
    │   │                                                                                                       └── New folder
    │   │                                                                                                           └── New folder
    │   │                                                                                                               └── New folder
    │   │                                                                                                                   └── New folder
    │   │                                                                                                                       └── New folder
    │   │                                                                                                                           └── New folder
    │   │                                                                                                                               └── New folder
    │   │                                                                                                                                   └── New folder
    │   │                                                                                                                                       └── New folder
    │   │                                                                                                                                           └── New folder
    │   │                                                                                                                                               └── New folder
    │   │                                                                                                                                                   └── New folder
    │   │                                                                                                                                                       └── New folder
    │   │                                                                                                                                                           └── New folder
    │   │                                                                                                                                                               └── New folder
    │   │                                                                                                                                                                   └── New folder
    │   │                                                                                                                                                                       └── New folder
    │   │                                                                                                                                                                           └── New folder
    │   │                                                                                                                                                                               └── New folder
    │   │                                                                                                                                                                                   └── New folder
    │   │                                                                                                                                                                                       └── New folder
    │   │                                                                                                                                                                                           └── New folder
    │   │                                                                                                                                                                                               └── New folder
    │   │                                                                                                                                                                                                   └── New folder
    │   │                                                                                                                                                                                                       └── New folder
    │   │                                                                                                                                                                                                           └── New folder
    │   │                                                                                                                                                                                                               └── New folder
    │   │                                                                                                                                                                                                                   └── New folder
    │   │                                                                                                                                                                                                                       └── New folder
    │   │                                                                                                                                                                                                                           └── New folder
    │   │                                                                                                                                                                                                                               └── New folder
    │   │                                                                                                                                                                                                                                   └── New folder
    │   │                                                                                                                                                                                                                                       └── New folder
    │   │                                                                                                                                                                                                                                           └── New folder
    │   │                                                                                                                                                                                                                                               └── New folder
    │   │                                                                                                                                                                                                                                                   └── New folder
    │   │                                                                                                                                                                                                                                                       └── New folder
    │   │                                                                                                                                                                                                                                                           └── New folder
    │   │                                                                                                                                                                                                                                                               └── New folder
    │   │                                                                                                                                                                                                                                                                   └── New folder
    │   │                                                                                                                                                                                                                                                                       └── New folder
    │   │                                                                                                                                                                                                                                                                           └── New folder
    │   │                                                                                                                                                                                                                                                                               └── New folder
    │   │                                                                                                                                                                                                                                                                                   └── New folder
    │   │                                                                                                                                                                                                                                                                                       └── New folder
    │   │                                                                                                                                                                                                                                                                                           └── New folder
    │   │                                                                                                                                                                                                                                                                                               └── New folder
    │   │                                                                                                                                                                                                                                                                                                   └── New folder
    │   │                                                                                                                                                                                                                                                                                                       └── New folder
    │   │                                                                                                                                                                                                                                                                                                           └── New folder
    │   │                                                                                                                                                                                                                                                                                                               └── New folder
    │   │                                                                                                                                                                                                                                                                                                                   └── New folder
    │   │                                                                                                                                                                                                                                                                                                                       └── New folder
    │   │                                                                                                                                                                                                                                                                                                                           └── New folder
    │   │                                                                                                                                                                                                                                                                                                                               └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                   └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                       └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                           └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                               └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                   └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                       └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                           └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                               └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                   └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                       └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                           └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                               └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                                   └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                                       └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                                           └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                                               └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                                                   └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                                                       └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                                                           └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                                                               └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                                                                   └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                                                                       └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                                                                           └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                                                                               └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                                                                                   └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                                                                                       └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                                                                                           └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                                                                                               └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                                                                                                   └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                                                                                                       └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                                                                                                           └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                                                                                                               └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                                                                                                                   └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                                                                                                                       └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                                                                                                                           └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                                                                                                                               └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   └── New folder
    │   │                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       └── New folder
