### 高校及企业地理信息、财务和办公系统
- **高校**：地理信息系统、财务管理、办公自动化等。
- **企业**：
  - 太阳塔科技
  - ERP系统
  - 安全系统

### 云计算与软件服务提供商
- **云服务提供商**：
  - 磐极云数
  - 云和恩墨
  - 阿里云
  - 海量云图
  - 腾讯云
  - 华为云
  - 青云
  - 金山云
  - AWS (BigSQL, RDS, Aurora, Redshift)
  - 微软 (Citus)
  - IBM (EDB)
- **开源数据库社区**：
  - PG中国社区
  - 开源联盟PG分会
  - Zilliz
  - 南大富士通
- **硬件与培训**：
  - Apple
  - Lazada
  - Red Hat

### ToC业务发力的企业
- 平安
- 国家电网
- 邮储银行
- 阿里
- 腾讯
- 高德
- 华为
- 政府部门
- 探探
- 去哪儿
- 亚信
- 海鼎
- 苏宁
- 斗鱼
- 云和恩墨
- 晟数
- 中兴
- 国信

### PostgreSQL的应用与优势
#### 使用PostgreSQL的机构
- **大型企业**：平安、国家电网、邮储银行、阿里、腾讯等。
- **社区与分会**：PG中国社区、开源联盟PG分会等。

#### PostgreSQL衍生数据库及插件
- **大数据分析**：
  - Greenplum
  - Redshift
  - AsterData
- **图计算**：
  - AgensGraph
  - EdgeDB
- **HTAP**：
  - Citus
  - XC/XL
  - AntDB
  - Alibaba POLARDB
- **时序数据**：
  - TimescaleDB (工业物联网)
- **Oracle兼容**：
  - EDB
  - POLARDB
  - Orafce
- **流计算与图像识别**：
  - PipelineDB
  - Imgsmlr
- **搜索引擎**：
  - Yahoo Everest
- **高维向量相似搜索**：
  - Alibaba PASE 插件
- **机器学习与化学计算**：
  - Madlib
  - RDKit
- **时空与地理信息**：
  - PostGIS
  - Alibaba Ganos 插件

#### PostgreSQL的核心优势
- **版本发布节奏稳定**：每年一个大版本，每月一个小版本，产品稳定性高。
- **免费且风险低**：BSD许可，允许云上和线下使用。
- **核心技术**：
  - ACID事务
  - 单机与集群支持
  - 多写支持
  - 进程与线程池
  - 优化器（动态规划）
  - 内存表
  - TBS
  - Redo Group
  - Block级压缩
  - HA共享存储
  - MPP与HTAP
- **性能**：
  - 单机TPMC超过160万
  - 能耗比高
  - 故障率低
  - 自动垃圾回收
  - 细粒度锁
- **安全性**：
  - ACL
  - SSL加密
  - 敏感信息掩码
  - TDE
  - 权限控制
- **增值能力**：
  - 闪回查询
  - 插件化扩展
  - 外部访问源
  - GPU加速
  - 自动内存管理
- **维护与支持**：
  - 日常维护
  - 性能监控
  - 社区支持
  - 代码级服务
- **使用便捷性**：
  - 丰富的SQL语法
  - GUI与CLI工具
  - 函数开发与调试
  - ISV集成
- **文档与资源**：
  - 手册
  - 源码
  - 书籍
  - 视频
  - 认证
  - 社群

### 开发者核心诉求
- **GUI管理工具**：
  - Toad
  - PL/SQL Developer
  - pgAdmin
  - Navicat for PG
- **CLI管理工具**：
  - SQL*Plus
  - psql
- **函数与存储过程语言**：
  - PL/SQL
  - PL/pgSQL
  - PL/Python
  - PL/Tcl
  - PL/Perl
  - PL/Java
  - PL/V8
  - PL/Lua
- **C嵌入式开发**：
  - Pro*C
  - ECPG
- **数据类型**：
  - 数值、时间、字符串、二进制
  - 大对象、枚举、GIS、BIT
  - 数组、range、树、网络、UUID
  - 全文检索、货币、域、向量
- **SQL语法**：
  - 增、删、改、查
  - 聚合、窗口、分组、排序、子查询
  - 异步消息
  - 索引：Gin, Gist, SP-GiST, BRIN, Bloom, RUM

### MongoDB与PostgreSQL的结合
- **关系数据**：
  - 核心业务
  - 高可靠性、可用性、安全性要求
  - 复杂的数据处理逻辑
- **弱结构化数据**：
  - 日志型流水数据
  - 高写入速度
  - 弹性伸缩
- **Mongo_fdw**：实现PostgreSQL与MongoDB的无缝连接

### 参考资料
- [PG技术进阶群](https://github.com/digoal/blog/blob/master/README.md)

### 结语
感谢您的阅读。如需进一步交流，请加入PG技术进阶群，每周都有技术分享，目前已有3500+成员。
