# [](//cloud.google.com)

[ June 05, 2020 ]{.date} [ All services available ]{.status}

-   [Google Cloud Status Dashboard](/)
-   [Incidents](/summary)
-   [Google Cloud Networking](/incident/cloud-networking/19009)

#  Google Cloud Status Dashboard

This page provides status information on the services that are part of
Google Cloud Platform. Check back here to view the current status of the
services listed below. If you are experiencing an issue not listed here,
please [contact Support](//cloud.google.com/support/). Learn more about
what\'s posted on the dashboard in [this
FAQ](//cloud.google.com/support/docs/dashboard). For additional
information on these services, please visit
[cloud.google.com](//cloud.google.com).

# Google Cloud Networking Incident #19009

The network congestion issue in eastern USA, affecting Google Cloud, G
Suite, and YouTube has been resolved for all affected users as of 4:00pm
US/Pacific.

Incident began at **2019-06-02 11:45** and ended at **2019-06-02 15:40**
(all times are **US/Pacific**).

+-----------------+-----------------+-----------------+-----------------+
|                 | Date            | Time            | Description     |
+=================+=================+=================+=================+
| []{.bubble .ok} | Jun 06, 2019    | 09:42           | # ISSUE SUMMARY |
|                 |                 |                 |                 |
|                 |                 |                 | On Sunday 2     |
|                 |                 |                 | June, 2019,     |
|                 |                 |                 | Google Cloud    |
|                 |                 |                 | projects        |
|                 |                 |                 | running         |
|                 |                 |                 | services in     |
|                 |                 |                 | multiple US     |
|                 |                 |                 | regions         |
|                 |                 |                 | experienced     |
|                 |                 |                 | elevated packet |
|                 |                 |                 | loss as a       |
|                 |                 |                 | result of       |
|                 |                 |                 | network         |
|                 |                 |                 | congestion for  |
|                 |                 |                 | a duration of   |
|                 |                 |                 | between 3 hours |
|                 |                 |                 | 19 minutes, and |
|                 |                 |                 | 4 hours 25      |
|                 |                 |                 | minutes. The    |
|                 |                 |                 | duration and    |
|                 |                 |                 | degree of       |
|                 |                 |                 | packet loss     |
|                 |                 |                 | varied          |
|                 |                 |                 | considerably    |
|                 |                 |                 | from region to  |
|                 |                 |                 | region and is   |
|                 |                 |                 | explained in    |
|                 |                 |                 | detail below.   |
|                 |                 |                 | Other Google    |
|                 |                 |                 | Cloud services  |
