### Table 56: Enterprise-specific MIBs Supported by Junos OS

| **Enterprise-Specific MIB** | **Description** | **Platforms** |
| --- | --- | --- |
| **jnxHmcOK** | Provides information when the specified HMC on a specific FPC has recovered from a failure. | PTX10002-60C, PTX10008, PTX10016, QFX10002-36Q, QFX10002-60C, QFX10002-72Q, QFX10008, QFX10016, PTX1000 |
| **jnxJsChassisHA** | Ensures minimal disruption to services in case of a failover. If one chassis in a High Availability environment fails, the other chassis takes over the function of the failed chassis with minimal service interruption. This module defines objects related to Chassis High Availability. | SRX5400, SRX5600, SRX5800 |
| **jnxJsFlowSofSummary** | Provides the total number of Express Path mode (formerly known as services offloading) sessions in use and the total number of packets processed so far in a logical system. | SRX4600, SRX5400, SRX5600, SRX5800 |
| **jnxJsChNodeCPUStatus** | Monitors Routing Engine CPU load usage and sends a notification to users when the CPU load is below a set threshold. | SRX5400, SRX5600, SRX5800, SRX4600, SRX4200, SRX4100, SRX1500 |
| **jnxJsChNodeJunosKernelStatus** | Monitors Junos Kernel usage. | SRX5400, SRX5600, SRX5800, SRX4600, SRX4200, SRX4100, SRX1500 |
| **jnxUserFirewalls** | Exports statistics of User Firewall identity-management counters. | SRX Series, vSRX Virtual Firewall |
| **jnxTLBMIB** | Exports statistics of Traffic Load Balancer application. | MX240, MX480, MX960 |
| **JNX BGP MIB2** | Supports IPv6 objects and prefix counters for BGP. | MX Series |
| **JNX VPN MIB (L2VPN)** | Contains information about L2VPN protocol. | MX Series |
| **L2ALD MIB** | Contains information about the Layer 2 Address Learning process (L2ALD) and related traps, such as the routing instance MAC limit trap and the interface MAC limit trap. This MIB also provides VLAN information in the `jnxL2aldVlanTable` table for Enhanced Layer 2 Software (ELS) EX Series and QFX Series switches. | EX Series, MX Series, QFX Series, T Series |
| **L2CP MIB** | Provides information about Layer 2 Control Protocols (L2CP) based features. Currently, Junos OS supports only the `jnxDot1dStpPortRootProtectEnabled`, `jnxDot1dStpPortRootProtectState`, and `jnxPortRootProtectStateChangeTrap` objects. | MX Series |
| **L2TP MIB** | Provides information about Layer 2 Transport Protocol (L2TP) tunnels and sessions. | M Series, MX Series, T Series |
| **LDP MIB** | Provides LDP statistics and defines LDP label-switched path (LSP) notifications. LDP traps support only IPv4 standards. | ACX Series, M Series, PTX Series, SRX Series, T Series |
| **License MIB** | Extends SNMP support to licensing information and introduces SNMP traps that alert users when licenses are about to expire, have expired, or when the total number of users exceeds the number specified in the license. | M Series, MX Series, SRX Series, T Series |
| **Logical Systems MIB** | Extends SNMP support to logical systems security profile through various MIBs defined under `jnxLsysSecurityProfile`. | SRX Series |
| **LTE MIB** | Extends SNMP support to monitor the 4G LTE Mini-Physical Interface Module (Mini-PIM) status using SNMP remote network management. | SRX300, SRX320, SRX340, SRX345, SRX550M |
| **LSYSTSYS MIB (jnxLsysVD)** | Provides details of configured logical systems and tenant, including total LSYS count, total TSYS count, total security profiles count, maximally allowed LSYS capacity, maximally allowed TSYS capacity, and maximally allowed security profiles capacity. | SRX1500, SRX4100, SRX4200, SRX4600, SRX5400, SRX5600, SRX5800, vSRX Virtual Firewall |
| **MIMSTP MIB** | Provides information about MSTP instances (routing instances of type Virtual Switch/Layer 2 control), MSTIs within the MSTP instance, and VLANs associated with the MSTI. | MX Series, T Series |
| **MPLS LDP MIB** | Contains object definitions as described in RFC 3815, Definitions of Managed Objects for the Multiprotocol Label Switching (MPLS), Label Distribution Protocol (LDP). | ACX Series, EX Series, M Series, MX Series, PTX Series, QFX Series, T Series |
| **MPLS MIB** | Provides MPLS information and defines MPLS notifications. | ACX Series, EX Series, M Series, MX Series, PTX Series, QFX Series, SRX Series, T Series |
| **MVPN MIB** | Contains objects that enable an SNMP manager to monitor MVPN connections on the provider edge routers. The enterprise-specific MVPN MIB is the Juniper Networks extension of the IETF standard MIBs defined in Internet draft `draft-ietf-l3vpn-mvpn-mib-03.txt`, MPLS/BGP Layer 3 VPN Multicast Management Information Base. | All platforms |
| **MPLS L3VPN MIB** | Contains attributes for L3VPN-based MPLS. | MX Series |
| **MPLS VPN MIB** | Contains objects for MPLS VPN. | MX Series |
| **NAT Objects MIB** | Provides support for monitoring network address translation (NAT). | EX Series, SRX Series |
| **NAT Resources-Monitoring MIB** | Provides support for monitoring NAT pools usage and NAT rules. Notifications of usage of NAT resources are also provided by this MIB. This MIB is currently supported on the Multiservices PIC and Multiservices DPC on M Series and MX Series routers only. | M Series, MX Series |
