 c106   | integer |           |          | (random() * (1000000)::double precision) | plain   |              |   
 c107   | integer |           |          | (random() * (1000000)::double precision) | plain   |              |   
 c108   | integer |           |          | (random() * (1000000)::double precision) | plain   |              |   
 c109   | integer |           |          | (random() * (1000000)::double precision) | plain   |              |   
 c110   | integer |           |          | (random() * (1000000)::double precision) | plain   |              |   
 c111   | integer |           |          | (random() * (1000000)::double precision) | plain   |              |   
 c112   | integer |           |          | (random() * (1000000)::double precision) | plain   |              |   
 c113   | integer |           |          | (random() * (1000000)::double precision) | plain   |              |   
 c114   | integer |           |          | (random() * (1000000)::double precision) | plain   |              |   
 c115   | integer |           |          | (random() * (1000000)::double precision) | plain   |              |   
 c116   | integer |           |          | (random() * (1000000)::double precision) | plain   |              |   
 c117   | integer |           |          | (random() * (1000000)::double precision) | plain   |              |   
 c118   | integer |           |          | (random() * (1000000)::double precision) | plain   |              |   
 c119   | integer |           |          | (random() * (1000000)::double precision) | plain   |              |   
 c120   | integer |           |          | (random() * (1000000)::double precision) | plain   |              |   
 c121   | integer |           |          | (random() * (1000000)::double precision) | plain   |              |   
 c122   | integer |           |          | (random() * (1000000)::double precision) | plain   |              |   
 c123   | integer |           |          | (random() * (1000000)::double precision) | plain   |              |   
 c124   | integer |           |          | (random() * (1000000)::double precision) | plain   |              |   
 c125   | integer |           |          | (random() * (1000000)::double precision) | plain   |              |   
 c126   | integer |           |          | (random() * (1000000)::double precision) | plain   |              |   
 c127   | integer |           |          | (random() * (1000000)::double precision) | plain   |              |   
 c128   | integer |           |          | (random() * (1000000)::double precision) | plain   |              |   
Indexes:  
    "test_pkey" PRIMARY KEY, btree (id)  
    "idx_test_1" btree (c1), tablespace "tbs_8001"  
    "idx_test_10" btree (c10), tablespace "tbs_8001"  
    "idx_test_100" btree (c100), tablespace "tbs_8001"  
    "idx_test_101" btree (c101), tablespace "tbs_8001"  
    "idx_test_102" btree (c102), tablespace "tbs_8001"  
    "idx_test_103" btree (c103), tablespace "tbs_8001"  
    "idx_test_104" btree (c104), tablespace "tbs_8001"  
    "idx_test_105" btree (c105), tablespace "tbs_8001"  
    "idx_test_106" btree (c106), tablespace "tbs_8001"  
    "idx_test_107" btree (c107), tablespace "tbs_8001"  
    "idx_test_108" btree (c108), tablespace "tbs_8001"  
    "idx_test_109" btree (c109), tablespace "tbs_8001"  
    "idx_test_11" btree (c11), tablespace "tbs_8001"  
    "idx_test_110" btree (c110), tablespace "tbs_8001"  
    "idx_test_111" btree (c111), tablespace "tbs_8001"  
    "idx_test_112" btree (c112), tablespace "tbs_8001"  
    "idx_test_113" btree (c113), tablespace "tbs_8001"  
    "idx_test_114" btree (c114), tablespace "tbs_8001"  
    "idx_test_115" btree (c115), tablespace "tbs_8001"  
    "idx_test_116" btree (c116), tablespace "tbs_8001"  
    "idx_test_117" btree (c117), tablespace "tbs_8001"  
    "idx_test_118" btree (c118), tablespace "tbs_8001"  
    "idx_test_119" btree (c119), tablespace "tbs_8001"  
    "idx_test_12" btree (c12), tablespace "tbs_8001"  
    "idx_test_120" btree (c120), tablespace "tbs_8001"  
    "idx_test_121" btree (c121), tablespace "tbs_8001"  
    "idx_test_122" btree (c122), tablespace "tbs_8001"  
    "idx_test_123" btree (c123), tablespace "tbs_8001"  
    "idx_test_124" btree (c124), tablespace "tbs_8001"  
    "idx_test_125" btree (c125), tablespace "tbs_8001"  
    "idx_test_126" btree (c126), tablespace "tbs_8001"  
    "idx_test_127" btree (c127), tablespace "tbs_8001"  
    "idx_test_128" btree (c128), tablespace "tbs_8001"  
    "idx_test_13" btree (c13), tablespace "tbs_8001"  
    "idx_test_14" btree (c14), tablespace "tbs_8001"  
    "idx_test_15" btree (c15), tablespace "tbs_8001"  
    "idx_test_16" btree (c16), tablespace "tbs_8001"  
    "idx_test_17" btree (c17), tablespace "tbs_8001"  
    "idx_test_18" btree (c18), tablespace "tbs_8001"  
    "idx_test_19" btree (c19), tablespace "tbs_8001"  
    "idx_test_2" btree (c2), tablespace "tbs_8001"  
    "idx_test_20" btree (c20), tablespace "tbs_8001"  
    "idx_test_21" btree (c21), tablespace "tbs_8001"  
    "idx_test_22" btree (c22), tablespace "tbs_8001"  
    "idx_test_23" btree (c23), tablespace "tbs_8001"  
    "idx_test_24" btree (c24), tablespace "tbs_8001"  
    "idx_test_25" btree (c25), tablespace "tbs_8001"  
    "idx_test_26" btree (c26), tablespace "tbs_8001"  
    "idx_test_27" btree (c27), tablespace "tbs_8001"  
    "idx_test_28" btree (c28), tablespace "tbs_8001"  
    "idx_test_29" btree (c29), tablespace "tbs_8001"  
    "idx_test_3" btree (c3), tablespace "tbs_8001"  
    "idx_test_30" btree (c30), tablespace "tbs_8001"  
    "idx_test_31" btree (c31), tablespace "tbs_8001"  
    "idx_test_32" btree (c32), tablespace "tbs_8001"  
    "idx_test_33" btree (c33), tablespace "tbs_8001"  
    "idx_test_34" btree (c34), tablespace "tbs_8001"  
    "idx_test_35" btree (c35), tablespace "tbs_8001"  
    "idx_test_36" btree (c36), tablespace "tbs_8001"  
    "idx_test_37" btree (c37), tablespace "tbs_8001"  
    "idx_test_38" btree (c38), tablespace "tbs_8001"  
