### Linguistic Analysis and Word Count Output for Big Five and Dark Triad Traits

#### Talk Title: Can Twitter Help Expose Psychopathic Killer’s Traits?

#### Presenters: Chris Sumner & Randall Wald

**Abstract:**

Recent research has established a connection between psychopaths and the language they use (Hancock et al., 2011). Media reports suggest that this knowledge could be applied to social networks to assist law enforcement agencies in identifying "psychopathic killers' traits." This is the first public study to explore psychopathy in the context of social media.

This study investigates the feasibility of determining psychopathy and other personality traits based on Twitter usage. We compared self-assessed 'Dark Triad' (Psychopathy, Machiavellianism, Narcissism) and 'Big Five' (Openness, Conscientiousness, Extraversion, Agreeableness, Neuroticism) personality traits with the Twitter information, usage, and language of 2,927 participants.

Our results show statistically significant correlations between individuals' darker personality traits and their Twitter activity. We also found links between users' attitudes toward privacy, their personality traits, and their Twitter use. The talk will present the improvements possible through the use of machine learning for personality prediction and share the models and techniques employed.

In addition to presenting our findings, this talk will provide an introduction to identifying psychopathic traits using the Hare Psychopathy Checklist (PCL-R), discuss the technical approaches to collecting, storing, and analyzing Twitter data using open-source technologies, and address the current ethical, privacy, and human rights concerns surrounding social media analysis, vetting, and labeling.

We will conclude with two proof-of-concept works: the first uses the visualization tool Maltego to explore how visual analysis can identify potential troublemakers at events such as far-right demonstrations; the second examines how personality traits influence responses and interactions with a benign Twitter bot.

The results highlight that, in certain contexts, personality prediction through social media can achieve a reasonably high degree of accuracy.

**Biographies:**

**Chris Sumner** is a contributor to the emerging field of Social Media Behavioral Residue research, combining his interests in psychology, social networks, data mining, and visual analytics. He has previously spoken about these topics at BlackHat and DEF CON and is scheduled to speak at the European Conference on Personality in July 2012 with a team of academic personality researchers. Chris has been directly involved in Corporate Information Security at Hewlett-Packard since 1999 and is currently focused on security in the development lifecycle. Outside of work, he co-founded the not-for-profit Online Privacy Foundation to conduct topical research and raise security awareness at a community level.

- Twitter: @TheSuggmeister
- Facebook: [Online Privacy Foundation](https://www.facebook.com/onlineprivacyfoundation)
- Website: [Online Privacy Foundation](http://www.onlineprivacyfoundation.org/)

**Randall Wald** is a researcher studying data mining and machine learning at Florida Atlantic University. After earning his BS in Biology from the California Institute of Technology, Randall shifted his focus to computer science, applying his domain knowledge to bioinformatics and building models to predict disease. He also studies machine learning in various domains, including machine condition monitoring, software engineering, and social networking.

- Website: [Florida Atlantic University Directory](http://www.ceecs.fau.edu/directory/randallwald)

**Linguistic Analysis and Word Count Output for Big Five and Dark Triad Traits:**

| Trait       | All   | Orig  | Reply | RT    | >10   | >40   |
|-------------|-------|-------|-------|-------|-------|-------|
| WC          | 0.067 | 0.074 | 0.037 | 0.056 | 0.034 | 0.053 |
| WPS         | -0.020| -0.019| -0.068| 0.010 | -0.038| -0.029|
| Sixltr      | 0.035 | 0.010 | 0.049 | 0.047 | 0.065 | 0.038 |
| Dic         | -0.073| -0.079| -0.061| -0.044| -0.049| -0.112|
| funct       | -0.076| -0.063| -0.066| -0.060| -0.062| -0.114|
| pronoun     | -0.027| -0.016| -0.025| -0.018| -0.019| -0.074|
| ppron       | -0.016| -0.008| -0.014| -0.004| -0.011| -0.056|
| i           | -0.011| -0.003| 0.005 | -0.004| -0.021| -0.042|
| we          | -0.006| 0.003 | 0.008 | 0.037 | -0.012| -0.016|
| you         | -0.005| -0.011| 0.003 | 0.010 | 0.003 | -0.013|
| shehe       | -0.040| -0.005| -0.032| -0.035| -0.029| -0.072|
| they        | -0.027| 0.008 | -0.044| -0.015| -0.065| -0.083|
| ipron       | -0.051| -0.028| -0.035| -0.025| -0.039| -0.107|
| article     | -0.015| -0.015| 0.019 | -0.041| 0.001 | -0.048|
| verb        | -0.083| -0.098| -0.066| -0.050| -0.084| -0.141|

(Note: The values in the table represent the linguistic analysis and word count output for each trait across different categories of tweets: All, Original, Reply, Retweet, Tweets with more than 10 words, and Tweets with more than 40 words.)
