Junos® OS
Network Management and Monitoring
Guide
Published
2023-12-15
ii
Juniper Networks, Inc.
1133 Innovation Way
Sunnyvale, California 94089
USA
408-745-2000
www.juniper.net
Juniper Networks, the Juniper Networks logo, Juniper, and Junos are registered trademarks of Juniper Networks, Inc.
in the United States and other countries. All other trademarks, service marks, registered marks, or registered service
marks are the property of their respective owners.
Juniper Networks assumes no responsibility for any inaccuracies in this document. Juniper Networks reserves the right
to change, modify, transfer, or otherwise revise this publication without notice.
Junos® OS Network Management and Monitoring Guide
Copyright © 2023 Juniper Networks, Inc. All rights reserved.
The information in this document is current as of the date on the title page.
YEAR 2000 NOTICE
Juniper Networks hardware and software products are Year 2000 compliant. Junos OS has no known time-related
limitations through the year 2038. However, the NTP application is known to have some difficulty in the year 2036.
END USER LICENSE AGREEMENT
The Juniper Networks product that is the subject of this technical documentation consists of (or is intended for use
with) Juniper Networks software. Use of such software is subject to the terms and conditions of the End User License
Agreement ("EULA") posted at https://support.juniper.net/support/eula/. By downloading, installing or using such
software, you agree to the terms and conditions of that EULA.
iii
Table of Contents
About This Guide | xxxvi
1 Overview
Device Management Functions in Junos OS | 2
Device and Network Management Features | 5
Tracing and Logging Operations | 10
Junos Space Support for Network Management | 12
Diagnostic Tools Overview | 13
2 Operation, Administration, and Management Features
Ethernet OAM and Connectivity Fault Management for Routers | 19
Introduction to OAM Connectivity Fault Management (CFM) | 19
Ethernet OAM Connectivity Fault Management | 20
IEEE 802.1ag OAM Connectivity Fault Management | 21
Configure Connectivity Fault Management (CFM) | 26
Create a Maintenance Domain | 27
Create a Maintenance Association | 28
Configure Maintenance Intermediate Points (MIPs) | 29
Configure Maintenance Association Intermediate Points in ACX Series | 31
Configure a MEP to Generate and Respond to CFM Protocol Messages | 35
Configure a Maintenance Association End Point (MEP) | 36
Configure a Remote Maintenance Association End Point (MEP) | 38
Configure Service Protection for VPWS over MPLS Using the MEP Interface | 39
Configure Linktrace Protocol in CFM | 44
Continuity Check Protocol Parameters Overview | 45
Configuring Continuity Check Protocol Parameters for Fault Detection | 46
Configuring Rate Limiting of Ethernet OAM Messages | 47
Enabling Enhanced Connectivity Fault Management Mode | 50
Configure Connectivity Fault Management for Interoperability During Unified In-Service
Software Upgrades | 52
iv
Junos OS Support for Performance Monitoring Compliant with Technical Specification MEF 36 | 53
Damping CFM performance Monitoring Traps and Notifications to Prevent Congestion of The
NMS | 54
CFM Action Profile | 55
CFM Action Profile to Bring Down a Group of Logical Interfaces Overview | 55
Configure a CFM Action Profile to Bring Down a Group of Logical Interfaces | 57
Configure a CFM Action Profile to Specify CFM Actions for CFM Events | 61
Ethernet Local Management Interface | 62
Ethernet Local Management Interface Overview | 62
Configure the Ethernet Local Management Interface | 65
Example E-LMI Configuration | 67
CFM Support for CCC Encapsulated Packets | 73
IEEE 802.1ag CFM OAM Support for CCC Encapsulated Packets Overview | 73
CFM Features Supported on Layer 2 VPN Circuits | 73
Configure CFM for CCC Encapsulated Packets | 74
Configure Unified ISSU for 802.1ag CFM | 75
CFM Monitoring between CE and PE Devices | 79
CFM Action Profile Asynchronous Notification | 80
Configuring a CFM Action Profile to Asyncronus Notification | 80
Understanding CFM Monitoring between CE and PE Devices | 83
Configuring Port Status TLV and Interface Status TLV | 85
TLVs Overview | 85
Various TLVs for CFM PDUs | 86
Support for Additional Optional TLVs | 88
MAC Status Defects | 96
Configuring Remote MEP Action Profile Support | 98
Monitoring a Remote MEP Action Profile | 99
Configuring Chassis ID TLV | 100
Configuring MAC Flush Message Processing in CET Mode | 101
Example: Configuring an Action Profile Based on Connection Protection TLVs | 104
Requirements | 104
Overview and Topology | 104
Configuration | 105
v
Configure Continuity Check Messages | 107
Configure Faster Protection Switching for Point-to-Point Network Topologies | 108
Configure Faster Convergence for Dual-Homed Multipoint-to-Multipoint Network Topologies | 110
Configure a Primary VLAN ID for Increased Flexibility | 111
Configure a Remote Maintenance Association to Accept a Different ID | 112
Example: Configure Ethernet CFM on Physical Interfaces | 114
Requirements | 114
Overview | 114
Configuration | 114
Example: Configure Ethernet CFM on Bridge Connections | 117
Example: Configure Ethernet CFM over VPLS | 122
Link Fault Management for Routers | 132
Introduction to OAM Link Fault Management (LFM) | 132
IEEE 802.3ah OAM Link-Fault Management Overview | 132
Understanding Ethernet OAM Link Fault Management for ACX Series Routers | 133
Configuring Ethernet 802.3ah OAM | 135
Configure Link Fault Management | 137
Configuring Link Discovery | 138
Configuring the OAM PDU Interval | 138
Configuring the OAM PDU Threshold | 139
Configuring Threshold Values for Local Fault Events on an Interface | 139
Disabling the Sending of Link Event TLVs | 140
Example: Configuring IEEE 802.3ah OAM Support on an Interface | 140
Example: Configuring IEEE 802.3ah OAM Support for an Interface on ACX Series | 141
Requirements | 141
Overview and Topology | 142
Configuring IEEE 802.3ah OAM on an ACX Series Router | 142
Example: Configuring Ethernet LFM Between Provider Edge and Customer Edge | 145
Example: Configuring Ethernet LFM for CCC | 146
Example: Configuring Ethernet LFM for Aggregated Ethernet | 148
Configuring an OAM Action Profile | 151
Specifying the Actions to Be Taken for Link-Fault Management Events | 152
Monitoring the Loss of Link Adjacency | 153
vi
Monitoring Protocol Status | 153
Configuring Threshold Values for Fault Events in an Action Profile | 154
Applying an Action Profile | 154
Remote Fault Detection for Link Fault Management | 155
Detecting Remote Faults | 155
Enabling Dying Gasp Functionality | 156
Remote Loopback for Link Fault Management | 158
Setting a Remote Interface into Loopback Mode | 158
Enabling Remote Loopback Support on the Local Interface | 159
Enabling Nonstop Routing for Ethernet Link Fault Management on Backup Routers | 159
Example: Configuring Ethernet LFM with Loopback Support | 163
Ethernet OAM Link Fault Management for Switches | 167
Ethernet OAM Link Fault Management | 167
Configure Ethernet OAM Link Fault Management | 168
Example: Configure Ethernet OAM Link Fault Management | 172
Requirements | 172
Overview and Topology | 173
Configuring Ethernet OAM Link Fault Management on Switch 1 | 173
Configuring Ethernet OAM Link Fault Management on Switch 2 | 175
Verification | 177
Ethernet OAM Connectivity Fault Management for Switches | 179
Understand Ethernet OAM Connectivity Fault Management for Switches | 179
Configure Ethernet OAM Connectivity Fault Management (CLI Procedure) | 182
Creating the Maintenance Domain | 183
Configuring the Maintenance Domain MIP Half Function | 184
Creating a Maintenance Association | 184
Configuring the Continuity Check Protocol | 184
Configuring a Maintenance Association End Point | 185
Configuring a Connectivity Fault Management Action Profile | 187
Configuring the Linktrace Protocol | 187
Example: Configure Ethernet OAM Connectivity Fault Management on EX Series Switches | 188
Requirements | 189
vii
Overview and Topology | 189
Configuring Ethernet OAM Connectivity Fault Management on Switch 1 | 189
Configuring Ethernet OAM Connectivity Fault Management on Switch 2 | 191
Verification | 194
Ethernet Frame Delay | 196
Ethernet Frame Delay Measurements on Switches | 196
Configure MEP Interfaces on Switches to Support Ethernet Frame Delay Measurements (CLI
Procedure) | 198
Configure One-Way Ethernet Frame Delay Measurements on Switches (CLI Procedure) | 199
Configure an Iterator Profile on a Switch (CLI Procedure) | 200
Trigger an Ethernet Frame Delay Measurement Session on a Switch | 201
Configure Two-Way Ethernet Frame Delay Measurements on Switches (CLI Procedure) | 202
Ethernet Service OAM (ITU-TY.1731) for Routers | 204
ITU-T Y.1731 Ethernet Service OAM Overview | 204
Ethernet Frame Delay Measurements Overview | 205
Ethernet Frame Loss Measurement Overview | 212
Service-Level Agreement Measurement | 213
On-Demand Mode for SLA Measurement | 213
Proactive Mode for SLA Measurement | 214
Ethernet Failure Notification Protocol Overview | 216
Ethernet Synthetic Loss Measurement Overview | 217
Scenarios for Configuration of ETH-SLM | 218
Format of ETH-SLM Messages | 219
Transmission of ETH-SLM Messages | 221
Configure Ethernet Frame Delay Measurement Sessions | 224
Guidelines for Configuring Routers to Support an ETH-DM Session | 224
Guidelines for Starting an ETH-DM Session | 226
Guidelines for Managing ETH-DM Statistics and ETH-DM Frame Counts | 228
Configuring Routers to Support an ETH-DM Session | 234
Configuring MEP Interfaces | 234
Ensuring That Distributed ppm Is Not Disabled | 235
Enabling the Hardware-Assisted Timestamping Option | 238
viii
Configuring the Server-Side Processing Option | 238
Triggering an Ethernet Frame Delay Measurements Session | 239
Starting an ETH-DM Session | 241
Using the monitor ethernet delay-measurement Command | 241
Starting a One-Way ETH-DM Session | 242
Starting a Two-Way ETH-DM Session | 243
Example: Configuring One-Way Ethernet Frame Delay Measurements with Single-Tagged
Interfaces | 244
Example: Configuring Two-Way Ethernet Frame Delay Measurements with Single-Tagged
Interfaces | 250
Managing Continuity Measurement Statistics | 256
Displaying Continuity Measurement Statistics | 256
Clearing Continuity Measurement Statistics | 257
Viewing Ethernet Frame Delay Measurements Statistics | 258
Managing ETH-DM Statistics and ETH-DM Frame Counts | 259
Displaying ETH-DM Statistics Only | 260
Displaying ETH-DM Statistics and Frame Counts | 261
Displaying ETH-DM Frame Counts for MEPs by Enclosing CFM Entity | 262
Displaying ETH-DM Frame Counts for MEPs by Interface or Domain Level | 263
Clearing ETH-DM Statistics and Frame Counts | 264
Configuring MEP Interfaces to Support Ethernet Frame Delay Measurements | 266
Configure Ethernet Frame Loss Measurement | 268
Configuring Statistical Frame Loss Measurement for VPLS Connections | 268
Managing ETH-LM Statistics | 269
Displaying ETH-LM Statistics | 269
Clearing ETH-LM Statistics | 271
Example: Measuring Ethernet Frame Loss for Single-Tagged LMM/LMR PDUs | 272
Requirements | 272
Overview and Topology | 272
Configuration | 273
Verification | 286
Example: Measuring Ethernet Frame Loss for Dual-Tagged LMM/LMR PDUs | 288
Requirements | 289
Overview and Topology | 289
Configuration | 290
ix
Verification | 303
Configure an Iterator Profile | 305
Configuring an Iterator Profile | 306
Verifying the Configuration of an Iterator Profile | 309
Displaying the Configuration of an Iterator Profile for Two-way Delay Measurement | 310
Displaying the Configuration of an Iterator Profile for Loss Measurement | 311
Displaying the Configuration of a Remote MEP with an Iterator Profile | 312
