dis_by_srid_4326     | 0.00012205033392033374  
dis_by_srid_3857     | 15.018266874472049  
dist_within_5_meters | f  
-[ RECORD 10 ]-------+--------------------------------------------------------------------------  
uid                  | 1  
uid                  | 11  
m                    | 1696666719.784847  
ts                   | 2023-10-07 08:18:39.784847+00  
a                    | MULTIPOINT M ((121.01649247573907 30.253476133300673 1696666719.784847))  
b                    | MULTIPOINT M ((121.01654042665702 30.25344092913426 1696666719.784847))  
tra_meters           | 6.043744124177614  
line_meters          | 0.014478272570600022  
dis_by_srid_4326     | 5.948633343239396e-05  
dis_by_srid_3857     | 11.82060975306182  
dist_within_5_meters | f  
```  
得到了10月7日与受害人有过近距离接触(1米以内)的信息:   
- 谁? b.uid   
- 什么时间? ts   
- 什么地点? apos, bpos   
- 接触点距离多近? tra_meters   
PS: 如果使用ganos可以得到更多的信息, 当我们限定小于N米距离表示接触, 返回的是数组, 而不仅仅是一个点的信息.    
数组提供了更多的信息, 例如伴随路径,时间等.  有兴趣的同学请继续研究Ganos插件.  
```  
with   
-- a 受害人(ID=1) 10.7号轨迹  
a as (select uid, ST_MakeLine(pos order by ts) as tra from user_pos where uid=1 and ts >= '2023-10-07' and ts  1 and ts >= '2023-10-07' and ts < '2023-10-08' group by 1)   
select   
  a.uid,  
  b.uid,  
  -- 两条轨迹相隔最近时的M值, 这里M代表时间戳   
  ST_ClosestPointOfApproach(a.tra, b.tra) m,  
  -- 将M转换为时间戳  
  to_timestamp(ST_ClosestPointOfApproach(a.tra, b.tra)) ts,  
  -- 两条轨迹最近时轨迹a的位置   
  st_astext(ST_LocateAlong(a.tra, ST_ClosestPointOfApproach(a.tra, b.tra))) apos,  
  -- 两条轨迹最近时轨迹b的位置   
  st_astext(ST_LocateAlong(b.tra, ST_ClosestPointOfApproach(a.tra, b.tra))) bpos,  
  -- 使用球坐标计算两条轨迹最近时的距离, 单位米  
  ST_DistanceSpheroid(ST_LocateAlong(a.tra, ST_ClosestPointOfApproach(a.tra, b.tra)), ST_LocateAlong(b.tra, ST_ClosestPointOfApproach(a.tra, b.tra))) tra_meters,   
  -- 不管轨迹M值, 以纯线段的方式计算2条轨迹的距离, 单位米  
  ST_DistanceSpheroid(a.tra, b.tra) line_meters,   
  -- 由于轨迹使用4326坐标系, 不转换坐标系, 使用ST_DistanceCPA计算两条轨迹最近时的距离得到的是degree单位的值  
  ST_DistanceCPA(a.tra, b.tra) dis_by_srid_4326,   
  -- 将几何对象转换为适用于米的投影坐标参考系统  
  -- 转换为BD-09（百度坐标系）的EPSG代码是EPSG：3857, GCJ-02和BD-09是非标准的坐标系，其转换结果可能存在一定的误差。  
  ST_DistanceCPA(ST_Transform(a.tra,3857), ST_Transform(b.tra,3857)) dis_by_srid_3857,   
  -- 接触点距离是否在1米以内?    
  ST_DistanceSpheroid(ST_LocateAlong(a.tra, ST_ClosestPointOfApproach(a.tra, b.tra)), ST_LocateAlong(b.tra, ST_ClosestPointOfApproach(a.tra, b.tra))) < 1 dist_within_1_meters   
from a,b   
where   
  -- 接触点距离在1米以内    
  ST_DistanceSpheroid(ST_LocateAlong(a.tra, ST_ClosestPointOfApproach(a.tra, b.tra)), ST_LocateAlong(b.tra, ST_ClosestPointOfApproach(a.tra, b.tra))) < 1   
;    
```  
```  
 uid |  uid  |         m          |              ts               |                                   apos                                    |                                   bpos                      
                |      tra_meters      |     line_meters      |    dis_by_srid_4326    |  dis_by_srid_3857   | dist_within_1_meters   
-----+-------+--------------------+-------------------------------+---------------------------------------------------------------------------+-----------------------------------------------------------  
----------------+----------------------+----------------------+------------------------+---------------------+----------------------  
   1 |    16 | 1696711287.0637639 | 2023-10-07 20:41:27.063764+00 | MULTIPOINT M ((121.179514921611 30.202250277204946 1696711287.0637639))   | MULTIPOINT M ((121.17951589281729 30.202247724543867 16967  
11287.0637639)) |  0.29802977629678595 | 0.017088185140647746 | 2.7311756121174723e-06 |   9.851859586106789 | t  
   1 |    23 | 1696673079.4389594 | 2023-10-07 10:04:39.438959+00 | MULTIPOINT M ((121.19259837793997 30.102287001200715 1696673079.4389594)) | MULTIPOINT M ((121.19259184264052 30.1022845365676 1696673  
079.4389594))   |   0.6866180882664799 |                    0 |  6.984594030331777e-06 |   0.331713166532339 | t  
   1 |    24 | 1696694100.1699324 | 2023-10-07 15:55:00.169932+00 | MULTIPOINT M ((121.31577521460606 30.12400778947977 1696694100.1699324))  | MULTIPOINT M ((121.31577443009843 30.124007099270315 16966  
94100.1699324)) |  0.10756191927499771 |  0.00909950209249224 | 1.0449105905812406e-06 |  0.5964301291912145 | t  
   1 |    52 |  1696687781.956004 | 2023-10-07 14:09:41.956004+00 | MULTIPOINT M ((121.32612384229635 30.38429201588597 1696687781.956004))   | MULTIPOINT M ((121.32612636452372 30.38429238351746 169668  
7781.956004))   |  0.24581924311992584 | 0.045892882767090054 | 2.5488788815666763e-06 |   0.641131518765304 | t  
   1 |    66 | 1696710449.2383232 | 2023-10-07 20:27:29.238323+00 | MULTIPOINT M ((121.19927072257184 30.224691424142552 1696710449.2383232)) | MULTIPOINT M ((121.1992771364212 30.22468591556549 1696710  
449.2383232))   |   0.8684180012921737 | 0.002397637444492437 |  8.454696012053516e-06 |  0.3008637252343871 | t  
   1 |    86 |  1696718794.016806 | 2023-10-07 22:46:34.016806+00 | MULTIPOINT M ((121.14680299750056 30.3187883438485 1696718794.016806))    | MULTIPOINT M ((121.14679871755352 30.318787521913755 16967  
18794.016806))  |   0.4215941825998081 | 0.011436598849449354 |  4.358155945315723e-06 |  1.9039684461333242 | t  
   1 |   274 | 1696663952.4315116 | 2023-10-07 07:32:32.431512+00 | MULTIPOINT M ((121.5712085725069 28.75975077080727 1696663952.4315116))   | MULTIPOINT M ((121.57121841057288 28.75975119167405 169666  
3952.4315116))  |   0.9619502356195184 |   0.7167056969789865 |  9.844668142077385e-06 |   87.66814056462134 | t  
   1 |   952 | 1696704013.8419132 | 2023-10-07 18:40:13.841913+00 | MULTIPOINT M ((121.02689413772583 29.755560576553346 1696704013.8419132)) | MULTIPOINT M ((121.02689975697152 29.755556990628868 16967  
04013.8419132)) |   0.6733482055635507 |    2.346209489731119 |  6.665941503573243e-06 |  488.70467529515736 | t  
   1 |  1327 |  1696700397.318303 | 2023-10-07 17:39:57.318303+00 | MULTIPOINT M ((119.1528412981224 29.633691846618653 1696700397.318303))   | MULTIPOINT M ((119.15284157641521 29.633690893539352 16967  
00397.318303))  |  0.10902846597912982 |   1.2128953826930036 |  9.928781387071022e-07 |  1309.0723316207764 | t  
