为了使数据更加清晰、连贯和专业，可以将这些数值整理成表格，并在表格中添加必要的标题和说明。以下是优化后的版本：

### 实验结果汇总

#### 数据集1
| 序号 | 值1 ± 标准差1 | 值2 ± 标准差2 | 值3 ± 标准差3 |
| --- | --- | --- | --- |
| 1 | 96.6 ± 0.62 | 79.3 ± 1.44 | 62.1 ± 0.82 |
| 2 | 96.1 ± 2.23 | 72.3 ± 0.08 | 60.7 ± 1.10 |
| 3 | 97.5 ± 1.56 | 74.8 ± 0.37 | 99.9 ± 0.03 |
| ... | ... | ... | ... |
| 30 | 75.3 ± 0.47 | - | - |

#### CH-MNIST 数据集
| 序号 | 值1 ± 标准差1 | 值2 ± 标准差2 | 值3 ± 标准差3 |
| --- | --- | --- | --- |
| 1 | 62.5 ± 0.62 | 85.8 ± 8.22 | 71.7 ± 3.53 |
| 2 | 62.1 ± 0.19 | 84.8 ± 9.70 | 70.9 ± 4.03 |
| 3 | 74.7 ± 24.9 | 40.9 ± 13.7 | 52.8 ± 17.6 |
| ... | ... | ... | ... |
| 30 | 75.6 ± 1.90 | - | - |

#### Location 数据集
| 序号 | 值1 ± 标准差1 | 值2 ± 标准差2 | 值3 ± 标准差3 |
| --- | --- | --- | --- |
| 1 | 68.9 ± 5.09 | 93.6 ± 6.39 | 78.4 ± 3.23 |
| 2 | 69.1 ± 4.98 | 92.8 ± 7.17 | 78.1 ± 3.39 |
| 3 | 14.1 ± 2.93 | 63.7 ± 1.60 | 22.7 ± 3.87 |
| ... | ... | ... | ... |
| 30 | 75.6 ± 1.79 | - | - |

#### Purchase-50 数据集
| 序号 | 值1 ± 标准差1 | 值2 ± 标准差2 | 值3 ± 标准差3 |
| --- | --- | --- | --- |
| 1 | 61.0 ± 1.64 | 67.1 ± 19.9 | 59.4 ± 11.9 |
| 2 | 61.0 ± 1.73 | 67.6 ± 19.9 | 59.6 ± 12.1 |
| 3 | 61.6 ± 12.1 | 63.2 ± 1.97 | 53.5 ± 7.26 |
| ... | ... | ... | ... |
| 30 | 79.9 ± 0.57 | - | - |

#### Texas 数据集
| 序号 | 值1 ± 标准差1 | 值2 ± 标准差2 | 值3 ± 标准差3 |
| --- | --- | --- | --- |
| 1 | 62.5 ± 3.02 | 99.8 ± 0.15 | 76.7 ± 2.20 |
| 2 | 62.5 ± 2.80 | 99.9 ± 0.08 | 76.8 ± 2.07 |
| 3 | 0.34 ± 0.20 | 24.6 ± 14.2 | 0.67 ± 0.38 |
| ... | ... | ... | ... |
| 30 | 74.1 ± 1.62 | - | - |

#### CIFAR-100 数据集
| 序号 | 值1 ± 标准差1 | 值2 ± 标准差2 | 值3 ± 标准差3 |
| --- | --- | --- | --- |
| 1 | 73.2 ± 12.1 | 99.5 ± 0.28 | 83.1 ± 3.53 |
| 2 | 70.3 ± 9.33 | 99.6 ± 0.11 | 81.7 ± 6.66 |
| 3 | 97.2 ± 1.70 | 86.2 ± 3.55 | 92.8 ± 1.72 |
| ... | ... | ... | ... |
| 10 | 75.3 ± 0.47 | - | - |

通过这种方式，数据的结构更加清晰，便于读者理解和比较不同数据集之间的结果。如果需要进一步的信息或具体的分析，请告知。
