### Preflight Checklist
  * I have read the Contributing Guidelines for this project.
  * I agree to follow the Code of Conduct that this project adheres to.
  * I have searched the issue tracker for an issue that matches the one I want to file, without success.
### Issue Details
Electron crashes because of node 14.16.0 on Apple M1 if using RealmJS (that
internally triggers code path that uses WASM).  
You can check the issue reported on node repo (nodejs/node#37061) that is
related to the same crash happening on Electron built for ARM64.
  * **Electron Version:**
    * v12.0.0
  * **Operating System:**
    * macOS 11.2
  * **Last Known Working Electron version:**
    * Never worked
### Expected Behavior
When building Electron for ARM64 on OSX (Apple Silicon M1) and using RealmJS,
the app should not crash.
### Actual Behavior
When opening the Electron App, it crashes.
### To Reproduce
Initialise RealmJS in the BrowserWindow, the app will crash.
### Screenshots
### Additional Information
Crash report:
    Application Specific Information:
    abort() called
    Thread 0 Crashed:: CrRendererMain  Dispatch queue: com.apple.main-thread
    0   libsystem_kernel.dylib        	0x0000000193ceccec __pthread_kill + 8
    1   libsystem_pthread.dylib       	0x0000000193d1dc24 pthread_kill + 292
    2   libsystem_c.dylib             	0x0000000193c65864 abort + 104
    3   com.github.Electron.framework 	0x0000000106b1b240 v8::internal::compiler::ZoneStats::GetCurrentAllocatedBytes() const + 10710128
    4   com.github.Electron.framework 	0x0000000107db9f00 v8::internal::compiler::ZoneStats::GetCurrentAllocatedBytes() const + 30234928
    5   com.github.Electron.framework 	0x0000000107db9994 v8::internal::compiler::ZoneStats::GetCurrentAllocatedBytes() const + 30233540
    6   com.github.Electron.framework 	0x0000000105d07adc v8::internal::FatalProcessOutOfMemory(v8::internal::Isolate*, char const*) + 696
    7   com.github.Electron.framework 	0x0000000105d07aa0 v8::internal::FatalProcessOutOfMemory(v8::internal::Isolate*, char const*) + 636
    8   com.github.Electron.framework 	0x0000000105f84564 v8::internal::wasm::WasmCodeManager::Commit(v8::base::AddressRegion) + 180
    9   com.github.Electron.framework 	0x000000010340b6a8 v8::internal::wasm::NativeModule::AddCodeSpace(v8::base::AddressRegion, v8::internal::wasm::WasmCodeAllocator::OptionalLock const&) + 1324
    10  com.github.Electron.framework 	0x000000010340c1e8 v8::internal::wasm::NativeModule::CreateEmptyJumpTableInRegion(int, v8::base::AddressRegion, v8::internal::wasm::WasmCodeAllocator::OptionalLock const&) + 68
    11  com.github.Electron.framework 	0x000000010340b278 v8::internal::wasm::NativeModule::AddCodeSpace(v8::base::AddressRegion, v8::internal::wasm::WasmCodeAllocator::OptionalLock const&) + 252
    12  com.github.Electron.framework 	0x000000010340bf18 v8::internal::wasm::NativeModule::NativeModule(v8::internal::wasm::WasmEngine*, v8::internal::wasm::WasmFeatures const&, v8::internal::VirtualMemory, std::__1::shared_ptr, std::__1::shared_ptr, std::__1::shared_ptr*) + 632
