  109        运维日志-响应时间
  110        运维日志-错误码
  111        运维日志-阻断（是/否）
  112        运维日志-输入命令
  113        运维日志-输入数据
  ---------- -------------------------------------------------------------
7.  隔离装置日志格式规范（通过堡垒机登陆）
  ---------- -------------------------------------------------------------
  **序号**   **记录项**
  1          基本信息-设备标识
  2          基本信息-设备类别
  3          基本信息-用户列表
  4          基本信息-设备IP
  5          基本信息-设备MAC
  6          基本信息-所属单位
  7          基本信息-运维单位
  8          基本信息-责任人
  9          基本信息-版本号
  10         登录日志-登录时间
  11         登录日志-登出时间
  12         登录日志-登录帐号
  13         登录日志-登录IP
  14         登录日志-登录认证方式
  15         登录日志-登录认证结果
  16         配置快照
  17         日志快照
  18         日志大小
  19         业务信息-当前连接数
  20         业务信息-应用名称
  21         业务信息-服务器名称
  22         业务信息-虚拟数据库名称
  23         业务信息-真实数据库名称
  24         执行信息-发生时间
  25         执行信息-SQL内容
  26         执行信息-数据源IP
  27         执行信息-数据源端口
  28         告警信息-告警ID
  29         告警信息-告警时间
  30         告警信息-告警类型（SQL拒绝、非法报文、异常告警）
  31         告警信息-告警内容
  ---------- -------------------------------------------------------------
## 应用类日志
1.  中间件日志格式规范
> （海关为支持上层业务系统的mysql bistalk 承接应用系统的一套软件）
  --------------- -------------------------------------------------------
  **序号**        **记录项**
  1               事件名
  2               事件时间
  3               应用名
  4               事件优先级
  5               事件请求动作
  6               事件请求URL
  7               事件返回信息
  8               事件请求大小
  9               事件客户端浏览器信息
  --------------- -------------------------------------------------------
2.  业务系统日志格式规范
  --------------- -------------------------------------------------------
  **序号**        **记录项**
  1               事件名
  2               事件产生时间
  3               事件源IP
  4               事件优先级
  5               业务系统名称
  6               功能模块
  7               操作名称
  8               操作结果
  9               关键数据
  --------------- -------------------------------------------------------
## 终端类日志
1.  桌面终端设备日志格式规范
  --------------- -------------------------------------------------------
  1               终端标识
  2               系统用户
  3               窗口标题
  4               键盘输入
  5               鼠标点击
  6               编辑内容
  7               新进程
  8               网络连接
  9               剪贴板
  10              打开文件
  11              SECURE-CRT
  12              X-SHELL
  13              CMD窗口
  14              目标账号
  15              使用协议
  16              操作内容
  17              目标地址
  18              PLSQL SQL
  19              IM2000
  20              工具名称
  21              目标账号
  22              使用协议
  23              操作对象
  24              操作内容
  25              源IP地址
  26              目标IP地址
  27              应用系统账号
  28              登录时间
  29              标题信息
  30              URL信息
  31              操作方式
  32              页面加载时间
  33              Html源代码数据
  34              表单信息
  35              关键字
  --------------- -------------------------------------------------------
2.  移动终端类日志格式规范
  --------------- -------------------------------------------------------
  **序号**        **记录项**
  1               设备IMEI（移动设备国际识别码）
  2               设备型号
  3               操作系统版本
  4               内存大小
  5               SD卡大小
  6               设备分辨率
  7               通讯录信息
  8               WIFI信息
  9               摄像头信息
  10              设备位置信息
  11              设备是否root或越狱
  12              终端基本信息-资产编号
  13              终端基本信息-终端名称
  14              终端基本信息-终端IP
  15              终端基本信息-MAC地址
  16              终端基本信息-系统名称
  17              终端基本信息-系统版本号
  18              终端基本信息-责任人
  19              终端基本信息-使用人
  20              安全策略信息-是否强制自动锁定
  21              安全策略信息-自动锁定时间间隔
  22              安全策略信息-解锁方式
  23              网络连接信息-访问时间
  24              网络连接信息-结束时间
  25              网络连接信息-应用名称
  26              网络连接信息-流量大小
  27              终端应用信息-快照时间
  28              终端应用信息-应用名称
  29              终端应用信息-执行路径
  30              终端应用信息-应用快照
  31              终端应用信息-启动时间
  32              终端应用信息-停止时间
  33              应用管理日志-应用名称
  34              应用管理日志-安装位置
  35              应用管理日志-版本号
  36              应用管理日志-登录帐号
  37              应用管理日志-操作时间
  38              应用管理日志-操作类型
  --------------- -------------------------------------------------------
3、采集终端类日志格式规范
  --------------- -------------------------------------------------------
  **序号**        **记录项**
  1               资产编号
  2               终端名称
  3               终端IP
  4               MAC地址
  5               安装位置
  6               责任人
  7               接入方式
  8               发起时间
  9               结束时间
  10              连接方向
  11              上传流量
  12              下载流量
  13              传输内容
  --------------- -------------------------------------------------------
# 日志统一采集规范
日志中心对日志的收集采用统一的规范策略，制定针对不同设备日志类型的日志采集方式和采集频度。具体采集规范要求如下：
  ----------------------- ---------------------------- -----------------------
  **设备类型**            **采集方式**                 **采集频度**
  主机                    Agent主动采集                默认100ms，可配置
                          Syslog/rsyslog被动收集       实时收集
  数据库                  Agent主动采集                默认100ms，可配置
                          旁路监控技术                 实时收集分析
  中间件                  Agent主动采集                默认100ms，可配置
                          Syslog/rsyslog被动收集       实时收集
  交换机                  Syslog方式被动收集           实时收集
  网络流量                流量采集器采用端口镜像方式   实时收集
  防火墙                  Syslog方式被动收集           实时收集
