User: 请解释什么是RESTful API，并列举其设计时需要遵守的原则。
Assistant: RESTful API是一种基于HTTP协议构建的Web API。它的设计思想是基于资源的，客户端和服务器之间通过HTTP请求和响应进行交互，客户端能够使用HTTP方法(GET、POST、PUT、DELETE等)和资源的URL来调用API。

设计RESTful API遵守以下原则：

1. 基于资源：API的设计应该基于资源的概念，资源通过URL来表示。

2. 使用HTTP方法：HTTP方法(GET、POST、PUT、DELETE等)用来定义对资源的操作，客户端通过对资源的操作来调用API。

3. 状态转移：API的设计应该通过状态转移的方式来定义操作流程，资源的状态变化通过HTTP状态码表示。

4. 无状态性：API的设计应该避免服务器保存客户端的状态信息，客户端必须携带必要的状态信息来进行操作，以便服务器能够理解请求。

5. 使用HATEOAS：API的设计应该使用超媒体作为应答的一部分，客户端通过解析超媒体来发现新的资源。

6. 可缓存性：API响应应该能够被缓存，以提高性能和可伸缩性。

7. 分层系统：API应该构建在分层系统之上，以支持不同层次的部署和扩展。

以上是RESTful API设计时需要遵守的原则，遵循这些原则可以使API更加简单、灵活、可伸缩和易于维护。
