# 值得收藏的PowerShell工具

## 译文声明
本文为翻译文章，原文来源：黑暗行者
原文地址：[http://mp.weixin.qq.com/s?__biz=MzA4NTU5Mzk0Mw==&mid=402000430&idx=1&sn=0beffeafa4876f320f49ee7e1942479c&scene=23&srcid=1130R6f1rX6kONbg30WqrBWx#rd](http://mp.weixin.qq.com/s?__biz=MzA4NTU5Mzk0Mw==&mid=402000430&idx=1&sn=0beffeafa4876f320f49ee7e1942479c&scene=23&srcid=1130R6f1rX6kONbg30WqrBWx#rd)
译文仅供参考，具体内容和含义请以原文为准。

---

### UnmanagedPowerShell
- **链接**：[https://github.com/leechristensen/UnmanagedPowerShell](https://github.com/leechristensen/UnmanagedPowerShell)
- **描述**：允许从非托管程序执行PowerShell脚本，并且经过一些修改后可以注入到其他进程中。

### Throwback
- **描述**：HTTP/S标记注入工具。

### ThrowbackLP
- **描述**：监听站反向注入工具。

### CrackMapExec
- **描述**：适用于Windows和Active Directory环境的一站式渗透测试工具。

### PowerShellMafia
- **描述**：PowerSploit是一系列用于渗透测试各个阶段的PowerShell模块集合。

### Nishang
- **描述**：基于PowerShell的渗透测试专用工具集，包含多种框架、脚本和payload。这些脚本由Nishang的作者在实际渗透测试中编写，具有实战价值。
- **相关链接**：[Freebuf的相关帖子](http://www.freebuf.com/tools/10443.html)

### ReflectiveDLLInjection
- **描述**：反射型DLL注入是一种库注入技术，主要用于将库从内存加载到主机进程中。该库需要实现最小的PE文件加载器来加载自身，从而减少与主机系统和进程的交互。

### PSRecon
- **描述**：PSRecon使用PowerShell（V2或更高版本）从远程Windows主机收集数据，并将数据存储在一个文件夹中。它会对所有提取的数据进行哈希处理，并将结果发送给安全团队。数据可以共享、通过邮件发送或本地保存。

### PowerShellArsenal
- **描述**：一个用于逆向工程的PowerShell模块，支持反汇编托管和非托管代码、.NET恶意软件分析、内存分析、文件格式解析以及获取内部系统信息等。

### PowerShell-AD-Recon
- **描述**：一个有用的PowerShell脚本，用于Active Directory侦察。

### PowerCat
- **描述**：PowerShell的TCP/IP瑞士军刀，类似于Netcat和Ncat。

### Unicorn
- **描述**：一个简单的工具，用于PowerShell降级攻击和直接将shellcode注入内存。

### Posh-SecMod
- **描述**：一个包含安全cmdlets的PowerShell模块，用于安全相关的工作。

### PowerShell API 手册
- **描述**：PInvoke.net是一个wiki，允许开发者查找、编辑和添加PInvoke签名、用户定义类型以及与调用Win32和其他非托管API相关的托管代码信息。

### PowerTools
- **链接**：[https://github.com/PowerShellEmpire/PowerTools](https://github.com/PowerShellEmpire/PowerTools)
- **描述**：一系列PowerShell工具。

### Empire
- **链接**：[https://github.com/powershellempire/empire](https://github.com/powershellempire/empire)
- **描述**：一个PowerShell后期漏洞利用代理工具。

### Honeyport
- **描述**：一个用于创建Windows蜜罐端口的PowerShell脚本。

### PowerMemory
- **描述**：可以从文件和内存中提取当前的一些证书信息。
