### 1.4 wayVtepIP notify MIB
#### 文件定义
- **一致性**：文件定义一致。
- **创建约束**：该表不支持创建。
- **修改约束**：该表不支持修改。
- **删除约束**：该表不支持删除。
- **读取约束**：该表不支持读取。

### 32.5 告警节点详细描述
**文档版本 06 (2017-09-12) 华为专有和保密信息 405**
版权所有 © 华为技术有限公司
CloudEngine 12800系列交换机
MIB参考 32 HUAWEI-ETHARP-MIB

#### 32.5.1 hwEthernetARPSpeedLimitAlarm 详细描述
- **OID**：1.3.6.1.4.1.2011.5.25.123.2.1
- **节点名称**：hwEthernetARPSpeedLimitAlarm
- **绑定变量**：
  - hwEthernetARPSpeedLimitIfIndex
  - hwEthernetARPSpeedLimitConfigured
  - hwEthernetARPSpeedLimitCurrent
  - hwEthernetARPSpeedLimitType
  - hwEthernetARPSpeedLimitSrcIPAddr
  - hwEthernetARPSpeedLimitDstIPAddr
  - hwEthernetARPSpeedLimitVPNinstance
- **含义**：当ARP报文或ARP Miss消息的发送速率超过配置的限速值时，发送告警信息。
- **实现规格**：实现与MIB文件定义一致。

#### 32.5.2 hwEthernetARPIPConflictEvent 详细描述
- **OID**：1.3.6.1.4.1.2011.5.25.123.2.6
- **节点名称**：hwEthernetARPIPConflictEvent
- **绑定变量**：
  - hwEthernetARPIPConflictIPAddress
  - hwEthernetARPIPConflictLocalInterfaceName
  - hwEthernetARPIPConflictLocalMAC
  - hwEthernetARPIPConflictLocalVLAN
  - hwEthernetARPIPConflictLocalCEVLAN
  - hwEthernetARPIPConflictReceiveInterfaceName
  - hwEthernetARPIPConflictReceiveMAC
  - hwEthernetARPIPConflictReceiveVLAN
  - hwEthernetARPIPConflictReceiveCEVLAN
  - hwEthernetARPIPConflictType
- **含义**：当设备检测到以太网络中存在IP地址冲突时，触发IP地址冲突告警。
- **实现规格**：实现与MIB文件定义一致。

#### 32.5.3 hwEthernetARPMACIPConflict 详细描述
- **OID**：1.3.6.1.4.1.2011.5.25.123.2.7
- **节点名称**：hwEthernetARPMACIPConflict
- **绑定变量**：
  - hwEthernetARPIPConflictLocalInterfaceName
  - hwEthernetARPIPConflictReceiveMAC
  - hwEthernetARPIPConflictIPAddress
  - hwEthernetARPReceiveDstMAC
  - hwEthernetARPReceiveDstIPAddr
  - hwEthernetARPIPConflictReceiveVLAN
  - hwEthernetARPIPConflictReceiveCEVLAN
  - hwEthernetARPIPConflictReceiveInterfaceName
- **含义**：当设备收到源IP地址/源MAC地址和本设备的接口IP地址/MAC地址相同的ARP报文时，发送IP地址/MAC地址冲突告警。
- **实现规格**：实现与MIB文件定义一致。

#### 32.5.4 hwEthernetARPMACIPConflictResolved 详细描述
- **OID**：1.3.6.1.4.1.2011.5.25.123.2.8
- **节点名称**：hwEthernetARPMACIPConflictResolved
- **绑定变量**：
  - hwEthernetARPIPConflictLocalInterfaceName
  - hwEthernetARPIPConflictReceiveMAC
  - hwEthernetARPIPConflictIPAddress
- **含义**：在30分钟内，如果设备不再收到源IP地址/源MAC地址和本设备的接口IP地址/MAC地址相同的ARP报文，则发送IP地址/MAC地址冲突解除告警。
- **实现规格**：实现与MIB文件定义一致。

#### 32.5.5 hwEthernetARPHostIPConflict 详细描述
- **OID**：1.3.6.1.4.1.2011.5.25.123.2.13
- **节点名称**：hwEthernetARPHostIPConflict
- **绑定变量**：
  - hwEthernetARPHostMAC
  - hwEthernetARPGatewayVtepIP
- **含义**：当终端用户IP地址发生冲突时，触发告警。
- **实现规格**：实现与MIB文件定义一致。

#### 32.5.6 hwEthernetARPHostIPConflictResume 详细描述
- **OID**：1.3.6.1.4.1.2011.5.25.123.2.14
- **节点名称**：hwEthernetARPHostIPConflictResume
- **绑定变量**：
  - hwEthernetARPHostMAC
  - hwEthernetARPGatewayVtepIP
- **含义**：当终端用户IP地址冲突解除时，触发告警。
- **实现规格**：实现与MIB文件定义一致。

### 33 HUAWEI-EVC-MIB
**文档版本 06 (2017-09-12) 华为专有和保密信息 410**
版权所有 © 华为技术有限公司
CloudEngine 12800系列交换机
MIB参考 33 HUAWEI-EVC-MIB

#### 33.1 功能简介
华为公司定义了HUAWEI-EVC-MIB，主要用于查询VXLAN（Virtual eXtensible Local Area Network）中广播域BD的流量信息。BD是VXLAN网络中的二层广播域，通过将VXLAN网络标识VNI（VXLAN Network Identifier）以1:1方式映射到广播域BD，BD成为VXLAN网络的实体，用于转发数据报文。

**根节点**：
iso(1).org(3).dod(6).internet(1).private(4).enterprises(1).huawei(2011).huaweiMgmt(5).hwDatacomm(25).hwEVC(336)

#### 33.2 表间关系
无

