               densities: '160' '240' '320' '480' '640'
               native-code: 'armeabi-v7a' 'x86' 'x86_64'
    [   +6 ms] Stopping app 'app.apk' on Google Pixel 2, 8 0, API 26, 1080x1920.
    [   +2 ms] C:\Users\seenickcode\AppData\Local\Android\Sdk\platform-tools\adb -s 192.168.65.101:5555 shell am force-stop com.example.lesson05
    [ +178 ms] C:\Users\seenickcode\AppData\Local\Android\Sdk\platform-tools\adb -s 192.168.65.101:5555 shell pm list packages com.example.lesson05
    [ +603 ms] package:com.example.lesson05
    [   +5 ms] C:\Users\seenickcode\AppData\Local\Android\Sdk\platform-tools\adb -s 192.168.65.101:5555 shell cat /data/local/tmp/sky.com.example.lesson05.sha1
    [  +70 ms] 83cb98fa05d0a8998124b3ec572023e6e41e2bdb
    [  +14 ms] Latest build already installed.
    [   +2 ms] Google Pixel 2, 8 0, API 26, 1080x1920 startApp
    [  +13 ms] C:\Users\seenickcode\AppData\Local\Android\Sdk\platform-tools\adb -s 192.168.65.101:5555 shell am start -a android.intent.action.RUN -f 0x20000000 --ez enable-background-compilation true --ez enable-dart-profiling true --ez enable-checked-mode true com.example.lesson05/com.example.lesson05.MainActivity
    [ +143 ms] Starting: Intent { act=android.intent.action.RUN flg=0x20000000 cmp=com.example.lesson05/.MainActivity (has extras) }
    [  +12 ms] Waiting for observatory port to be available...
    [ +602 ms] I/FlutterActivityDelegate( 2227): onResume setting current activity to this
    [  +87 ms] Observatory URL on device: http://127.0.0.1:37459/
    [  +12 ms] C:\Users\seenickcode\AppData\Local\Android\Sdk\platform-tools\adb -s 192.168.65.101:5555 forward tcp:8105 tcp:37459
    [  +36 ms] Forwarded host port 8105 to device port 37459 for Observatory
    [  +18 ms] Connecting to service protocol: http://127.0.0.1:8105/
    [ +362 ms] Successfully connected to service protocol: http://127.0.0.1:8105/
    [   +7 ms] getVM: {}
    [  +35 ms] getIsolate: {isolateId: isolates/604683667}
    [   +5 ms] _flutter.listViews: {isolateId: isolates/604683667}
    [  +73 ms] DevFS: Creating new filesystem on the device (null)
    [   +2 ms] _createDevFS: {fsName: lesson06}
    [  +55 ms] DevFS: Created new filesystem on the device (file:///data/user/0/com.example.lesson05/cache/lesson06MDDBHM/lesson06/)
    [   +5 ms] Updating assets
    [ +295 ms] Syncing files to device Google Pixel 2, 8 0, API 26, 1080x1920...
    [  +13 ms] DevFS: Starting sync from LocalDirectory: 'C:\Users\seenickcode\code\fluttercrashcourse-lessons\recipe01-product-detail-pages\lesson06'
    [   +1 ms] Scanning project files
    [   +7 ms] Scanning package files
    [ +107 ms] Scanning asset files
    [   +3 ms] Scanning for deleted files
    [  +45 ms] Compiling dart to kernel with 421 updated files
    [   +6 ms] C:\src\flutter\bin\cache\dart-sdk\bin\dart C:\src\flutter\bin\cache\artifacts\engine\windows-x64\frontend_server.dart.snapshot --sdk-root C:\src\flutter\bin\cache\artifacts\engine\common\flutter_patched_sdk/ --incremental --strong --target=flutter --output-dill build\app.dill --packages C:\Users\seenickcode\code\fluttercrashcourse-lessons\recipe01-product-detail-pages\lesson06\.packages --filesystem-scheme org-dartlang-root
    [  +83 ms] D/        ( 2227): HostConnection::get() New Host Connection established 0xe76d7a80, tid 2245
    [  +15 ms] W/        ( 2227): Unrecognized GLES max version string in extensions:
    [  +20 ms] I/flutter ( 2227): ══╡ EXCEPTION CAUGHT BY SERVICES ╞══════════════════════════════════════════════════════════════════
    [  +14 ms] I/flutter ( 2227): The following SocketException was thrown resolving an image codec:
    [   +1 ms] I/flutter ( 2227): Failed host lookup: 'everydaydreamholiday.com' (OS Error: No address associated with hostname, errno
    [        ] I/flutter ( 2227): = 7)
    [  +36 ms] I/flutter ( 2227):
    [   +2 ms] I/flutter ( 2227): When the exception was thrown, this was the stack:
    [  +41 ms] I/flutter ( 2227): #0      NetworkImage._loadAsync (package:flutter/src/painting/image_provider.dart:440:39)
    [   +3 ms] I/flutter ( 2227): 
    [   +6 ms] I/flutter ( 2227): #1      NetworkImage.load (package:flutter/src/painting/image_provider.dart:425:14)
    [   +1 ms] I/flutter ( 2227): #2      ImageProvider.resolve.. (package:flutter/src/painting/image_provider.dart:265:86)
    [   +2 ms] I/flutter ( 2227): #3      ImageCache.putIfAbsent (package:flutter/src/painting/image_cache.dart:82:22)
    [   +6 ms] I/flutter ( 2227): #4      ImageProvider.resolve. (package:flutter/src/painting/image_provider.dart:265:63)
    [   +3 ms] I/flutter ( 2227): #5      SynchronousFuture.then (package:flutter/src/foundation/synchronous_future.dart:38:29)
    [   +1 ms] I/flutter ( 2227): #6      ImageProvider.resolve (package:flutter/src/painting/image_provider.dart:263:30)
    [  +10 ms] I/flutter ( 2227): #7      _ImageState._resolveImage (package:flutter/src/widgets/image.dart:526:20)
    [   +6 ms] I/flutter ( 2227): #8      _ImageState.didChangeDependencies (package:flutter/src/widgets/image.dart:501:5)
    [   +1 ms] I/flutter ( 2227): #9      StatefulElement._firstBuild (package:flutter/src/widgets/framework.dart:3767:12)
    [        ] I/flutter ( 2227): #10     ComponentElement.mount (package:flutter/src/widgets/framework.dart:3617:5)
    [   +3 ms] I/flutter ( 2227): #11     Element.inflateWidget (package:flutter/src/widgets/framework.dart:2907:14)
    [        ] I/flutter ( 2227): #12     Element.updateChild (package:flutter/src/widgets/framework.dart:2710:12)
    [   +6 ms] I/flutter ( 2227): #13     SingleChildRenderObjectElement.mount (package:flutter/src/widgets/framework.dart:4654:14)
    [   +3 ms] I/flutter ( 2227): #14     Element.inflateWidget (package:flutter/src/widgets/framework.dart:2907:14)
    [   +5 ms] I/flutter ( 2227): #15     Element.updateChild (package:flutter/src/widgets/framework.dart:2710:12)
    [   +1 ms] I/flutter ( 2227): #16     ComponentElement.performRebuild (package:flutter/src/widgets/framework.dart:3653:16)
    [   +1 ms] I/flutter ( 2227): #17     Element.rebuild (package:flutter/src/widgets/framework.dart:3495:5)
    [   +3 ms] I/flutter ( 2227): #18     ComponentElement._firstBuild (package:flutter/src/widgets/framework.dart:3622:5)
    [   +6 ms] I/flutter ( 2227): #19     ComponentElement.mount (package:flutter/src/widgets/framework.dart:3617:5)
