# G0087: APT39

## Description
APT39 is an Iranian cyber espionage group that has been active since at least 2014. This group primarily targets the telecommunications and travel industries to collect personal information, aligning with Iran's national priorities. (Citations: FireEye APT39 Jan 2019, Symantec Chafer Dec 2015)

## Tactics, Techniques, and Procedures (TTPs)
| Platform | Tactic | Technique | Description | Data Sources |
| --- | --- | --- | --- | --- |
| Linux, macOS, Windows | Discovery | [System Owner/User Discovery](https://attack.mitre.org/techniques/T1033/) | APT39 used Remexi to collect usernames from the system. | File monitoring, Process monitoring, Process command-line parameters |
| Windows, macOS | Defense Evasion | [Software Packing](https://attack.mitre.org/techniques/T1045/) | APT39 repacked a modified version of Mimikatz to evade antivirus detection. | Binary file metadata |
| Linux, Windows, macOS | Execution | [User Execution](https://attack.mitre.org/techniques/T1204/) | APT39 sent spearphishing emails to lure users into clicking on malicious attachments or links. | Antivirus, Process command-line parameters, Process monitoring |
| Linux, Windows, macOS | Persistence, Privilege Escalation | [Web Shell](https://attack.mitre.org/techniques/T1100/) | APT39 installed ANTAK and ASPXSPY web shells. | Antivirus, Authentication logs, File monitoring, Netflow/Enclave netflow, Process monitoring |
| Linux, macOS, Windows | Lateral Movement | [Remote Services](https://attack.mitre.org/techniques/T1021/) | APT39 used Secure Shell (SSH) to move laterally among their targets. | Authentication logs |
| Linux, macOS, Windows, AWS, GCP, Azure, SaaS, Office 365 | Defense Evasion, Persistence, Privilege Escalation, Initial Access | [Valid Accounts](https://attack.mitre.org/techniques/T1078/) | APT39 used stolen credentials to compromise Outlook Web Access (OWA). | AWS CloudTrail logs, Stackdriver logs, Authentication logs, Process monitoring |
| Linux, macOS, Windows | Defense Evasion, Execution | [Scripting](https://attack.mitre.org/techniques/T1064/) | APT39 utilized custom scripts to perform internal reconnaissance. | Process monitoring, File monitoring, Process command-line parameters |
| Linux, Windows, macOS, AWS, GCP, Azure | Discovery | [Network Service Scanning](https://attack.mitre.org/techniques/T1046/) | APT39 used a custom port scanner known as BLUETORCH. | Netflow/Enclave netflow, Network protocol analysis, Packet capture, Process command-line parameters, Process use of network |
| Windows, Linux, macOS | Credential Access | [Credential Dumping](https://attack.mitre.org/techniques/T1003/) | APT39 used Mimikatz, Ncrack, Windows Credential Editor, and ProcDump to dump credentials. | API monitoring, Process monitoring, PowerShell logs, Process command-line parameters |
| Linux, macOS, Windows | Command and Control, Defense Evasion | [Connection Proxy](https://attack.mitre.org/techniques/T1090/) | APT39 used custom tools to create SOCKS5 proxies between infected hosts. | Process use of network, Process monitoring, Netflow/Enclave netflow, Packet capture |
| Linux, Windows, macOS | Exfiltration | [Data Compressed](https://attack.mitre.org/techniques/T1002/) | APT39 used WinRAR and 7-Zip to compress stolen data. | Binary file metadata, File monitoring, Process command-line parameters, Process monitoring |
| Linux, macOS, Windows | Discovery | [System Network Configuration Discovery](https://attack.mitre.org/techniques/T1016/) | APT39 used nbtscan to discover vulnerable systems. | Process monitoring, Process command-line parameters |
| Windows | Persistence | [Shortcut Modification](https://attack.mitre.org/techniques/T1023/) | APT39 modified LNK shortcuts. | File monitoring, Process monitoring, Process command-line parameters |
| Windows | Execution, Persistence, Privilege Escalation | [Scheduled Task](https://attack.mitre.org/techniques/T1053/) | APT39 created scheduled tasks. | File monitoring, Process monitoring, Process command-line parameters, Windows event logs |
| Windows | Lateral Movement | [Remote Desktop Protocol](https://attack.mitre.org/techniques/T1076/) | APT39 used RDP for lateral movement and persistence. | Authentication logs, Netflow/Enclave netflow, Process monitoring |
| Windows | Persistence | [Registry Run Keys / Startup Folder](https://attack.mitre.org/techniques/T1060/) | APT39 maintained persistence using the startup folder. | Windows Registry, File monitoring |
| Windows, macOS, Linux, Office 365, SaaS | Initial Access | [Spearphishing Link](https://attack.mitre.org/techniques/T1192/) | APT39 leveraged spearphishing emails with malicious links to initially compromise victims. | Packet capture, Web proxy, Email gateway, Detonation chamber, SSL/TLS inspection, DNS records, Mail server |
| Windows, macOS, Linux | Initial Access | [Spearphishing Attachment](https://attack.mitre.org/techniques/T1193/) | APT39 leveraged spearphishing emails with malicious attachments to initially compromise victims. | File monitoring, Packet capture, Network intrusion detection system, Detonation chamber, Email gateway, Mail server |

This table provides a comprehensive overview of the tactics, techniques, and procedures (TTPs) employed by APT39, along with the relevant data sources for detection and mitigation.
