    Warning	C4244	'return': conversion from 'int64_t' to 'unsigned char', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\ivalue_inl.h	431	
    Warning	C4244	'return': conversion from 'int64_t' to 'signed char', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\ivalue_inl.h	432	
    Warning	C4244	'return': conversion from 'int64_t' to 'unsigned short', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\ivalue_inl.h	433	
    Warning	C4244	'return': conversion from 'int64_t' to 'short', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\ivalue_inl.h	434	
    Warning	C4244	'return': conversion from 'int64_t' to 'int', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\ivalue_inl.h	435	
    Warning	C4244	'return': conversion from 'int64_t' to 'uint32_t', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\ivalue_inl.h	436	
    Warning	C4244	'return': conversion from 'int64_t' to 'c10::detail::_guarded_unsigned_long', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\ivalue_inl.h	438	
    Warning	C4251	'std::enable_shared_from_this::_Wptr': class 'std::weak_ptr' needs to have dll-interface to be used by clients of class 'std::enable_shared_from_this'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\jit_type.h	65	
    Warning	C4251	'c10::SingleElementType::elem': class 'std::shared_ptr' needs to have dll-interface to be used by clients of struct 'c10::SingleElementType'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\jit_type.h	241	
    Warning	C4251	'c10::VaryingShape::dims_': class 'c10::optional' needs to have dll-interface to be used by clients of struct 'c10::VaryingShape'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\jit_type.h	370	
    Warning	C4251	'c10::TensorType::scalar_type_': class 'c10::optional' needs to have dll-interface to be used by clients of struct 'c10::TensorType'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\jit_type.h	617	
    Warning	C4251	'c10::TensorType::device_': class 'c10::optional' needs to have dll-interface to be used by clients of struct 'c10::TensorType'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\jit_type.h	618	
    Warning	C4251	'c10::TensorType::requires_grad_': class 'c10::optional' needs to have dll-interface to be used by clients of struct 'c10::TensorType'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\jit_type.h	621	
    Warning	C4251	'c10::TensorType::undefined_': class 'c10::optional' needs to have dll-interface to be used by clients of struct 'c10::TensorType'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\jit_type.h	633	
    Warning	C4267	'argument': conversion from 'size_t' to 'int', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\jit_type.h	478	
    Warning	C4267	'argument': conversion from 'size_t' to 'int', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\jit_type.h	481	
    Warning	C4251	'c10::SingleElementType::elem': class 'std::shared_ptr' needs to have dll-interface to be used by clients of struct 'c10::SingleElementType'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\jit_type.h	639	
    Warning	C4251	'c10::DictType::types': class 'std::vector>' needs to have dll-interface to be used by clients of struct 'c10::DictType'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\jit_type.h	748	
    Warning	C4251	'c10::SingleElementType::elem': class 'std::shared_ptr' needs to have dll-interface to be used by clients of struct 'c10::SingleElementType'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\jit_type.h	756	
    Warning	C4251	'c10::NamedType::name_': class 'c10::optional' needs to have dll-interface to be used by clients of struct 'c10::NamedType'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\jit_type.h	797	
    Warning	C4251	'c10::TupleType::elements_': class 'std::vector>' needs to have dll-interface to be used by clients of struct 'c10::TupleType'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\jit_type.h	879	
    Warning	C4251	'c10::TupleType::schema_': class 'std::shared_ptr' needs to have dll-interface to be used by clients of struct 'c10::TupleType'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\jit_type.h	881	
    Warning	C4251	'c10::ClassType::attributeNames_': class 'std::vector>' needs to have dll-interface to be used by clients of struct 'c10::ClassType'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\jit_type.h	1574	
    Warning	C4251	'c10::ClassType::attributeTypes_': class 'std::vector>' needs to have dll-interface to be used by clients of struct 'c10::ClassType'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\jit_type.h	1575	
    Warning	C4251	'c10::ClassType::compilation_unit_': class 'std::weak_ptr' needs to have dll-interface to be used by clients of struct 'c10::ClassType'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\jit_type.h	1577	
    Warning	C4251	'c10::ClassType::parameterSlots_': class 'std::shared_ptr>>' needs to have dll-interface to be used by clients of struct 'c10::ClassType'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\jit_type.h	1581	
    Warning	C4251	'c10::ClassType::methods_': class 'std::vector>' needs to have dll-interface to be used by clients of struct 'c10::ClassType'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\jit_type.h	1584	
    Warning	C4251	'c10::InterfaceType::methods_': class 'std::shared_ptr>>' needs to have dll-interface to be used by clients of struct 'c10::InterfaceType'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\jit_type.h	1639	
    Warning	C4251	'c10::KernelFunction::functorFactory_': class 'std::function> (void)>' needs to have dll-interface to be used by clients of class 'c10::KernelFunction'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\boxing\kernelfunction.h	375	
    Warning	C4251	'c10::KernelFunction::functor_': class 'std::shared_ptr' needs to have dll-interface to be used by clients of class 'c10::KernelFunction'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\boxing\kernelfunction.h	376	
    Warning	C4251	'c10::Dispatcher::operators_': class 'std::list>' needs to have dll-interface to be used by clients of class 'c10::Dispatcher'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\dispatch\dispatcher.h	132	
    Warning	C4251	'c10::Dispatcher::operatorLookupTable_': class 'c10::LeftRight,std::equal_to,std::allocator>>>' needs to have dll-interface to be used by clients of class 'c10::Dispatcher'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\dispatch\dispatcher.h	133	
    Warning	C4251	'c10::Dispatcher::backendFallbackKernels_': class 'c10::LeftRight,std::equal_to,std::allocator>>>' needs to have dll-interface to be used by clients of class 'c10::Dispatcher'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\dispatch\dispatcher.h	134	
    Warning	C4251	'c10::Dispatcher::listeners_': class 'std::unique_ptr>' needs to have dll-interface to be used by clients of class 'c10::Dispatcher'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\dispatch\dispatcher.h	135	
    Warning	C4251	'c10::Dispatcher::mutex_': class 'std::mutex' needs to have dll-interface to be used by clients of class 'c10::Dispatcher'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\dispatch\dispatcher.h	136	
    Warning	C4251	'c10::OperatorHandle::operatorIterator_': class 'std::_List_iterator>>' needs to have dll-interface to be used by clients of class 'c10::OperatorHandle'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\dispatch\dispatcher.h	164	
    Warning	C4251	'at::CPUGenerator::engine_': class 'at::mt19937_engine' needs to have dll-interface to be used by clients of struct 'at::CPUGenerator'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\cpugenerator.h	32	
    Warning	C4251	'at::CPUGenerator::next_float_normal_sample_': class 'c10::optional' needs to have dll-interface to be used by clients of struct 'at::CPUGenerator'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\cpugenerator.h	33	
    Warning	C4251	'at::CPUGenerator::next_double_normal_sample_': class 'c10::optional' needs to have dll-interface to be used by clients of struct 'at::CPUGenerator'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\cpugenerator.h	34	
    Warning	C4244	'argument': conversion from 'unsigned __int64' to 'c10::DeviceIndex', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\core\stream.h	135	
    Warning	C4244	'argument': conversion from 'unsigned __int64' to 'c10::StreamId', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\core\stream.h	135	
    Warning	C4251	'at::Context::thc_init': struct 'std::once_flag' needs to have dll-interface to be used by clients of class 'at::Context'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\context.h	124	
    Warning	C4251	'at::Context::thh_init': struct 'std::once_flag' needs to have dll-interface to be used by clients of class 'at::Context'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\context.h	125	
