 superuser-backend | log_connections                     | Logs each successful connection.  
 superuser-backend | log_disconnections                  | Logs end of a session, including duration.  
 user              | DateStyle                           | Sets the display format for date and time values.  
 user              | IntervalStyle                       | Sets the display format for interval values.  
 user              | TimeZone                            | Sets the time zone for displaying and interpreting time stamps.  
 user              | client_encoding                     | Sets the client's character set encoding.  
 user              | default_text_search_config          | Sets default text search configuration.  
 user              | extra_float_digits                  | Sets the number of digits displayed for floating-point values.  
 user              | lc_monetary                         | Sets the locale for formatting monetary amounts.  
 user              | lc_numeric                          | Sets the locale for formatting numbers.  
 user              | lc_time                             | Sets the locale for formatting date and time values.  
 user              | timezone_abbreviations              | Selects a file of time zone abbreviations.  
 user              | gin_fuzzy_search_limit              | Sets the maximum allowed result for exact search by GIN.  
 user              | tcp_keepalives_count                | Maximum number of TCP keepalive retransmits.  
 user              | tcp_keepalives_idle                 | Time between issuing TCP keepalives.  
 user              | tcp_keepalives_interval             | Time between TCP keepalive retransmits.  
 user              | local_preload_libraries             | Lists unprivileged shared libraries to preload into each backend.  
 user              | bytea_output                        | Sets the output format for bytea.  
 user              | check_function_bodies               | Check function bodies during CREATE FUNCTION.  
 user              | default_tablespace                  | Sets the default tablespace to create tables and indexes in.  
 user              | default_transaction_deferrable      | Sets the default deferrable status of new transactions.  
 user              | default_transaction_isolation       | Sets the transaction isolation level of each new transaction.  
 user              | default_transaction_read_only       | Sets the default read-only status of new transactions.  
 user              | gin_pending_list_limit              | Sets the maximum size of the pending list for GIN index.  
 user              | idle_in_transaction_session_timeout | Sets the maximum allowed duration of any idling transaction.  
 user              | lock_timeout                        | Sets the maximum allowed duration of any wait for a lock.  
 user              | search_path                         | Sets the schema search order for names that are not schema-qualified.  
 user              | statement_timeout                   | Sets the maximum allowed duration of any statement.  
 user              | temp_tablespaces                    | Sets the tablespace(s) to use for temporary tables and sort files.  
 user              | transaction_deferrable              | Whether to defer a read-only serializable transaction until it can be executed with no possible serialization failures.  
 user              | transaction_isolation               | Sets the current transaction's isolation level.  
 user              | transaction_read_only               | Sets the current transaction's read-only status.  
 user              | vacuum_freeze_min_age               | Minimum age at which VACUUM should freeze a table row.  
 user              | vacuum_freeze_table_age             | Age at which VACUUM should scan whole table to freeze tuples.  
 user              | vacuum_multixact_freeze_min_age     | Minimum age at which VACUUM should freeze a MultiXactId in a table row.  
 user              | vacuum_multixact_freeze_table_age   | Multixact age at which VACUUM should scan whole table to freeze tuples.  
 user              | xmlbinary                           | Sets how binary values are to be encoded in XML.  
 user              | xmloption                           | Sets whether XML data in implicit parsing and serialization operations is to be considered as documents or content fragments.  
 user              | password_encryption                 | Encrypt passwords.  
 user              | row_security                        | Enable row security.  
 user              | trace_notify                        | Generates debugging output for LISTEN and NOTIFY.  
 user              | trace_sort                          | Emit information about resource usage in sorting.  
 user              | exit_on_error                       | Terminate session on any error.  
 user              | geqo                                | Enables genetic query optimization.  
 user              | geqo_effort                         | GEQO: effort is used to set the default for other GEQO parameters.  
 user              | geqo_generations                    | GEQO: number of iterations of the algorithm.  
 user              | geqo_pool_size                      | GEQO: number of individuals in the population.  
 user              | geqo_seed                           | GEQO: seed for random path selection.  
 user              | geqo_selection_bias                 | GEQO: selective pressure within the population.  
 user              | geqo_threshold                      | Sets the threshold of FROM items beyond which GEQO is used.  
 user              | constraint_exclusion                | Enables the planner to use constraints to optimize queries.  
 user              | cursor_tuple_fraction               | Sets the planner's estimate of the fraction of a cursor's rows that will be retrieved.  
 user              | default_statistics_target           | Sets the default statistics target.  
 user              | force_parallel_mode                 | Forces use of parallel query facilities.  
 user              | from_collapse_limit                 | Sets the FROM-list size beyond which subqueries are not collapsed.  
 user              | join_collapse_limit                 | Sets the FROM-list size beyond which JOIN constructs are not flattened.  
 user              | cpu_index_tuple_cost                | Sets the planner's estimate of the cost of processing each index entry during an index scan.  
 user              | cpu_operator_cost                   | Sets the planner's estimate of the cost of processing each operator or function call.  
 user              | cpu_tuple_cost                      | Sets the planner's estimate of the cost of processing each tuple (row).  
 user              | effective_cache_size                | Sets the planner's assumption about the size of the disk cache.  
 user              | min_parallel_index_scan_size        | Sets the minimum amount of index data for a parallel scan.  
 user              | min_parallel_table_scan_size        | Sets the minimum amount of table data for a parallel scan.  
 user              | parallel_setup_cost                 | Sets the planner's estimate of the cost of starting up worker processes for parallel query.  
 user              | parallel_tuple_cost                 | Sets the planner's estimate of the cost of passing each tuple (row) from worker to master backend.  
 user              | random_page_cost                    | Sets the planner's estimate of the cost of a nonsequentially fetched disk page.  
 user              | seq_page_cost                       | Sets the planner's estimate of the cost of a sequentially fetched disk page.  
 user              | enable_bitmapscan                   | Enables the planner's use of bitmap-scan plans.  
 user              | enable_gathermerge                  | Enables the planner's use of gather merge plans.  
 user              | enable_hashagg                      | Enables the planner's use of hashed aggregation plans.  
 user              | enable_hashjoin                     | Enables the planner's use of hash join plans.  
 user              | enable_indexonlyscan                | Enables the planner's use of index-only-scan plans.  
 user              | enable_indexscan                    | Enables the planner's use of index-scan plans.  
 user              | enable_material                     | Enables the planner's use of materialization.  
 user              | enable_mergejoin                    | Enables the planner's use of merge join plans.  
 user              | enable_nestloop                     | Enables the planner's use of nested-loop join plans.  
 user              | enable_parallelappend               | Enables the planner's use of parallel append plans.  
 user              | enable_seqscan                      | Enables the planner's use of sequential-scan plans.  
 user              | enable_sort                         | Enables the planner's use of explicit sort steps.  
 user              | enable_tidscan                      | Enables the planner's use of TID scan plans.  
 user              | application_name                    | Sets the application name to be reported in statistics and logs.  
 user              | debug_pretty_print                  | Indents parse and plan tree displays.  
 user              | debug_print_parse                   | Logs each query's parse tree.  
 user              | debug_print_plan                    | Logs each query's execution plan.  
 user              | debug_print_rewritten               | Logs each query's rewritten parse tree.  
 user              | client_min_messages                 | Sets the message levels that are sent to the client.  
 user              | backend_flush_after                 | Number of pages after which previously performed writes are flushed to disk.  
 user              | effective_io_concurrency            | Number of simultaneous requests that can be handled efficiently by the disk subsystem.  
 user              | max_parallel_workers                | Sets the maximum number of parallel workers than can be active at one time.  
 user              | max_parallel_workers_per_gather     | Sets the maximum number of parallel processes per executor node.  
 user              | vacuum_cost_delay                   | Vacuum cost delay in milliseconds.  
 user              | vacuum_cost_limit                   | Vacuum cost amount available before napping.  
 user              | vacuum_cost_page_dirty              | Vacuum cost for a page dirtied by vacuum.  
 user              | vacuum_cost_page_hit                | Vacuum cost for a page found in the buffer cache.  
 user              | vacuum_cost_page_miss               | Vacuum cost for a page not found in the buffer cache.  
 user              | maintenance_work_mem                | Sets the maximum memory to be used for maintenance operations.  
 user              | replacement_sort_tuples             | Sets the maximum number of tuples to be sorted using replacement selection.  
 user              | temp_buffers                        | Sets the maximum number of temporary buffers used by each session.  
 user              | work_mem                            | Sets the maximum memory to be used for query workspaces.  
 user              | transform_null_equals               | Treats "expr=NULL" as "expr IS NULL".  
 user              | array_nulls                         | Enable input of NULL elements in arrays.  
 user              | backslash_quote                     | Sets whether "\'" is allowed in string literals.  
 user              | default_with_oids                   | Create new tables with OIDs by default.  
 user              | escape_string_warning               | Warn about backslash escapes in ordinary string literals.  
 user              | operator_precedence_warning         | Emit a warning for constructs that changed meaning since PostgreSQL 9.4.  
 user              | quote_all_identifiers               | When generating SQL fragments, quote all identifiers.  
 user              | standard_conforming_strings         | Causes '...' strings to treat backslashes literally.  
 user              | synchronize_seqscans                | Enable synchronized sequential scans.  
 user              | commit_siblings                     | Sets the minimum concurrent open transactions before performing commit_delay.  
 user              | synchronous_commit                  | Sets the current transaction's synchronization level.  
(270 rows)  
```  
#### [PostgreSQL 许愿链接](https://github.com/digoal/blog/issues/76 "269ac3d1c492e938c0191101c7238216")
您的愿望将传达给PG kernel hacker、数据库厂商等, 帮助提高数据库产品质量和功能, 说不定下一个PG版本就有您提出的功能点. 针对非常好的提议，奖励限量版PG文化衫、纪念品、贴纸、PG热门书籍等，奖品丰富，快来许愿。[开不开森](https://github.com/digoal/blog/issues/76 "269ac3d1c492e938c0191101c7238216").  
#### [9.9元购买3个月阿里云RDS PostgreSQL实例](https://www.aliyun.com/database/postgresqlactivity "57258f76c37864c6e6d23383d05714ea")
#### [PostgreSQL 解决方案集合](https://yq.aliyun.com/topic/118 "40cff096e9ed7122c512b35d8561d9c8")
#### [德哥 / digoal's github - 公益是一辈子的事.](https://github.com/digoal/blog/blob/master/README.md "22709685feb7cab07d30f30387f0a9ae")
![digoal's wechat](../pic/digoal_weixin.jpg "f7ad92eeba24523fd47a6e1a0e691b59")
#### [PolarDB 学习图谱: 训练营、培训认证、在线互动实验、解决方案、生态合作、写心得拿奖品](https://www.aliyun.com/database/openpolardb/activity "8642f60e04ed0c814bf9cb9677976bd4")
#### [购买PolarDB云服务折扣活动进行中, 55元起](https://www.aliyun.com/activity/new/polardb-yunparter?userCode=bsb3t4al "e0495c413bedacabb75ff1e880be465a")
#### [About 德哥](https://github.com/digoal/blog/blob/master/me/readme.md "a37735981e7704886ffd590565582dd0")
