### Table XII: Summary of Harnesses in Evaluation

**Overview:**
- Total number of harnesses evaluated: 59
- Most harnesses worked without any modifications.
- Only 3 harnesses required more than 10 lines of code to be changed.
- Issues related to callback functions and custom structs are discussed in §VIII-A.
- The problematic Adobe Reader example is detailed in §VIII.
- ACDSee and HWP-jpeg harnesses are discussed in §VII-C.

**Key Terms:**
- **CB:** Callback function
- **ST:** Custom struct
- **PTR:** Pointer

**Harness Details:**

| Program         | File Name           | Size     | APIs | LoC | Fixed (LoC) | CB/ST/PTR Issues |
|-----------------|---------------------|----------|------|-----|-------------|------------------|
| Inkscape        | inkscape.exe        | 847KB    | 1    | 55  | 282         | CB (89), ST (14) |
| tar             | tar.dll             | 3007K    | 1    | 55  | 506         | CB (38), ST (174)|
| link            | link.exe            | 220K     | 1    | 55  | 92          | CB (7), ST (8)   |
| esentutl        | esentutl.exe        | 85KB     | 1    | 55  | 103         | CB (2), ST (8)   |
| PowerISO        | PowerISO.exe        | 3221K    | 1    | 55  | 112         | CB (2), ST (8)   |
| tiled           | tiled.exe           | 3221K    | 1    | 55  | 112         | CB (2), ST (8)   |
| dxcap           | dxcap.exe           | 3221K    | 1    | 55  | 112         | CB (2), ST (8)   |
| undname         | undname.exe         | 630K     | 1    | 55  | 82          | CB (7)           |
| AdobeRdr        | adoberdr.exe        | 5596K    | 1    | 55  | 110         | ST (8)           |
| ACDSee          | acdsee.exe          | 1227K    | 1    | 55  | 110         | ST (8)           |
| HWP             | hwp.exe             | 86KB     | 1    | 55  | 90          | CB (2), ST (3)   |
| ezPDF           | ezpdf.exe           | 147KB    | 1    | 55  | 90          | CB (2), ST (3)   |
| HWP             | hwp.exe             | 70KB     | 1    | 55  | 92          | CB (2), ST (3)   |
| ezPDF           | ezpdf.exe           | 131KB    | 1    | 55  | 92          | CB (2), ST (3)   |
| HWP             | hwp.exe             | 79KB     | 1    | 55  | 92          | CB (2), ST (3)   |
| UltraIso        | ultraiso.exe        | 479KB    | 1    | 55  | 102         | ST (8)           |
| XnView          | xnview.exe          | 5250K    | 1    | 55  | 199         | CB (2)           |
| EndNote         | endnote.exe         | 4205K    | 1    | 55  | 73          | PTR (2)          |
| Gomplayer       | gomplayer.exe       | 2027K    | 1    | 55  | 116         | argument (2)     |
| EndNote         | endnote.exe         | 4091K    | 1    | 55  | 55          | PTR (2)          |
| file            | file.exe            | 2738K    | 1    | 55  | 96          | 0                |
| Starcraft       | starcraft.exe       | 147K     | 1    | 55  | 37          | 0                |
| 7z              | 7z.exe              | 1149K    | 1    | 55  | 55          | 0                |
| makecab         | makecab.exe         | 726K     | 1    | 55  | 55          | 0                |
| Tiled           | tiled.exe           | 476K     | 1    | 55  | 55          | 0                |
| mspdbcmf        | mspdbcmf.exe        | 9KB      | 1    | 55  | 57          | 0                |
| pdbcopy         | pdbcopy.exe         | 19KB     | 1    | 55  | 65          | 0                |
| ml              | ml.exe              | 10KB     | 1    | 55  | 55          | 0                |

**Additional Notes:**
- **Prog failed.**
- **Proc terminated.**
- **Input file leak.**
- **Keep terminating.**
- **Programs with issues:**
  - AdobeRdr
  - ACDSee
  - HWP
  - ezPDF
  - UltraIso
  - XnView
  - EndNote
  - Gomplayer
  - file
  - Starcraft
  - 7z
  - makecab
  - Tiled
  - mspdbcmf
  - pdbcopy
  - ml

**Libraries and DLLs:**
- **jp2klib.dll**
- **IDE_ACDStd**
- **HncJpeg10.dll**
- **hncbmp10.flt**
- **Pdf2Office(d)**
- **Pdf2Office(p)**
- **Pdf2Office(e)**
- **HncTiff10.dll**
- **Pdf2html.dll**
- **ezpdf2hwp.dll**
- **imgpic9.flt**
- **imdrw9.flt**
- **imcdr9.flt**
- **hncgif10.flt**
- **hncwmf10.flt**
- **hncpng10.flt**
- **cadimage.dll**
- **ldf_jpm.dll**
- **RMConvertLib**
- **avformat-gp.dll**
- **PC4DbLib**
- **magic1.dll**
- **storm.dll**
- **tmxviewer.exe**

This table provides a comprehensive overview of the harnesses, their sizes, API usage, lines of code, and specific issues encountered. For more detailed discussions on specific issues, refer to the respective sections in the document.
