### Describe the bug
Looks like latest sphinx shows many warnings on generate documentation.
### To Reproduce
    `sphinx-build -n -T -b html doc/build build/sphinx/html`
### Error
Willaadd in next comment.
### Versions
  * OS: Linux x86/64
  * Python: 3.8.13
  * SQLAlchemy: 1.4.35
  * Database: N/A
  * DBAPI (eg: psycopg, cx_oracle, mysqlclient): N/A
### Additional context
list of modules with versions installed in build env
    Package                       Version
    ----------------------------- -----------------
    alabaster                     0.7.12
    attrs                         21.4.0
    Babel                         2.9.1
    build                         0.7.0
    changelog                     0.5.7
    charset-normalizer            2.0.12
    codespell                     2.1.0
    cycler                        0.11.0
    distro                        1.7.0
    docutils                      0.17.1
    execnet                       1.9.0
    extras                        1.0.0
    fixtures                      3.0.0
    fonttools                     4.32.0
    gpg                           1.17.1-unknown
    greenlet                      1.1.2
    idna                          3.3
    imagesize                     1.3.0
    importlib-metadata            4.11.3
    iniconfig                     1.1.1
    Jinja2                        3.1.1
    kiwisolver                    1.3.2
    libcomps                      0.1.18
    libsass                       0.21.0
    lit                           14.0.1
    Mako                          1.2.0.dev0
    MarkupSafe                    2.1.1
    matplotlib                    3.5.1
    meson                         0.62.0
    numpy                         1.22.3
    olefile                       0.46
    packaging                     21.3
    pbr                           5.8.1
    pep517                        0.12.0
    Pillow                        9.1.0
    pip                           22.0.4
    pluggy                        1.0.0
    py                            1.11.0
    Pygments                      2.11.2
    PyGObject                     3.42.0
    pyparsing                     3.0.8
    pytest                        7.1.1
    pytest-forked                 1.4.0
    pytest-xdist                  2.5.0
    python-dateutil               2.8.2
    pytz                          2022.1
    requests                      2.27.1
    rpm                           4.17.0
    setuptools                    62.0.0
    six                           1.16.0
    snowballstemmer               2.2.0
    Sphinx                        4.5.0.dev20220404
    sphinx-copybutton             0.4.0
    sphinx-paramlinks             0.5.2
    sphinxcontrib-applehelp       1.0.2.dev20220410
    sphinxcontrib-devhelp         1.0.2.dev20220410
    sphinxcontrib-htmlhelp        2.0.0
    sphinxcontrib-jsmath          1.0.1.dev20220410
    sphinxcontrib-qthelp          1.0.3.dev20220410
    sphinxcontrib-serializinghtml 1.1.5
    testtools                     2.5.0
    tomli                         2.0.1
    urllib3                       1.26.9
    wheel                         0.37.1
    zipp                          3.8.0
    zzzeeksphinx                  1.3.3
