Python 3.8.2
    + pytest-3 -v -k 'not test_send_from_directory_bad_request'
    ========================================================================================= test session starts ==========================================================================================
    platform linux -- Python 3.8.2, pytest-4.6.9, py-1.8.0, pluggy-0.13.1 -- /usr/bin/python3
    cachedir: .pytest_cache
    hypothesis profile 'default' -> database=DirectoryBasedExampleDatabase('/home/tkloczko/rpmbuild/BUILD/Flask-1.1.2/.hypothesis/examples')
    rootdir: /home/tkloczko/rpmbuild/BUILD/Flask-1.1.2, inifile: setup.cfg, testpaths: tests
    plugins: forked-1.1.1, mock-1.10.4, expect-1.1.0, hypothesis-4.23.8, xdist-1.31.0, httpbin-0.3.0, cov-2.8.1, flaky-3.6.1
    collected 542 items
    tests/test_appctx.py::test_basic_url_generation PASSED                                                                                                                                           [  0%]
    tests/test_appctx.py::test_url_generation_requires_server_name PASSED                                                                                                                            [  0%]
    tests/test_appctx.py::test_url_generation_without_context_fails PASSED                                                                                                                           [  0%]
    tests/test_appctx.py::test_request_context_means_app_context PASSED                                                                                                                              [  0%]
    tests/test_appctx.py::test_app_context_provides_current_app PASSED                                                                                                                               [  0%]
    tests/test_appctx.py::test_app_tearing_down PASSED                                                                                                                                               [  1%]
    tests/test_appctx.py::test_app_tearing_down_with_previous_exception PASSED                                                                                                                       [  1%]
    tests/test_appctx.py::test_app_tearing_down_with_handled_exception_by_except_block PASSED                                                                                                        [  1%]
    tests/test_appctx.py::test_app_tearing_down_with_handled_exception_by_app_handler PASSED                                                                                                         [  1%]
    tests/test_appctx.py::test_app_tearing_down_with_unhandled_exception PASSED                                                                                                                      [  1%]
    tests/test_appctx.py::test_app_ctx_globals_methods PASSED                                                                                                                                        [  2%]
    tests/test_appctx.py::test_custom_app_ctx_globals_class PASSED                                                                                                                                   [  2%]
    tests/test_appctx.py::test_context_refcounts PASSED                                                                                                                                              [  2%]
    tests/test_appctx.py::test_clean_pop PASSED                                                                                                                                                      [  2%]
    tests/test_basic.py::test_options_work PASSED                                                                                                                                                    [  2%]
    tests/test_basic.py::test_options_on_multiple_rules PASSED                                                                                                                                       [  2%]
    tests/test_basic.py::test_provide_automatic_options_attr PASSED                                                                                                                                  [  3%]
    tests/test_basic.py::test_provide_automatic_options_kwarg PASSED                                                                                                                                 [  3%]
    tests/test_basic.py::test_request_dispatching PASSED                                                                                                                                             [  3%]
    tests/test_basic.py::test_disallow_string_for_allowed_methods PASSED                                                                                                                             [  3%]
    tests/test_basic.py::test_url_mapping PASSED                                                                                                                                                     [  3%]
    tests/test_basic.py::test_werkzeug_routing PASSED                                                                                                                                                [  4%]
    tests/test_basic.py::test_endpoint_decorator PASSED                                                                                                                                              [  4%]
    tests/test_basic.py::test_session PASSED                                                                                                                                                         [  4%]
    tests/test_basic.py::test_session_using_server_name PASSED                                                                                                                                       [  4%]
    tests/test_basic.py::test_session_using_server_name_and_port PASSED                                                                                                                              [  4%]
    tests/test_basic.py::test_session_using_server_name_port_and_path PASSED                                                                                                                         [  4%]
    tests/test_basic.py::test_session_using_application_root PASSED                                                                                                                                  [  5%]
    tests/test_basic.py::test_session_using_session_settings PASSED                                                                                                                                  [  5%]
    tests/test_basic.py::test_session_using_samesite_attribute PASSED                                                                                                                                [  5%]
    tests/test_basic.py::test_session_localhost_warning PASSED                                                                                                                                       [  5%]
    tests/test_basic.py::test_session_ip_warning PASSED                                                                                                                                              [  5%]
    tests/test_basic.py::test_missing_session PASSED                                                                                                                                                 [  6%]
    tests/test_basic.py::test_session_expiration PASSED                                                                                                                                              [  6%]
    tests/test_basic.py::test_session_stored_last PASSED                                                                                                                                             [  6%]
    tests/test_basic.py::test_session_special_types PASSED                                                                                                                                           [  6%]
    tests/test_basic.py::test_session_cookie_setting PASSED                                                                                                                                          [  6%]
    tests/test_basic.py::test_session_vary_cookie PASSED                                                                                                                                             [  7%]
    tests/test_basic.py::test_flashes PASSED                                                                                                                                                         [  7%]
    tests/test_basic.py::test_extended_flashing PASSED                                                                                                                                               [  7%]
    tests/test_basic.py::test_request_processing PASSED                                                                                                                                              [  7%]
    tests/test_basic.py::test_request_preprocessing_early_return PASSED                                                                                                                              [  7%]
    tests/test_basic.py::test_after_request_processing PASSED                                                                                                                                        [  7%]
    tests/test_basic.py::test_teardown_request_handler PASSED                                                                                                                                        [  8%]
    tests/test_basic.py::test_teardown_request_handler_debug_mode PASSED                                                                                                                             [  8%]
    tests/test_basic.py::test_teardown_request_handler_error PASSED                                                                                                                                  [  8%]
    tests/test_basic.py::test_before_after_request_order PASSED                                                                                                                                      [  8%]
    tests/test_basic.py::test_error_handling PASSED                                                                                                                                                  [  8%]
    tests/test_basic.py::test_error_handler_unknown_code PASSED                                                                                                                                      [  9%]
    tests/test_basic.py::test_error_handling_processing PASSED                                                                                                                                       [  9%]
    tests/test_basic.py::test_baseexception_error_handling PASSED                                                                                                                                    [  9%]
    tests/test_basic.py::test_before_request_and_routing_errors PASSED                                                                                                                               [  9%]
    tests/test_basic.py::test_user_error_handling PASSED                                                                                                                                             [  9%]
    tests/test_basic.py::test_http_error_subclass_handling PASSED                                                                                                                                    [  9%]
    tests/test_basic.py::test_errorhandler_precedence PASSED                                                                                                                                         [ 10%]
    tests/test_basic.py::test_trapping_of_bad_request_key_errors PASSED                                                                                                                              [ 10%]
    tests/test_basic.py::test_trapping_of_all_http_exceptions PASSED                                                                                                                                 [ 10%]
    tests/test_basic.py::test_error_handler_after_processor_error PASSED                                                                                                                             [ 10%]
    tests/test_basic.py::test_enctype_debug_helper PASSED                                                                                                                                            [ 10%]
    tests/test_basic.py::test_response_types PASSED                                                                                                                                                  [ 11%]
    tests/test_basic.py::test_response_type_errors PASSED                                                                                                                                            [ 11%]
    tests/test_basic.py::test_make_response PASSED                                                                                                                                                   [ 11%]
    tests/test_basic.py::test_make_response_with_response_instance PASSED                                                                                                                            [ 11%]
    tests/test_basic.py::test_jsonify_no_prettyprint PASSED                                                                                                                                          [ 11%]
    tests/test_basic.py::test_jsonify_prettyprint PASSED                                                                                                                                             [ 11%]
    tests/test_basic.py::test_jsonify_mimetype PASSED                                                                                                                                                [ 12%]
    tests/test_basic.py::test_json_dump_dataclass PASSED                                                                                                                                             [ 12%]
    tests/test_basic.py::test_jsonify_args_and_kwargs_check PASSED                                                                                                                                   [ 12%]
    tests/test_basic.py::test_url_generation PASSED                                                                                                                                                  [ 12%]
    tests/test_basic.py::test_build_error_handler PASSED                                                                                                                                             [ 12%]
    tests/test_basic.py::test_build_error_handler_reraise PASSED                                                                                                                                     [ 13%]
    tests/test_basic.py::test_url_for_passes_special_values_to_build_error_handler PASSED                                                                                                            [ 13%]
