 MDC_OFFLINE,MDC [UINT16] is offline now.,$1：MDC的编号,5,MDC/5/MDC_OFFLINE: MDC 2 is offline now.,MDC停用了,无
 MDC_ONLINE,MDC [UINT16] is online now.,$1：MDC的编号,5,MDC/5/MDC_ONLINE: MDC 2 is online now.,MDC启用了,无
 MDC_STATE_CHANGE,MDC [UINT16] status changed to [STRING].,$1：MDC的编号   $2：MDC的状态：   updating表示正在给MDC分配接口板，即对MDC执行location命令   stopping表示MDC正在停止，即MDC正在执行undo mdc start命令   inactive表示MDC处于未启动状态   starting表示MDC正在启动中，即对MDC正在执行mdc start命令   active表示MDC正常运行,5,MDC/5/MDC_STATE_CHANGE: MDC 2 state   changed to active.,MDC状态发生了变化,无
 MFIB_MEM_ALERT,MFIB process received system memory alert   [STRING] event.,$1：内存告警事件类型,5,MFIB/5/MFIB_MEM_ALERT: MFIB process   receive system memory alert start event.,MFIB模块收到了系统发出的内存告警事件,当超过各级内存门限时，检查系统内存占用情况，对占用内存较多的模块进行调整，尽量释放可用内存
 MGROUP_APPLY_SAMPLER_FAIL,"Failed to apply the sampler for mirroring   group [UINT16], because the sampler resources are insufficient.",$1：镜像组编号,3,"MGROUP/3/MGROUP_APPLY_SAMPLER_FAIL:   Failed to apply the sampler for mirroring group 1, because the sampler   resources are insufficient.",采样器资源不足时，新镜像组引用采样器失败,无
 MGROUP_RESTORE_CPUCFG_FAIL,"Failed to restore configuration for   mirroring CPU of [STRING] in mirroring group [UINT16], because [STRING]",$1：单板所在的槽位号   $2：镜像组编号   $3：恢复源CPU配置失败的原因,3,"MGROUP/3/MGROUP_RESTORE_CPUCFG_FAIL: Failed   to restore configuration for mirroring CPU of chassis 1 slot 2 in mirroring   group 1, because the type of the monitor port in the mirroring group is not   supported.",当单板上的CPU用作镜像组的源CPU时，在单板拔出阶段，配置发生变化，单板再插入时，可能会引起镜像组源CPU的配置恢复失败,排查配置恢复失败的原因，如果是由于系统不支持变化的配置，删除不支持的配置，重新配置镜像组的源CPU
 MGROUP_RESTORE_IFCFG_FAIL,"Failed to restore configuration for   interface [STRING] in mirroring group [UINT16], because [STRING]",$1：接口名称   $2：镜像组编号   $3：恢复源端口配置失败的原因,3,"MGROUP/3/MGROUP_RESTORE_IFCFG_FAIL: Failed   to restore configuration for interface Ethernet3/1/2 in mirroring group 1,   because the type of the monitor port in the mirroring group is not supported.",当单板上的接口用作镜像组的源端口时，在单板拔出阶段，配置发生变化，单板再插入时，可能会引起镜像组源端口的配置恢复失败,排查配置恢复失败的原因，如果是由于系统不支持变化的配置，删除不支持的配置，重新配置镜像组的源端口
 MGROUP_SYNC_CFG_FAIL,"Failed to restore configuration for   mirroring group [UINT16] in [STRING], because [STRING]",$1：镜像组编号   $2：单板所在的槽位号   $3：恢复镜像组配置失败的原因,3,"MGROUP/3/MGROUP_SYNC_CFG_FAIL: Failed to   restore configuration for mirroring group 1 in chassis 1 slot 2, because monitor   resources are insufficient.",当向单板同步完整的镜像组配置时，由于单板资源不足，引起配置恢复失败,删除配置恢复失败的镜像组
 MPLS_HARD_RESOURCE_NOENOUGH,No enough hardware resource for MPLS.,无,4,MPLS/4/MPLS_HARD_RESOURCE_NOENOUGH: No enough   hardware resource for MPLS.,MPLS硬件资源不足,请检查是否生成了当前业务不需要的大量LSP，是则配置获调整标签分发协议的LSP触发策略、标签通告策略、标签接受策略，以过滤掉不需要的LSP
 MPLS_HARD_RESOURCE_RESTORE,Hardware resources for MPLS are restored.,无,6,MPLS/6/MPLS_HARD_RESOURCE_RESTORE:   Hardware resources for MPLS are restored.,MPLS硬件资源恢复,无
 MTLK_UPLINK_STATUS_CHANGE,The uplink of monitor link group [UINT32]   is [STRING].,$1：Monitor Link组ID   $2：Monitor Link组状态   down：故障   up：正常,6,MTLK/6/MTLK_UPLINK_STATUS_CHANGE: The   uplink of monitor link group 1 is up.,Monitor Link组上行链路up或down,检查故障链路
