### Issue: Superset Not Starting Up Properly After `docker-compose build` and `docker-compose up`

#### Expected Results
A fully functional Superset instance.

#### Actual Results
An empty screen is displayed.

#### Screenshot
![Screenshot 2020-02-11 at 14:37:44](https://user-images.githubusercontent.com/20079/74241505-7359c300-4cdc-11ea-8e26-48ebe018ee5e.png)

#### Steps to Reproduce the Bug
1. Run `docker-compose build`.
2. Run `docker-compose up`.
3. Observe the error (empty screen).

#### Environment
- Superset version: Latest from source
- Python version: 3.6.9

#### Checklist
- [x] I have checked the Superset logs for Python stack traces and included them here as text if any.
- [x] I have reproduced the issue with at least the latest released version of Superset.
- [x] I have checked the issue tracker for similar issues and did not find any.

#### Additional Context
Superset Logs:
```
superset_1         | INFO:werkzeug:172.18.0.1 - - [11/Feb/2020 13:37:23] "GET /logout/ HTTP/1.1" 302 -
superset_1         | 172.18.0.1 - - [11/Feb/2020 13:37:23] "GET / HTTP/1.1" 302 -
superset_1         | INFO:werkzeug:172.18.0.1 - - [11/Feb/2020 13:37:23] "GET / HTTP/1.1" 302 -
superset_1         | 172.18.0.1 - - [11/Feb/2020 13:37:23] "GET /superset/welcome HTTP/1.1" 302 -
superset_1         | INFO:werkzeug:172.18.0.1 - - [11/Feb/2020 13:37:23] "GET /superset/welcome HTTP/1.1" 302 -
superset_1         | 172.18.0.1 - - [11/Feb/2020 13:37:23] "GET /login/ HTTP/1.1" 200 -
superset_1         | INFO:werkzeug:172.18.0.1 - - [11/Feb/2020 13:37:23] "GET /login/ HTTP/1.1" 200 -
superset_1         | 172.18.0.1 - - [11/Feb/2020 13:37:23] "GET /static/assets/images/PI:EMAIL HTTP/1.1" 404 -
superset_1         | INFO:werkzeug:172.18.0.1 - - [11/Feb/2020 13:37:23] "GET /static/assets/images/PI:EMAIL HTTP/1.1" 404 -
superset_1         | 172.18.0.1 - - [11/Feb/2020 13:37:23] "GET /static/assets/images/PI:EMAIL HTTP/1.1" 404 -
superset_1         | INFO:werkzeug:172.18.0.1 - - [11/Feb/2020 13:37:23] "GET /static/assets/images/PI:EMAIL HTTP/1.1" 404 -
superset_1         | 172.18.0.1 - - [11/Feb/2020 13:37:27] "POST /login/ HTTP/1.1" 302 -
superset_1         | INFO:werkzeug:172.18.0.1 - - [11/Feb/2020 13:37:27] "POST /login/ HTTP/1.1" 302 -
superset_1         | 172.18.0.1 - - [11/Feb/2020 13:37:27] "GET / HTTP/1.1" 302 -
superset_1         | INFO:werkzeug:172.18.0.1 - - [11/Feb/2020 13:37:27] "GET / HTTP/1.1" 302 -
superset_1         | 172.18.0.1 - - [11/Feb/2020 13:37:27] "GET /superset/welcome HTTP/1.1" 200 -
superset_1         | INFO:werkzeug:172.18.0.1 - - [11/Feb/2020 13:37:27] "GET /superset/welcome HTTP/1.1" 200 -
superset_1         | 172.18.0.1 - - [11/Feb/2020 13:37:27] "GET /static/assets/images/loading.gif HTTP/1.1" 404 -
superset_1         | INFO:werkzeug:172.18.0.1 - - [11/Feb/2020 13:37:27] "GET /static/assets/images/loading.gif HTTP/1.1" 404 -
superset_1         | 127.0.0.1 - - [11/Feb/2020 13:37:36] "GET /health HTTP/1.1" 200 -
superset_1         | INFO:werkzeug:127.0.0.1 - - [11/Feb/2020 13:37:36] "GET /health HTTP/1.1" 200 -
superset_1         | 127.0.0.1 - - [11/Feb/2020 13:38:06] "GET /health HTTP/1.1" 200 -
superset_1         | INFO:werkzeug:127.0.0.1 - - [11/Feb/2020 13:38:06] "GET /health HTTP/1.1" 200 -
```

From the logs, it appears that there are several 404 errors related to missing static assets, which might be causing the empty screen.
