9.3.1 严格相等（===，!==）
9.3.2 普通（宽松）相等（==，!=）
9.3.3 没有针对==的有效用例
9.4 排序运算符
算法
9.5 加号运算符（+）
算法
9.6 布尔运算符和数字运算符
9.7 特殊运算符
9.7.1 条件运算符（?:）
9.7.2 逗号运算符
9.7.3 void运算符
9.8 通过typeof和instanceof判断值类型
9.8.1 typeof：判断原始值
9.8.2 instanceof：检测对象是否是给定构造函数的实例
9.9 对象运算符
第10章 布尔类型
10.1 转换成布尔值
10.1.1 手动转换为布尔值
10.1.2 真值和假值
10.2 逻辑运算符
10.2.1 二元逻辑运算符：与(&&)和或(||)
10.2.2 逻辑与(&&)
10.2.3 逻辑或(||)
10.2.4 逻辑非(!)
10.3 等号运算符、排序运算符
10.4 Boolean函数
第11章 数字
11.1 数字字面量
11.1.1 说明
11.1.2 在字面量上调用方法
11.2 转换成数字
11.2.1 手动转换为数字
11.2.2 parseFloat()
11.3 特殊的数字值
11.3.1 NaN
11.3.2 Infinity
11.3.3 两个0
11.4 数字的内部表示
特殊的指数
11.5 处理舍入错误
11.6 JavaScript中的整型
11.6.1 整型的范围
11.6.2 将整型表示为浮点数字
11.6.3 安全的整型
11.7 转换成整数
11.7.1 通过Math.floor()，Math.ceil()和Math.round()得到整数
11.7.2 通过定制函数ToInteger()得到整数
11.7.3 通过位运算符得到32位整数
11.7.4 通过parseInt()得到整数
11.8 算术运算符
11.9 位运算符
11.9.1 背景知识
11.9.2 位运算非操作符
11.9.3 二进制位运算符
11.9.4 位运算移位操作符
11.10 Number函数
11.11 Number构造器属性
11.12 Number原型方法
11.12.1 Number.prototype.toFixed（fractionDigits？）
11.12.2 Number.prototype.toPrecision(precision?)
11.12.3 Number.prototype.toString(radix?)
11.12.4 Number.prototype.toExponential(fractionDigits?)
11.13 用于数字的函数
11.14 本章参考资料
第12章 字符串
12.1 字符串字面量
12.2 字符串字面量中的转义字符
12.3 字符访问
12.4 转换为字符串
手动转换为字符串
12.5 字符串比较
12.6 字符串拼接
12.6.1 合并：加号（+）运算符
12.6.2 合并：拼接字符串数组
12.7 字符串函数
12.8 字符串构造器方法
12.9 字符串length属性
12.10 字符串原型方法
12.10.1 提取子字符串
12.10.2 字符串的变换
12.10.3 字符串的检索和比较
12.10.4 支持正则表达式的方法
第13章 语句
13.1 声明和变量赋值
13.2 循环语句和条件语句的主体
13.3 循环
13.3.1 循环的机制
13.3.2 while
13.3.3 do-while
13.3.4 for
13.3.5 for-in
13.3.6 for each-in
13.4 条件语句
13.4.1 if-then-else
13.4.2 switch
13.5 with语句
13.5.1 语法与语义
13.5.2 with语句已被废弃
13.5.3 废弃with的原因
13.6 debugger语句
第14章 异常捕获
14.1 什么是异常捕获
14.2 JavaScript中的异常捕获
14.2.1 throw
14.2.2 try-catch-finally
14.2.3 例子
14.3 Error构造器
14.4 栈跟踪
14.5 实现一个自己的异常构造器
第15章 函数
15.1 JavaScript中函数的3种形式
15.2 术语：“形参”和“实参”
15.3 定义函数
15.3.1 函数表达式
15.3.2 函数声明
15.3.3 Function构造器
15.4 函数提升
15.5 函数的名称
15.6 哪个更好，函数声明还是函数表达式
15.7 控制函数调用：call(), apply()和bind()
15.7.1 func.apply(thisValue, argArray)
15.7.2 func.bind(thisValue, arg1, ..., argN)
15.8 参数缺失或者超出时的处理
15.8.1 通过索引访问所有参数：神奇的arguments变量
15.8.2 强制性参数，限制参数数量的最小值
15.8.3 可选参数
15.8.4 模拟参数的引用传递
15.8.5 陷阱：非预期的可选参数
15.9 具名参数
15.9.1 具名参数可作为描述信息
15.9.2 可选的具名参数
15.9.3 在JavaScript中模拟具名参数
第16章 变量：作用域、环境和闭包
16.1 定义变量
16.2 背景知识：静态性和动态性
16.3 背景知识：变量的作用域
16.4 变量以函数为作用域
16.5 变量声明的提前
16.6 通过IIFE引入新的作用域
16.6.1 IIFE变体：前缀运算符
16.6.2 IIFE变体：预内置表达式上下文
16.6.3 IIFE变体：传参的IIFE
16.6.4 IIFE的应用
16.7 全局变量
16.7.1 最佳实践：避免创建全局变量
16.7.2 模块系统可以减少全局变量的引入
16.8 全局对象
16.8.1 跨平台兼容
16.8.2 window的使用场景
16.9 环境：变量的管理
16.10 闭包：使得函数可以维持其创建时所在的作用域
16.10.1 通过环境来控制闭包
16.10.2 陷阱：不经意间的环境共用
第17章 对象与继承
17.1 第1层：单一对象
