### Optimized Text

#### 3.3. Evaluation of Putative Antagonists Using Dual-Luciferase Reporter Assay

In previous studies, the assessment of putative GPCR antagonists has often relied on ELISA or radioisotope labeling techniques, which require the use of an agonist such as forskolin to increase basal cAMP levels due to the relatively low activity of adenylate cyclase (AC) and cAMP levels (Seamon et al., 1981). However, the exogenous addition of forskolin can introduce increased uncertainties and errors (Gilissen et al., 2015; Hill et al., 2010). Our study employed the dual-luciferase reporter method, which effectively overcame these challenges. Interestingly, we observed that while the basal cAMP level in pMC5R-F339A remained unchanged compared to the significantly increased level in pMC5R-H342A, a dose-dependent decrease in signal caused by AgRP was detected in pMC5R-F339A. These findings suggest that high basal receptor activity alone is not sufficient for the identification of antagonists.

#### 3.4. Phosphorylation Levels of ERK1/2 in MC5Rs and Their Mutants with Two Ligands

To further evaluate the signaling properties of c/d/g/pMC5R and their mutants, we measured the efficacy of two ligands in the mitogen-activated protein kinase (MAPK) signaling pathway (Johnson and Lapadat, 2002; Robinson and Cobb, 1997). Among the various MAPK cascade pathways, extracellular signal-regulated kinases 1 and 2 (ERK1/2) are the most widely studied and play a crucial role in normal physiological activities in both humans and animals (Kehat et al., 2011; Kehat and Molkentin, 2010). Previous research has shown that hMC5R activates the PKA signaling pathway and increases the phosphorylation level of ERK1/2 in HEK293 cells when stimulated with agonists (Rodrigues et al., 2009). Despite this, the phosphorylation levels of ERK1/2 in c/d/g/pMC5R and their mutants, both in the absence and presence of ligands, remain unexplored.

After preliminary experiments, we selected a stimulation duration of 5 minutes with 50 nmol/L NDP-MSH or AgRP, as this provided the best performance. We first compared the basal phosphorylation levels of ERK1/2 between wild-type and mutant receptors in the absence of ligands.

### Table 1: Ligand Potencies at the MC5Rs and Mutants

| MC5Rs | α-MSH EC50 (nM) | α-MSH Rmax (% WT) | NDP-α-MSH EC50 (nM) | NDP-α-MSH Rmax (% WT) | SHU9119 EC50 (nM) | SHU9119 Rmax (% WT) | AgRP EC50 (nM) | AgRP Rmax (% WT) |
|-------|-----------------|--------------------|----------------------|------------------------|--------------------|----------------------|-----------------|-------------------|
| cMC5R WT | 2.1 ± 0.83 | 100 | 1.04 ± 0.31 | 100 | ND | ND | 0.16 ± 0.02 | 100 |
| D119A | ND | 1.06 ± 0.92** | ND | 26.79 ± 4.3** | ND | ND | ND | 2.73 ± 2.08** |
| F254A | 8.19 ± 4.62 | 41 ± 8.41** | 5.2 ± 0.89** | 34.28 ± 38.4** | ND | ND | 1.89 ± 0.07** | 2.73 ± 2.08** |
| H257A | 1.22 ± 0.36 | 2.52 ± 1.14** | 3.03 ± 1.05* | 3.42 ± 1.46** | ND | ND | 1.76 ± 0.24** | 2.73 ± 2.08** |
| dMC5R WT | 2.43 ± 3.03** | 100 | 0.05 ± 0.02 | 100 | ND | ND | 0.04 ± 0.03 | 100 |
| D119A | 18.04 ± 5.92** | 26.79 ± 4.3** | 0.93 ± 0.54* | 34.87 ± 9.11** | ND | ND | 1.23 ± 0.32** | 43.68 ± 13.3** |
| F254A | 7 ± 8.3** | 69.85 ± 10.77** | 2.68 ± 0.17** | 41.58 ± 0.89** | ND | ND | 2.56 ± 0.46** | 56.12 ± 18.19* |
| H257A | 4.24 ± 5.57** | 90.06 ± 3.83 | 0.04 ± 0.02 | 100 | ND | ND | 0.5 ± 0.13** | 47.35 ± 11.56* |
| gMC5R WT | 0.19 ± 0.04 | 100 | 0.03 ± 0.0032 | 100 | ND | ND | 0.02 ± 0.0023 | 100 |
| D119A | 30.58 ± 11.86** | 26.79 ± 4.3** | 0.41 ± 0.13** | 91.03 ± 37.45 | ND | ND | 0.14 ± 0.1 | 66.97 ± 5.53 |
| F254A | 4.52 ± 3.43 | 69.85 ± 10.77** | 0.18 ± 0.1 | 161.09 ± 35.02* | ND | ND | 0.06 ± 0.03 | 125.98 ± 5.06 |
| H257A | 0.16 ± 0.02 | 90.06 ± 3.83 | 0.07 ± 0.04 | 100 | ND | ND | 0.2 ± 0.03 | 100 |
| pMC5R WT | 0.16 ± 0.02 | 100 | 0.04 ± 0.03 | 100 | ND | ND | 0.03 ± 0.0032 | 100 |
| D204A | 0.05 ± 0.02 | 26.79 ± 4.3** | 0.16 ± 0.11 | 91.03 ± 37.45 | ND | ND | 0.12 ± 0.01* | 52.45 ± 12.48** |
| F339A | 1.89 ± 0.07** | 69.85 ± 10.77** | 0.12 ± 0.07 | 145.34 ± 31.19* | ND | ND | 0.25 ± 0.43 | 61.19 ± 11.13** |
| H342A | 1.76 ± 0.24** | 90.06 ± 3.83 | 0.04 ± 0.02 | 100 | ND | ND | 0.06 ± 0.03 | 100 |

**Note:** EC50: 50% effective concentration; Rmax: maximal response; ND: not detected.
