User: The following is 20 lines of a system log. Each line consists of a timestamp, log level, process id, relevant software component, and the log content. Think step-by-step and step and summarize this log chunk: 
2015-08-24 15:36:13, INFO, None, 0:0:0:0:0:0:0:2181:FastLeaderElection, Notification time out: 60000
2015-08-24 15:37:13, WARN, None, 0:0:0:0:0:0:0:2181:QuorumCnxManager, Cannot open channel to 2 at election address /10.10.34.12:3888
2015-08-24 15:51:13, INFO, None, 0:0:0:0:0:0:0:2181:FastLeaderElection, Notification time out: 60000
2015-08-24 15:55:13, WARN, None, 0:0:0:0:0:0:0:2181:QuorumCnxManager, Cannot open channel to 2 at election address /10.10.34.12:3888
2015-08-24 15:57:13, WARN, None, 0:0:0:0:0:0:0:2181:QuorumCnxManager, Cannot open channel to 2 at election address /10.10.34.12:3888
2015-08-24 16:02:13, INFO, None, 0:0:0:0:0:0:0:2181:FastLeaderElection, Notification time out: 60000
2015-08-24 16:03:13, WARN, None, 0:0:0:0:0:0:0:2181:QuorumCnxManager, Cannot open channel to 2 at election address /10.10.34.12:3888
2015-08-24 16:11:13, INFO, None, 0:0:0:0:0:0:0:2181:FastLeaderElection, Notification time out: 60000
2015-08-24 16:12:13, WARN, None, 0:0:0:0:0:0:0:2181:QuorumCnxManager, Cannot open channel to 3 at election address /10.10.34.13:3888
2015-08-24 16:37:13, WARN, None, 0:0:0:0:0:0:0:2181:QuorumCnxManager, Cannot open channel to 2 at election address /10.10.34.12:3888
2015-08-24 16:51:13, WARN, None, 0:0:0:0:0:0:0:2181:QuorumCnxManager, Cannot open channel to 3 at election address /10.10.34.13:3888
2015-08-24 17:29:13, WARN, None, 0:0:0:0:0:0:0:2181:QuorumCnxManager, Cannot open channel to 3 at election address /10.10.34.13:3888
2015-08-24 17:39:14, WARN, None, 0:0:0:0:0:0:0:2181:QuorumCnxManager, Cannot open channel to 2 at election address /10.10.34.12:3888
2015-08-24 18:02:14, INFO, None, 0:0:0:0:0:0:0:2181:FastLeaderElection, Notification time out: 60000
2015-08-24 18:04:14, INFO, None, 0:0:0:0:0:0:0:2181:FastLeaderElection, Notification time out: 60000
2015-08-24 18:28:14, WARN, None, 0:0:0:0:0:0:0:2181:QuorumCnxManager, Cannot open channel to 2 at election address /10.10.34.12:3888
2015-08-24 18:31:14, WARN, None, 0:0:0:0:0:0:0:2181:QuorumCnxManager, Cannot open channel to 3 at election address /10.10.34.13:3888
2015-08-24 18:41:14, INFO, None, 0:0:0:0:0:0:0:2181:FastLeaderElection, Notification time out: 60000
2015-08-24 18:47:14, INFO, None, 0:0:0:0:0:0:0:2181:FastLeaderElection, Notification time out: 60000
2015-08-24 18:51:14, WARN, None, 0:0:0:0:0:0:0:2181:QuorumCnxManager, Cannot open channel to 2 at election address /10.10.34.12:3888
Assistant: This log chunk shows that the software component 0:0:0:0:0:0:0:2181:FastLeaderElection is timing out every hour, while the software component 0:0:0:0:0:0:0:2181:QuorumCnxManager is unable to open channels to 2 and 3 at election address /10.10.34.12:3888 and /10.10.34.13:3888 respectively.
