## 卡内基梅隆大学数据库技术讲座

### 作者
digoal

### 日期
2021-06-25

### 标签
PostgreSQL, 数据库

---

## 背景
您可以在YouTube上观看这些讲座：
[卡内基梅隆大学数据库研讨会2021](https://db.cs.cmu.edu/seminar2021/)

### 讲座安排
| 日期       | 演讲者                     | 主题                                                                                      | 视频链接 |
|------------|---------------------------|------------------------------------------------------------------------------------------|----------|
| 2月1日     | Daniel Abadi (马里兰大学)   | SLOG: 可序列化、低延迟的地理复制事务                                                      | [视频]   |
| 2月8日     | David Daly (MongoDB)        | MongoDB的性能测试                                                                        | [视频]   |
| 2月15日    | Kishore Gopalakrishna (Apache Pinot) | 星树索引：OLAP中的空间-时间权衡                                                        | [视频]   |
| 2月22日    | Marco Slot (Citus)          | Citus: 分布式PostgreSQL扩展                                                               | [视频]   |
| 3月1日     | Gian Merlino (Imply)        | Apache Druid存储和查询引擎内部                                                           | [视频]   |
| 3月8日     | Adam Kocoloski (IBM)        | Apache CouchDB中的新颖设计选择                                                           | [视频]   |
| 3月15日    | Kyle Bernhardy (HarperDB)   | HarperDB的数据存储历程：从文件系统到LMDB                                                 | [视频]   |
| 3月22日    | Lin Ma (卡内基梅隆大学)     | NoisePage: 自动驾驶数据库管理系统                                                         | [视频]   |
| 3月29日    | Badrish Chandramouli (微软研究院) | FASTER: 现代边缘-云环境下的高效状态管理                                                   | [视频]   |
| 4月5日     | Hossein Ahmadi (Google BigQuery) | Google BigQuery中的查询处理                                                             | [视频]   |
| 4月12日    | Viktor Leis (埃尔朗根-纽伦堡大学) | LeanStore: 内存数据管理超越主内存                                                       | [视频]   |
| 4月19日    | Andrei Gorine (McObject)    | 任务关键型应用中的确定性数据库管理                                                       | [视频]   |
| 4月26日    | Joyo Victor (SingleStore)   | 事务和分析的存储与计算分离                                                               | [视频]   |
| 5月3日     | Jia Shi (Oracle Exadata)   | Exadata事务的背后：如何利用持久内存的力量                                                | [视频]   |
| 5月10日    | Paul Dix (InfluxData)       | InfluxDB IOx的设计：用Rust和Apache Arrow编写的内存列式数据库                             | [视频]   |
| 5月17日    | Malte Schwarzkopf (布朗大学) | 快速网站的快速物化视图                                                                   | [视频]   |
| 5月24日    | Sir Marten Kersten (荷兰数学与计算机科学研究中心) | MonetDB: 先横向扩展再纵向扩展                                                           | [视频]   |
| 6月7日     | Robert Haas (EnterpriseDB)  | PostgreSQL优化器方法论                                                                    | [视频]   |
| 6月14日    | Eugene Wu (哥伦比亚大学)     | 人类数据交互系统                                                                          | [视频]   |

#### [PostgreSQL 许愿链接](https://github.com/digoal/blog/issues/76)
您的愿望将传达给PG内核开发者和数据库厂商，帮助提高数据库产品质量和功能。说不定下一个PG版本就有您提出的功能点。针对非常好的提议，我们将奖励限量版PG文化衫、纪念品、贴纸、热门书籍等丰富奖品。快来许愿吧！[开不开森](https://github.com/digoal/blog/issues/76).

#### [9.9元购买3个月阿里云RDS PostgreSQL实例](https://www.aliyun.com/database/postgresqlactivity)
#### [PostgreSQL 解决方案集合](https://yq.aliyun.com/topic/118)
#### [德哥 / digoal's GitHub - 公益是一辈子的事](https://github.com/digoal/blog/blob/master/README.md)
![德哥的微信](../pic/digoal_weixin.jpg)
#### [PolarDB 学习图谱: 训练营、培训认证、在线互动实验、解决方案、生态合作、写心得拿奖品](https://www.aliyun.com/database/openpolardb/activity)
#### [购买PolarDB云服务折扣活动进行中, 55元起](https://www.aliyun.com/activity/new/polardb-yunparter?userCode=bsb3t4al)
#### [关于德哥](https://github.com/digoal/blog/blob/master/me/readme.md)
