# G0085: FIN4
## Description
FIN4 is a financially motivated threat group that has been active since at least 2013, targeting confidential information related to the public financial market, particularly in the healthcare and pharmaceutical sectors. (Citation: FireEye Hacking FIN4 Dec 2014) (Citation: FireEye FIN4 Stealing Insider NOV 2014) Unlike many other threat groups, FIN4 does not typically deploy persistent malware. Instead, they focus on capturing credentials that allow them to access email and other non-public correspondence. (Citation: FireEye Hacking FIN4 Dec 2014) (Citation: FireEye Hacking FIN4 Video Dec 2014)

## Tactics, Techniques, and Procedures (TTPs)
| Platform | Tactic | Technique | Description | Data Sources |
| --- | --- | --- | --- | --- |
| Linux, macOS, Windows | [Impact](https://attack.mitre.org/tactics/impact/) | [Stored Data Manipulation](https://attack.mitre.org/techniques/T1492/) | FIN4 creates rules in victims' Microsoft Outlook accounts to automatically delete emails containing keywords such as "hacked," "phish," and "malware." This is likely an attempt to prevent organizations from communicating about their activities. | Application logs, File monitoring |
| Windows, macOS, Linux | [Initial Access](https://attack.mitre.org/tactics/initial-access/) | [Spearphishing Attachment](https://attack.mitre.org/techniques/T1193/) | FIN4 uses spearphishing emails with attachments, often stolen, legitimate documents sent from compromised accounts, containing embedded malicious macros. | File monitoring, Packet capture, Network intrusion detection system, Detonation chamber, Email gateway, Mail server |
| Linux, Windows, macOS | [Execution](https://attack.mitre.org/tactics/execution/) | [User Execution](https://attack.mitre.org/techniques/T1204/) | FIN4 lures victims into launching malicious attachments and clicking on malicious links delivered via spearphishing emails, often sent from compromised accounts. | Anti-virus, Process command-line parameters, Process monitoring |
| Linux, macOS, Windows | [Defense Evasion, Execution](https://attack.mitre.org/tactics/defense-evasion/), (https://attack.mitre.org/tactics/execution/) | [Scripting](https://attack.mitre.org/techniques/T1064/) | FIN4 uses VBA macros to display a dialog box and collect victim credentials. | Process monitoring, File monitoring, Process command-line parameters |
| Linux, macOS, Windows | [Collection, Credential Access](https://attack.mitre.org/tactics/collection/), (https://attack.mitre.org/tactics/credential-access/) | [Input Capture](https://attack.mitre.org/techniques/T1056/) | FIN4 captures credentials via fake Outlook Web App (OWA) login pages and has also used a .NET-based keylogger. | Windows Registry, Kernel drivers, Process monitoring, API monitoring |
| macOS, Windows | [Credential Access](https://attack.mitre.org/tactics/credential-access/) | [Input Prompt](https://attack.mitre.org/techniques/T1141/) | FIN4 presents victims with spoofed Windows Authentication prompts to collect their credentials. | Process monitoring, Process command-line parameters, User interface, PowerShell logs |
| Windows, macOS, Linux, Office 365, SaaS | [Initial Access](https://attack.mitre.org/tactics/initial-access/) | [Spearphishing Link](https://attack.mitre.org/techniques/T1192/) | FIN4 uses spearphishing emails, often sent from compromised accounts, containing malicious links. | Packet capture, Web proxy, Email gateway, Detonation chamber, SSL/TLS inspection, DNS records, Mail server |
| Windows, Office 365 | [Collection](https://attack.mitre.org/tactics/collection/) | [Email Collection](https://attack.mitre.org/techniques/T1114/) | FIN4 accesses and hijacks email communications using stolen credentials. | Office 365 trace logs, Mail server, Email gateway, Authentication logs, File monitoring, Process monitoring, Process use of network |
| Linux, macOS, Windows | [Command and Control](https://attack.mitre.org/tactics/command-and-control/) | [Multi-hop Proxy](https://attack.mitre.org/techniques/T1188/) | FIN4 uses Tor to log in to victims' email accounts. | Network protocol analysis, Netflow/Enclave netflow |
| Linux, macOS, Windows, AWS, GCP, Azure, SaaS, Office 365 | [Defense Evasion, Persistence, Privilege Escalation, Initial Access](https://attack.mitre.org/tactics/defense-evasion/), (https://attack.mitre.org/tactics/persistence/), (https://attack.mitre.org/tactics/privilege-escalation/), (https://attack.mitre.org/tactics/initial-access/) | [Valid Accounts](https://attack.mitre.org/techniques/T1078/) | FIN4 uses legitimate credentials to hijack email communications. | AWS CloudTrail logs, Stackdriver logs, Authentication logs, Process monitoring |
| Linux, macOS, Windows | [Command and Control](https://attack.mitre.org/tactics/command-and-control/) | [Standard Application Layer Protocol](https://attack.mitre.org/techniques/T1071/) | FIN4 uses HTTP POST requests to transmit data. | Packet capture, Netflow/Enclave netflow, Process use of network, Malware reverse engineering, Process monitoring |

This revised version aims to improve clarity, coherence, and professionalism while maintaining the essential details and structure of the original text.
