## 系统和存储设备日志格式规范

### 物理磁盘信息
| 序号 | 记录项                         |
|------|-------------------------------|
| 1    | 事件分类1                     |
| 2    | 事件分类2                     |
| 3    | 产生事件进程名称              |
| 4    | 物理磁盘基本信息-磁盘名称     |
| 5    | 物理磁盘基本信息-磁盘类型     |
| 6    | 物理磁盘基本信息-磁盘序列号   |
| 7    | 物理磁盘基本信息-磁盘大小     |
| 8    | 物理磁盘运行信息-磁盘I/O      |

### 逻辑磁盘信息
| 序号 | 记录项                         |
|------|-------------------------------|
| 9    | 逻辑磁盘基本信息-磁盘名称     |
| 10   | 逻辑磁盘基本信息-磁盘大小     |
| 11   | 逻辑磁盘基本信息-磁盘类型     |
| 12   | 逻辑磁盘运行信息-分区使用率   |

### 文件系统信息
| 序号 | 记录项                        |
|------|------------------------------|
| 13   | 文件系统基本信息-名称        |
| 14   | 文件系统信息-大小            |
| 15   | 文件系统信息-类型            |
| 16   | 文件系统运行信息-使用率      |

### 用户和密码策略
| 序号 | 记录项                       |
|------|-----------------------------|
| 17   | 用户列表信息-用户账号       |
| 18   | 用户列表信息-用户角色       |
| 19   | 密码策略-密码复杂性要求     |
| 20   | 密码策略-密码长度最小值     |
| 21   | 密码策略-密码最短使用期限   |
| 22   | 密码策略-密码最长使用期限   |
| 23   | 密码策略-密码强制密码历史   |

---

## 网络类设备日志格式规范

### 路由器设备日志
| 序号 | 记录项                          |
|------|--------------------------------|
| 1    | 事件名                          |
| 2    | 事件产生时间                    |
| 3    | 设备名                          |
| 4    | 事件优先级                      |
| 5    | 事件严重等级                    |
| 6    | 事件详细信息                    |
| 7    | 事件分类1                      |
| 8    | 事件分类2                      |
| 9    | 事件输入的字节数                |
| 10   | 事件输出的字节数                |
| 11   | 事件传输协议                    |
| 12   | 事件进入的包数量                |
| 13   | 事件出去的包数量                |
| 14   | 事件发生设备地址                |
| 15   | 事件发生设备名称                |
| 16   | 事件入设备接口                  |
| 17   | 事件出设备接口                  |
| 18   | 事件发生设备厂家                |
| 19   | 事件源地址                      |
| 20   | 事件源端口                      |
| 21   | 事件目的地址                    |
| 22   | 事件目的端口                    |
| 23   | 事件设备进程                    |
| 24   | 源IP                           |
| 25   | 目标IP                         |
| 26   | 源端口                         |
| 27   | 目的端口                       |
| 28   | 协议                           |
| 29   | 策略类型                       |
| 30   | NAT转换外部地址                 |
| 31   | NAT转换内部地址                 |

### 交换机设备日志
