11.3.1 创建列表
11.3.2 只读集合
11.4 队列
11.5 栈
11.6 链表
11.7 有序列表
11.8 字典
11.8.1 字典初始化器
11.8.2 键的类型
11.8.3 字典示例
11.8.4 Lookup类
11.8.5 有序字典
11.9 集
11.10 性能
11.11 小结
第12章 特殊的集合
12.1 概述
12.2 处理位
12.2.1 BitArray类
12.2.2 BitVector32结构
12.3 可观察的集合
12.4 不变的集合
12.4.1 使用构建器和不变的集合
12.4.2 不变集合类型和接口
12.4.3 使用LINQ和不变的数组
12.5 并发集合
12.5.1 创建管道
12.5.2 使用BlockingCollection
12.5.3 使用ConcurrentDictionary
12.5.4 完成管道
12.6 小结
第13章 LINQ
13.1 LINQ概述
13.1.1 列表和实体
13.1.2 LINQ查询
13.1.3 扩展方法
13.1.4 推迟查询的执行
13.2 标准的查询操作符
13.2.1 筛选
13.2.2 用索引筛选
13.2.3 类型筛选
13.2.4 复合的from子句
13.2.5 排序
13.2.6 分组
13.2.7 LINQ查询中的变量
13.2.8 对嵌套的对象分组
13.2.9 内连接
13.2.10 左外连接
13.2.11 组连接
13.2.12 集合操作
13.2.13 合并
13.2.14 分区
13.2.15 聚合操作符
13.2.16 转换操作符
13.2.17 生成操作符
13.3 并行LINQ
13.3.1 并行查询
13.3.2 分区器
13.3.3 取消
13.4 表达式树
13.5 LINQ提供程序
13.6 小结
第14章 错误和异常
14.1 简介
14.2 异常类
14.3 捕获异常
14.3.1 实现多个catch块
14.3.2 在其他代码中捕获异常
14.3.3 System.Exception属性
14.3.4 异常过滤器
14.3.5 重新抛出异常
14.3.6 没有处理异常时发生的情况
14.4 用户定义的异常类
14.4.1 捕获用户定义的异常
14.4.2 抛出用户定义的异常
14.4.3 定义用户定义的异常类
14.5 调用者信息
14.6 小结
第15章 异步编程
15.1 异步编程的重要性
15.2 异步模式
15.2.1 同步调用
15.2.2 异步模式
15.2.3 基于事件的异步模式
15.2.4 基于任务的异步模式
15.3 异步编程的基础
15.3.1 创建任务
15.3.2 调用异步方法
15.3.3 延续任务
15.3.4 同步上下文
15.3.5 使用多个异步方法
15.3.6 转换异步模式
15.4 错误处理
15.4.1 异步方法的异常处理
15.4.2 多个异步方法的异常处理
15.4.3 使用AggregateException信息
15.5 取消
15.5.1 开始取消任务
15.5.2 使用框架特性取消任务
15.5.3 取消自定义任务
15.6 小结
第16章 反射、元数据和动态编程
16.1 在运行期间检查代码和动态编程
16.2 自定义特性
16.2.1 编写自定义特性
16.2.2 自定义特性示例：WhatsNewAttributes
16.3 反射
16.3.1 System.Type类
16.3.2 TypeView示例
16.3.3 Assembly类
16.3.4 完成WhatsNewAttributes示例
16.4 为反射使用动态语言扩展
16.4.1 创建Calculator库
16.4.2 动态实例化类型
16.4.3 用反射API调用成员
16.4.4 使用动态类型调用成员
16.5 dynamic类型
16.6 DLR
16.7 包含DLR ScriptRuntime
16.8 DynamicObject和ExpandoObject
16.8.1 DynamicObject
16.8.2 ExpandoObject
16.9 小结
第Ⅱ部分 .NET Core与Windows Runtime
第17章 Visual Studio 2015
17.1 使用Visual Studio 2015
17.1.1 Visual Studio的版本
17.1.2 Visual Studio设置
17.2 创建项目
17.2.1 面向多个版本的.NET Framework
17.2.2 选择项目类型
17.3 浏览并编写项目
17.3.1 构建环境：CLI和MSBuild
17.3.2 Solution Explorer
17.3.3 使用代码编辑器
17.3.4 学习和理解其他窗口
17.3.5 排列窗口
