User: 请查询调用链数据中的核心字段，要求是能够通过这些字段构建调用链拓扑图。
Assistant: 调用链数据中的核心字段，应该符合观察易定义的数据模型：
|====================
| 字段名称 | 数据类型 | 是否必须 | 描述
| traceId | string | 是 | 跟踪全局标识号，描述一次请求处理过程中的唯一ID，该要素在所有的SPAN中共享传递
| spanId | string | 是 | 跟踪动作标识号，描述一次请求在某个服务执行过程中某一个具体动作的编号
| parentId | string | 是 | 跟踪动作上级标识号，描述一次请求在某一个服务执行过程中某一个具体的动作的上级节点的编号
| starttime | 时间戳 | 是 |单位是微秒。跟踪动作开始执行时间，描述一次请求在某一个服务执行过程中某一个具体的动作的开始时间
| duration  | 时间戳 | 是 | 单位是微秒。跟踪动作执行持续时间，描述一次请求在某一个服务执行过程中某一个具体的动作的持续时间
| status | 枚举类型 | 是 | 枚举成员有["ok","error","unset"]。描述请求处理结果，"ok"表示处理成功，"error"表示处理失败，"unset"表示处理结果未知
| status_code | string | 是 | 描述请求处理状态码
| error_message | string | 否 | 描述请求处理失败时的错误信息
| business | string | 是 | 描述请求对应的业务，通常业务字段在根节点，需要传递到每个子节点
| service | string | 是 | 跟踪服务名称，描述一次请求在某个服务中执行的服务名称
| serviceGroup | string | 建议 | 跟踪服务分组名称，描述一次请求在某个服务分组中执行的服务分组名称。常见于银行架构，为了方便组织管理，在服务上层有一个系统的概念
| interface | string | 是 |  跟踪动作名称描述，描述一次请求在某一个服务执行过程中某一个具体的动作的名称
| local_ip | string | 是 | 描述服务所在IP地址
| service.type | string | 是 | 描述服务类型，常见的值有service、inferred service、inferred database、inferred queue，用于链路拓扑的展示
| service.component | string | 是 | 描述服务组件类型，常见的值有：java,python,ruby,go,mysql,mongodb,redis,kafka,rabbitmq等
| service.instance.runtime_meta | string | 是 | 描述服务实例运行的环境，常见的值有host.ip,host.name，container.id,container.name,k8s.container.id,k8s.container.name,k8s.pod.uid
| service.instance | string | 是 | 描述服务实例的值，是service.instance.runtime_meta的值
| s_serviceGroup | string | 建议 | 描述父节点的服务分组名
| s_service | string | 是 | 描述父节点的服务名
| s_interface | string | 是 | 描述父节点的操作
|====================
