  49         文件传输日志-引擎序列号
  50         文件传输日志-引擎发出syslog的时间
  51         文件传输日志-事件id
  52         文件传输日志-会话id
  53         文件传输日志-传输层协议
  54         文件传输日志-应用层协议
  55         文件传输日志-事件级别
  56         文件传输日志-服务器ip
  57         文件传输日志-客户端ip
  58         文件传输日志-服务器端口号
  59         文件传输日志-重定向端口号
  60         文件传输日志-客户端端口号
  61         文件传输日志-服务器MAC地址
  62         文件传输日志-客户端MAC地址
  63         文件传输日志-规则集名
  64         文件传输日志-规则名
  65         文件传输日志-资源账号
  66         文件传输日志-认证账号
  67         文件传输日志-策略id
  68         文件传输日志-规则id
  69         文件传输日志-规则模板id
  70         文件传输日志-方向（请求/应答）
  71         文件传输日志-响应时间
  72         文件传输日志-错误码
  73         文件传输日志-阻断（是/否）
  74         文件传输日志-命令
  75         文件传输日志-类型（文件/目录）
  76         文件传输日志-原始命令
  77         文件传输日志-源文件名
  78         文件传输日志-新文件名
  79         文件传输日志-挂载点
  80         文件传输日志-本地路径
  81         运维日志-Syslog服务器收到日志的时间
  82         运维日志-引擎ip
  83         运维日志-引擎发出syslog日志的时间
  84         运维日志-引擎名称
  85         运维日志-协议名
  86         运维日志-引擎序列号
  87         运维日志-引擎发出syslog的时间
  88         运维日志-事件id
  89         运维日志-会话id
  90         运维日志-传输层协议
  91         运维日志-应用层协议
  92         运维日志-事件级别
  93         运维日志-引擎ip
  94         运维日志-服务器ip
  95         运维日志-客户端ip
  96         运维日志-服务器端口号
  97         运维日志-重定向端口号
  98         运维日志-客户端端口号
  99         运维日志-服务器MAC地址
  100        运维日志-客户端MAC地址
  101        运维日志-规则集名
  102        运维日志-规则名
  103        运维日志-资源账号
  104        运维日志-认证账号
  105        运维日志-策略id
  106        运维日志-规则id
  107        运维日志-规则模板id
  108        运维日志-方向（请求/应答）
  109        运维日志-响应时间
  110        运维日志-错误码
  111        运维日志-阻断（是/否）
  112        运维日志-输入命令
  113        运维日志-输入数据
  ---------- -------------------------------------------------------------
7.  隔离装置日志格式规范
  ---------- -------------------------------------------------------------
  **序号**   **记录项**
  1          基本信息-设备标识
  2          基本信息-设备类别
  3          基本信息-用户列表
  4          基本信息-设备IP
  5          基本信息-设备MAC
  6          基本信息-所属单位
  7          基本信息-运维单位
  8          基本信息-责任人
  9          基本信息-版本号
  10         登录日志-登录时间
  11         登录日志-登出时间
  12         登录日志-登录帐号
  13         登录日志-登录IP
  14         登录日志-登录认证方式
  15         登录日志-登录认证结果
  16         配置快照
  17         日志快照
  18         日志大小
  19         业务信息-当前连接数
  20         业务信息-应用名称
  21         业务信息-服务器名称
  22         业务信息-虚拟数据库名称
  23         业务信息-真实数据库名称
  24         执行信息-发生时间
  25         执行信息-SQL内容
  26         执行信息-数据源IP
  27         执行信息-数据源端口
  28         告警信息-告警ID
  29         告警信息-告警时间
  30         告警信息-告警类型（SQL拒绝、非法报文、异常告警）
  31         告警信息-告警内容
  ---------- -------------------------------------------------------------
## 应用类日志
1.  中间件日志格式规范
  --------------- -------------------------------------------------------
  **序号**        **记录项**
  1               事件名
  2               事件时间
  3               应用名
  4               事件优先级
  5               事件请求动作
  6               事件请求URL
  7               事件返回信息
  8               事件请求大小
  9               事件客户端浏览器信息
  --------------- -------------------------------------------------------
2.  业务系统日志格式规范
  --------------- -------------------------------------------------------
  **序号**        **记录项**
  1               事件名
  2               事件产生时间
  3               事件源IP
  4               事件优先级
  5               业务系统名称
  6               功能模块
  7               操作名称
  9               操作结果
  10              关键数据
  --------------- -------------------------------------------------------
审单日志用来记录通关过程中的逻辑情况，追踪审单的路径，用来快速分离用户、业务、应用和系统的问题，以便有效的进行问题定位，准确发现通关没有按照预定方式运行的状况。因此该类日志主要是是对通关过程的执行状况的记录，显示某个步骤在某个时刻或者某个阶段的状态跟踪记录，同时可以映射到应用或者系统的某一项，如某个组件在某个时刻的状态或某一阶段内的状态跟踪记录。
跟踪记录主要包括两方面内容：
1\. 行为记录：记录被跟踪对象的内部行为和外部行为，其中
•
内部行为记录：是针对内部对象状态、数据环境、事件、性能等，用于白盒测试和除错。
• 外部行为记录：
是针对对外可见的数据或对象的状态、可见的事件、可访问的功能等，用于黑盒测试、系统间的集成/维护。
2\.
跟踪控制：对跟踪方式的定制，如某一跟踪功能的启动/停止、记录格式的选择、记录存储的选择。
跟踪记录可以分为5种类型：
1\. 操作记录：记录对象的操作，如某个方法的调用。可进一步分为
• 内部操作跟踪：记录对象内部的操作。
•
外部操作跟踪：记录对象对外接口的行为，包括对其他对象的调用、被其他对象的调用。
2\. 性能记录：记录对象功能的性能指标，包括完成功能的时间等。
3\. 状态记录：记录对象的公共数据属性。
4\. 事件记录：记录与对象相关的事件和次序。
5\. 错误记录：记录错误消息、异常、和相关的过程信息。
**日志消息文本属性定义**
以下为审单日志标准属性名称，在下列范围之外的，各个应用组件可自行定义。必填属性是指在应用和服务的入口和出口，系统调用点，错误异常点，关键步骤点的日志都需要包含相关必填属性
属性值遵循以下原则：
-   在属性值不包含空格和双引号时，直接记录；
-   在属性值包含空格时，两端用双引号包括；
-   在属性值包含双引号，双引号前加反斜杠"\\"。
特别的：
1.  transID为全局唯一标识报关单号
2.  transCode为操作代码，
3.  messageId为消息跟踪号，
4.  errorCode为错误编码，errorMessage为错误消息，
+-------------------+-----------+------+-----------------------------+
| **英文属性名称**  | **中文属  | **   | **说明**                    |
|                   | 性名称**  | 必填 |                             |
|                   |           | 项** |                             |
+===================+===========+======+=============================+
| transCode         | 审单      | Y    | 用来唯一标识某一种审单环节  |
|                   | 环节代码  |      |                             |
+-------------------+-----------+------+-----------------------------+
| transId           | 审        | Y    | 用来在应                    |
|                   | 单跟踪号  |      | 用系统内全局标识某一次审单  |
