为了提高文本的清晰度、连贯性和专业性，我将对您的数据进行整理，并以表格的形式呈现。这样可以更好地展示信息，方便读者理解。

### 数据表

| FLR | # Devices  | FDR Available | # Logs       |
|-----|------------|---------------|--------------|
| Low | 17,455     | 7.44%         | 1,102,014    |
| Yes | 7,929      | 0.88%         | 411,661      |
| Low | 785        | 22.55%        | 372,631      |
| No  | 3,776      | 20.68%        | 303,726      |
| Yes | 613        | 43.39%        | 209,332      |
| High| 1,122      | 7.22%         | 204,402      |
| Low | 6,816      | 9.26%         | 166,085      |
| Yes | 768        | 3.26%         | 150,159      |
| Medium| 50  | 14.00%        | 133,471      |
| Low | 797        | 6.02%         | 132,317      |
| Yes | 2,500      | 4.64%         | 115,721      |
| No  | 30         | 20.00%        | 88,555       |
| Medium| 1,094  | 10.05%        | 86,111       |
| Low | 756        | 1.19%         | 77,829       |
| No  | 43         | 0.00%         | 72,880       |
| Low | 1,751      | 7.08%         | 72,562       |
| Yes | 777        | 14.93%        | 71,844       |
| Medium| 322   | 12.73%        | 70,479       |
| Low | 68         | 76.47%        | 70,073       |
| Yes | 5,417      | 0.02%         | 66,937       |
| No  | 171        | 25.73%        | 61,161       |
| Medium| 1,637  | 69.40%        | 55,420       |
| High| 8,776      | 4.49%         | 50,700       |
| Yes | 3,291      | 1.37%         | 50,392       |
| Low | 4,906      | 1.04%         | 46,092       |
| No  | 19         | 31.58%        | 45,040       |
| Medium| 90     | 12.22%        | 42,581       |
| Low | 955        | 11.10%        | 40,328       |
| No  | 133        | 11.28%        | 39,662       |
| Medium| 1,234  | 0.57%         | 39,005       |
| Yes | 88         | 27.27%        | 38,694       |
| No  | 236        | 12.71%        | 34,975       |
| Medium| 2,599  | 7.58%         | 33,671       |
| Low | 46         | 13.04%        | 29,673       |
| No  | 544        | 10.48%        | 28,223       |
| Low | 3,463      | 24.86%        | 27,328       |
| No  | 3,480      | 24.77%        | 27,201       |
| Medium| 293    | 0.34%         | 26,869       |
| No  | 1,513      | 1.12%         | 26,689       |
| Low | 83         | 13.25%        | 26,004       |
| No  | 1,399      | 54.11%        | 24,767       |
| Low | 2          | 100.00%       | 24,274       |
| No  | 720        | 3.61%         | 24,117       |
| Medium| 317    | 1.89%         | 24,108       |
| No  | 5,360      | 1.19%         | 23,915       |
| Yes | 703        | 2.42%         | 21,411       |
| High| 3,430      | 6.68%         | 21,363       |
| No  | 629        | 10.97%        | 21,148       |
| Low | 41         | 21.95%        | 20,599       |
| No  | 773        | 3.49%         | 19,828       |

### 说明
- **FLR**：表示某种分类（例如，低、中、高）。
- **# Devices**：设备数量。
- **FDR Available**：可用的FDR百分比。
- **# Logs**：日志数量。

通过这种方式，您可以更清晰地看到每个类别的数据分布情况。希望这能帮助您更好地理解和使用这些数据。
