```
.\" t
.\" (c) 1993 by Thomas Koenig (PI:EMAIL)
.\"
.\" Permission is granted to make and distribute verbatim copies of this
.\" manual provided the copyright notice and this permission notice are
.\" preserved on all copies.
.\"
.\" Permission is granted to copy and distribute modified versions of this
.\" manual under the conditions for verbatim copying, provided that the
.\" entire resulting derived work is distributed under the terms of a
.\" permission notice identical to this one.
.\"
.\" Since the Linux kernel and libraries are constantly changing, this
.\" manual page may be incorrect or out-of-date. The author(s) assume no
.\" responsibility for errors or omissions, or for damages resulting from
.\" the use of the information contained herein. The author(s) may not
.\" have taken the same level of care in the production of this manual,
.\" which is licensed free of charge, as they might when working
.\" professionally.
.\"
.\" Formatted or processed versions of this manual, if unaccompanied by
.\" the source, must acknowledge the copyright and authors of this work.
.\"
.\" Modified Sat Jul 24 17:35:15 1993 by Rik Faith
.\" Modified Sun Feb 19 22:02:32 1995 by Rik Faith
.\" Modified Tue Oct 22 23:28:12 1996 by Eric S. Raymond
.\" Modified Sun Jan 26 21:56:56 1997 by Ralph Schleicher
.\"
.\" Modified Mon Jun 16 20:24:58 1997 by Nicolás Lichtmaier
.\" Modified Sun Oct 18 22:11:28 1998 by Joseph S. Myers
.\" Modified Mon Nov 16 17:24:47 1998 by Andries Brouwer
.\"
.\" 中文版版权所有 redcandle, Laser www.linuxforum.net 2000
.TH SUFFIXES 7 "April 4, 1996" "Linux" "Linux 程序员手册"

.SH NAME
suffixes \- 列出文件后缀

.SH DESCRIPTION [描述]
文件后缀通常位于文件名之后，与文件名之间以点（.）分隔，一般包含一个或多个字母。文件后缀用于描述文件的内容。许多标准实用程序（如编译器）通过文件后缀来识别文件类型。例如，`make(1)` 命令就依赖于文件后缀。

以下是在 Linux 系统中常见的文件后缀及其对应的文件类型：

.nf
 后缀        文件类型
 ,v          RCS (Revision Control System) 文件
 -           备份文件
 .C          C++ 源代码文件
 .F          使用 `cpp(1)` 的 Fortran 源代码或用 freeze 压缩的文件
 .S          汇编源代码
 .Y          用 yabba 压缩的文件
 .Z          用 `compress(1)` 压缩的文件
 .[0-9]+gf   TeX 普通字体文件
 .[0-9]+pk   TeX 打包字体文件
 .[1-9]      相关章节的手册页
 .[1-9][a-z] 包含子章节的手册页
 .a          静态对象代码库
 .ad         X 应用程序默认资源文件
 .adb        Ada 体源文件
 .ads        Ada 描述源文件
 .afm        PostScript 字体度量
 .al         Perl 自动加载文件
 .am         `automake(1)` 输入文件
 .arc        `arc(1)` 档案文件
 .arj        `arj(1)` 档案文件
 .asc        PGP ASCII-保护数据
 .asm        (GNU) 汇编源代码
 .au         Audio 声音文件
 .aux        LaTeX 辅助文件
 .avi        (msvideo) 电影
 .awk        AWK 程序
 .b          LILO 启动加载器镜像
 .bak        备份文件
 .bash       `bash(1)` 脚本
 .bb         gcc -ftest-coverage 生成的基础块列表数据
 .bbg        gcc -ftest-coverage 生成的基础块图形数据
 .bbl        BibTeX 输出文件
 .bdf        X 字体文件
 .bib        TeX 数目数据库，BibTeX 输入文件
 .bm         bitmap 源文件
 .bmp        bitmap 位图
 .bz2        `bzip2(1)` 压缩文件
 .c          C 源代码
 .cat        信息目录文件
 .cc         C++ 源代码
 .cf         配置文件
 .cfg        同上
 .cgi        可以产生 web 页的脚本或程序
 .class      Java 已编译文件
 .conf       配置文件
 .config     同上
 .cpp        (等价于 .cc)
 .csh        `csh(1)` 脚本
 .cxx        (等价于 .cc)
 .dat        数据文件
 .deb        Debian 软件包
 .def        Modula-2 语言的定义模块的源代码
 .desc       用 munpack 解压的邮件信息的初始化部分
 .diff       文件不同之处 (diff(1) 的输出文件)
 .dir        dbm 数据库目录文件
 .doc        文档文件
 .dtx        LaTeX 包的源文件
 .dvi        TeX 设备无关的输出文件
 .el         Emacs-Lisp 源代码
 .elc        编译后的 Emacs-Lisp 文件
 .eps        压缩过的 PostScript
 .f          Fortran 源代码
 .f77        Fortran 77 源代码
 .f90        Fortran 90 源代码
 .fas        预编译的 Common-Lisp
 .fi         Fortran 包含文件
 .fig        FIG 图像文件 (`xfig(1)` 调用)
 .fmt        TeX 格式文件
 .gif        Compuserve Graphics Image File format (图像文件)
 .gmo        GNU 格式信息目录
 .gsf        Ghostscript 字体
 .gz         用 `gzip(1)` 压缩的文件
 .h          C 或 C++ 头文件
 .help       帮助文件
 .hf         等价于 .help
 .hlp        等价于 .help
 .htm        HTML 文档 (有些系统扩展名只能三个字符)
 .html       WWW 中使用的 HTML 文档
 .hqx        7-位编码的 Macintosh 文件
 .i          预处理过的 C 程序
 .icon       位图源文件
 .idx        超文本或数据库系统用的参考书目或数据索引
 .image      位图源文件
 .in         配置模板，常用于 GNU Autoconf
 .info       Emacs info 浏览器文件
 .info-[0-9]+   info 文件
 .ins        LaTeX 打包的用于 docstrip 的安装文件
 .java       Java 源代码
 .jpeg       Joint Photographic Experts Group format
 .jpg        JPEG 图像文件 (有些系统扩展名只能三个字符)
 .kmap       `lyx(1)` 键盘布局
 .l          等价于 .lex 或 .lisp
 .lex        `lex(1)` 或 `flex(1)` 文件
 .lha        lharc 档案文件
 .lib        Common-Lisp 库文件
 .lisp       Lisp 源代码
 .ln         用于 `lint(1)` 的文件
 .log        日志文件，多见于 TeX
 .lsm        Linux Software Map entry (软件列表?)
 .lsp        Common-Lisp 源代码
 .lzh        lharc 档案文件
