title:Reviewers
author:
Reviewers
Cristina Abad, Escuela Superior Politecnica del Litoral, Ecuador
Hafiz Abdur Rahman, University of British Columbia, Canada
Marshall Abrams, The MITRE Corporation, USA
Raman Adaikkalavan, The University of Texas at Arlington, USA
Jalal Al-Muhtadi, University of Illinois at Urbana-Champaign, USA
Jim Alves-Foss, University of Idaho, USA
Paul Ammann, George Mason University, USA
Tuomas Aura, Microsoft Research, Cambridge, UK
Gregory Bard, American University, USA
Terry Benzel, University of Southern California, USA
Konstantin Beznosov, University of British Columbia, Canada
Rafae Bhatti, Purdue University, USA
Tim Bond, webMethods, Inc., USA
Daniela Brauckhoff, Swiss Federal Institute of Technology, Switzerland
Jay Brennan, The MITRE Corporation, USA
Glenn Brunette, Sun Microsystems, Inc., USA
Danilo Bruschi, Università degli Studi di Milano, Italy
Kevin Butler, Pennsylvania State University, USA
Germano Caronni, Sun Microsystems, Inc., USA
Brian Carrier, Purdue University, USA
Sharma Chakravarthy, The University of Texas at Arlington, USA
Sekar Chandersekaran, Institute for Defense Analyses, USA
Ramaswamy Chandramouli, National Institute of Standards and Technology, USA
Brian Chess, Fortify Software, USA
Malcolm Corney, Queensland University of Technology, Australia
Antonio Corradi, DEIS, University of Bologna, Italy
Mark Crosbie, Hewlett-Packard, Ireland
Frédéric Cuppens, ENST Bretagne, France
Marc Dacier, Eurecom, France
Ricardo Dahab, University of Campinas, Brazil
Ernesto Damiani, Università degli Studi di Milano, Italy
Wesam Darwish, University of British Columbia, Canada
Sabrina De Capitani di Vimercati, Università degli Studi di Milano, Italy
Mary Denz, Air Force Research Laboratory, USA
Augusto Devegili, State University of Campinas, Brazil
Stefan Dresler, Germany
Ghada El-Keissi, IBM, Egypt
Gary Ellison, Intertrust, USA
Will Enck, Pennsylvania State University, USA
Jeremy Epstein, webMethods, Inc., USA
Pete Epstein, SAIC, USA
Daniel Faigin, The Aerospace Corporation, USA
Eduardo Fernandez, Florida Atlantic University, USA
Ashish Gehani, Duke University, USA
Rajni Goel, Howard University, USA
Dieter Gollmann, TU Hamburg-Harburg, Germany
Vipul Goyal, Institute of Technology, Banaras Hindu University, India
Steven Greenwald, Independent Information Security Consultant, USA
Guofei Gu, Georgia Institute of Technology, USA
Ajay Gupta, State University of New York at Stony Brook, USA
Steven Harp, Adventium Labs, USA
Boniface Hicks, Pennsylvania State University, USA
Wesley Higaki, Symantec Corporation, USA
Fu-Hau Hsu, National Central University, Taiwan
Giovanni Iachello, Georgia Institute of Technology, USA
Trent Jaeger, IBM Research, USA
Paul Jardetzky, Independent Consultant, USA
Dale Johnson, The MITRE Corporation, USA
Paul Karger, IBM Research, USA
Thomas Keefe, Oracle Corporation, USA
James Kempf, DoCoMo Labs USA, USA
Sye Loong Keoh, Imperial College London, UK
Axel Kern, Beta Systems Software AG, Germany
Angelos Keromytis, Columbia University, USA
Calvin Ko, Sparta Inc., USA
Mathias Kohler, University of Offenburg, Germany
Hisashi Kojima, Fujitsu Laboratories Limited, Japan
Oleg Kolesnikov, Georgia Institute of Technology, USA
Ivan Krsul, Artexacta, Bolivia
Christopher Kruegel, Technical University Vienna, Austria
Sandeep Kumar, National University of Singapore, Singapore
Kai Kunze, University of Tirol, Austria
Julien Laganier, NTT DoCoMo Euro-Labs, Germany
Carl Landwehr, University of Maryland, USA
Peter Langendoerfer, IHP, Germany
Hanno Langweg, Gjøvik University College, Norway 
Maryline Laurent-Maknavicius, GET/INT, France
Michah Lerner, IPMetric, USA
Wing Leung, University of British Columbia, Canada
Albert Levi, Sabanci University, Turkey
David Levin, BBN Technologies, USA
Tim Levin, Naval Postgraduate School, USA
Jun Li, University of Oregon, USA
Peng Liu, Pennsylvania State University, USA
Alex Zhaoyu Liu, University of North Carolina at Charlotte, USA
Zhen Liu, Mississippi State University, USA
Tom Longstaff, Carnegie Mellon University, USA
Wesam Lootah, Pennsylvania State University, USA
Julio Lopez, State University of Campinas, Brazil
Chenghuai Lu, Georgia Institute of Technology, USA
Bryan Lyles, Telcordia Technologies, USA
Ling Ma, Illinois institute of technology, USA
Kart Markandan, University of British Columbia, Canada
Andrew Marshall, TD Bank Financial Group, Canada
Vashek Matyas, Masaryk University Brno, Czech Republic
Ioannis Mavridis, University of Macedonia, Greece
Patrick McDaniel, Pennsylvania State University, USA
John McDermott, Naval Research Laboratory, USA
Pascal Meunier, Purdue University, USA
George Mohay, Queensland University of Technology, Australia
Srinivas Mukkamala, Institute for Complex Additive Systems Analysis, New Mexico Tech, USA
Barry Mulcahy, University College Cork, Ireland
Darren Mutz, University of California Santa Barbara, USA
Prasad Naldurg, University of Illinois at Urbana-Champaign, USA
Mike Nash, Gamma Secure Systems Ltd, UK
Richard Neely, CTA, Incorporated, USA
Peng Ning, North Carolina State University, USA
Steven Noel, George Mason University, USA
Richard O'Brien, Adventium Labs, USA
Martin Olivier, University of Pretoria, South Africa
Paul van Oorschot, Carleton University, Canada
Alina Oprea, Carnegie Mellon University, USA
Jong Sou Park, Hankuk Aviation Univ., South Korea
Joon Park, Syracuse University, USA
Nathanael Paul, University of Virginia, USA
Olivier Paul, GET/INT, France
Vern Paxson, International Computer Science Institute, USA
Charles Payne, Adventium Labs, USA
Tadeusz Pietraszek, IBM Research, Switzerland
Bogdan Popescu, Vrije Universiteit, Amsterdam, Netherlands
George Porter, University of California Berkeley, USA
Suranjan Pramanik, State University of New York at Buffalo, USA
Marco Prandini, University of Bologna, Italy
Xinzhou Qin, Georgia Institute of Technology, USA
Lillian Røstad, Norwegian University of Science and Technology (NTNU), Norway
Marc Rennhard, University of Applied Sciences Winterthur, Switzerland
Mark Reynolds, BBN Technologies, USA
James Riordan, IBM Research, Switzerland
William Robertson, University of California Santa Barbara, USA
Emilia Rosti, Università degli Studi di Milano, Italy
Neil Rowe, U.S. Naval Postgraduate School, USA
Shai Rubin, University of Wisconsin Madison, USA
Giancarlo Ruffo, University of Turin, Italy
Reiner Sailer, IBM Research, USA
Pierangela Samarati, Università degli Studi di Milano, Italy
Vidyaraman Sankaranarayanan, University at Buffalo, USA
Andre dos Santos, Georgia Tech, USA
Hari Sastry, Oracle Corporation, USA
Sami Saydjari, Cyber Defense Agency, LLC, USA
Andreas Schaad, SAP Labs France, France
Edward Schneider, Institute for Defense Analyses, USA
Christoph Schuba, Sun Microsystems, Inc., USA
Gregg Schudel, Cisco Systems, Inc, USA
Cristina Serban, AT&T Labs, USA
Kulesh Shanmugasundaram, Polytechnic University, USA
Zili Shao, University of Texas at Dallas, USA
Qi Shi, Liverpool John Moores University, UK
Radu Sion, Stony Brook University, USA
Boris Skoric, Philips Electronics, Netherlands
Rick Smith, University of St. Thomas, USA
Sean Smith, Dartmouth College, USA
Jon Solworth, University of Illinois at Chicago, USA
Mudhakar Srivatsa, Georgia Institute of Technology, USA
Gregg Tally, SPARTA, Inc., USA
Gaurav Tandon, Florida Institute of Technology, USA
Axel Tanner, IBM Research, Switzerland
Zhouxuan Teng, Syracuse University, USA
Jay-Evan Tevis, Western Illinois University, USA
Paul Thompson, Dartmouth College, USA
Allen Ting, University of California Davis, USA
Elvis Tombini, France Telecom, France
Patrick Traynor, Pennsylvania State University, USA
Prem Uppuluri, University of Missouri Kansas City, USA
Fredrik Valeur, University of California Santa Barbara, USA
Chris Vanden Berghe, IBM Research, Switzerland
Mark Vandenwauver, IBM, USA
Michael VanHilst, Florida Atlantic University, USA
Hein Venter, University of Pretoria, South Africa
Giovanni Vigna, University of California Santa Barbara, USA
Holger Vogt, SRC Security Research & Consulting GmbH, Germany
Xunhua Wang, James Madison University, USA
Qiang Wei, University of British Columbia, Canada
Nathalie Weiler, Credit Suisse, Switzerland
Patrick Widener, Georgia Institute of Technology, USA
Matthew Williamson, Sana Security, USA
Simon Wiseman, QinetiQ, UK
Stephen Wolthusen, Fraunhofer-IGD, Germany
Dianxiang Xu, North Dakota State University, USA
Haizhi Xu, Syracuse University, USA
Akira Yamada, KDDI R&D Laboratories Inc., Japan
Roland Yap, National University of Singapore, Singapore
George Yee, National Research Council Canada, Canada
Ting Yu, North Carolina State University, USA
Meng Yu, Monmouth University, USA
Diego Zamboni, IBM Research, Switzerland
