 ATK_IP4_TEARDROP_SZ,SrcZoneName(1025)=[STRING]; SrcIPAddr(1003)=[IPADDR];   DSLiteTunnelPeer(1040)=[STRING]; DstIPAddr(1007)=[IPADDR]; RcvVPNInstance(1041)=[STRING];   Protocol(1001)=[STRING]; Action(1049)=[STRING]; BeginTime_c(1011)=[STRING]; EndTime_c(1012)=[STRING];   AtkTimes(1050)=[UINT32].,$1：入域名称   $2：源IP地址   $3：DS-Lite Tunnel对端地址   $4：目的IP地址   $5：VPN名称   $6：协议类型   $7：动作类型   $8：攻击开始时间   $9：攻击结束时间   $10：攻击次数,3,ATK/3/ATK_IP4_TEARDROP_SZ: SrcZoneName(1025)=Trust;   SrcIPAddr(1003)=9.1.1.1; DSLiteTunnelPeer(1040)=--; DstIPAddr(1007)=6.1.1.1; RcvVPNInstance(1041)=--;   Protocol(1001)=TCP; Action(1049)=logging; BeginTime_c(1011)=20131011074913; EndTime_c(1012)=20131011075413;   AtkTimes(1050)=3.,日志聚合开关开启，重叠偏移的报文数超过1，聚合后触发日志,无
 ATK_IP4_TINY_FRAGMENT,RcvIfName(1023)=[STRING]; SrcIPAddr(1003)=[IPADDR];   DSLiteTunnelPeer(1040)=[STRING]; DstIPAddr(1007)=[IPADDR]; RcvVPNInstance(1041)=[STRING];   Protocol(1001)=[STRING]; Action(1049)=[STRING]; BeginTime_c(1011)=[STRING]; EndTime_c(1012)=[STRING];   AtkTimes(1050)=[UINT32].,$1：入接口名称   $2：源IP地址   $3：DS-Lite Tunnel对端地址   $4：目的IP地址   $5：VPN名称   $6：协议类型   $7：动作类型   $8：攻击开始时间   $9：攻击结束时间   $10：攻击次数,3,ATK/3/ATK_IP4_TINY_FRAGMENT: RcvIfName(1023)=Ethernet0/0/2;   SrcIPAddr(1003)=9.1.1.1; DSLiteTunnelPeer(1040)=--; DstIPAddr(1007)=6.1.1.1; RcvVPNInstance(1041)=--;   Protocol(1001)=TCP; Action(1049)=logging; BeginTime_c(1011)=20131011074913; EndTime_c(1012)=20131011075413;   AtkTimes(1050)=6.,日志聚合开关开启，分片标志位IP_MF置位且IP数据包的长度小于68的报文数超过1，聚合后触发日志,无
 ATK_IP4_TINY_FRAGMENT_RAW,RcvIfName(1023)=[STRING]; SrcIPAddr(1003)=[IPADDR];   DSLiteTunnelPeer(1040)=[STRING]; DstIPAddr(1007)=[IPADDR]; RcvVPNInstance(1041)=[STRING];   Protocol(1001)=[STRING]; Action(1049)=[STRING].,$1：入接口名称   $2：源IP地址   $3：DS-Lite Tunnel对端地址   $4：目的IP地址   $5：VPN名称   $6：协议类型   $7：动作类型,3,ATK/3/ATK_IP4_TINY_FRAGMENT_RAW: RcvIfName(1023)=Ethernet0/0/2;   SrcIPAddr(1003)=9.1.1.1; DSLiteTunnelPeer(1040)=--; DstIPAddr(1007)=6.1.1.1;   RcvVPNInstance(1041)=--; Protocol(1001)=TCP; Action(1049)=logging.,日志聚合开关开启，分片标志位IP_MF置位且IP数据包的长度小于68的报文首包触发日志；日志聚合开关关闭，每个分片标志位IP_MF置位且IP数据包的长度小于68的报文触发一个日志,无
 ATK_IP4_TINY_FRAGMENT_RAW_SZ,SrcZoneName(1025)=[STRING]; SrcIPAddr(1003)=[IPADDR];   DSLiteTunnelPeer(1040)=[STRING]; DstIPAddr(1007)=[IPADDR]; RcvVPNInstance(1041)=[STRING];   Protocol(1001)=[STRING]; Action(1049)=[STRING].,$1：入域名称   $2：源IP地址   $3：DS-Lite Tunnel对端地址   $4：目的IP地址   $5：VPN名称   $6：协议类型   $7：动作类型,3,ATK/3/ATK_IP4_TINY_FRAGMENT_RAW_SZ: SrcZoneName(1025)=Trust;   SrcIPAddr(1003)=9.1.1.1; DSLiteTunnelPeer(1040)=--; DstIPAddr(1007)=6.1.1.1;   RcvVPNInstance(1041)=--; Protocol(1001)=TCP; Action(1049)=logging.,日志聚合开关开启，分片标志位IP_MF置位且IP数据包的长度小于68的报文首包触发日志；日志聚合开关关闭，每个分片标志位IP_MF置位且IP数据包的长度小于68的报文触发一个日志,无
 ATK_IP4_TINY_FRAGMENT_SZ,SrcZoneName(1025)=[STRING]; SrcIPAddr(1003)=[IPADDR];   DSLiteTunnelPeer(1040)=[STRING]; DstIPAddr(1007)=[IPADDR]; RcvVPNInstance(1041)=[STRING];   Protocol(1001)=[STRING]; Action(1049)=[STRING]; BeginTime_c(1011)=[STRING]; EndTime_c(1012)=[STRING];   AtkTimes(1050)=[UINT32].,$1：入域名称   $2：源IP地址   $3：DS-Lite Tunnel对端地址   $4：目的IP地址   $5：VPN名称   $6：协议类型   $7：动作类型   $8：攻击开始时间   $9：攻击结束时间   $10：攻击次数,3,ATK/3/ATK_IP4_TINY_FRAGMENT_SZ: SrcZoneName(1025)=Trust;   SrcIPAddr(1003)=9.1.1.1; DSLiteTunnelPeer(1040)=--; DstIPAddr(1007)=6.1.1.1; RcvVPNInstance(1041)=--;   Protocol(1001)=TCP; Action(1049)=logging; BeginTime_c(1011)=20131011074913; EndTime_c(1012)=20131011075413;   AtkTimes(1050)=6.,日志聚合开关开启，分片标志位IP_MF置位且IP数据包的长度小于68的报文数超过1，聚合后触发日志,无
 ATK_IP4_UDP_BOMB,RcvIfName(1023)=[STRING]; SrcIPAddr(1003)=[IPADDR];   DSLiteTunnelPeer(1040)=[STRING]; DstIPAddr(1007)=[IPADDR]; RcvVPNInstance(1041)=[STRING];   Action(1049)=[STRING]; BeginTime_c(1011)=[STRING]; EndTime_c(1012)=[STRING]; AtkTimes(1050)=[UINT32].,$1：入接口名称   $2：源IP地址   $3：DS-Lite Tunnel对端地址   $4：目的IP地址   $5：VPN名称   $6：动作类型   $7：攻击开始时间   $8：攻击结束时间   $9：攻击次数,3,ATK/3/ATK_IP4_UDP_BOMB: RcvIfName(1023)=Ethernet0/0/2;   SrcIPAddr(1003)=9.1.1.1; DSLiteTunnelPeer(1040)=--; DstIPAddr(1007)=6.1.1.1; RcvVPNInstance(1041)=--;   Action(1049)=logging; BeginTime_c(1011)=20131011074913; EndTime_c(1012)=20131011075413;   AtkTimes(1050)=2.,日志聚合开关开启，满足IP报文长度-IP首部数据报长度的UDP报文数超过1，聚合后触发日志,无
 ATK_IP4_UDP_BOMB_RAW,RcvIfName(1023)=[STRING]; SrcIPAddr(1003)=[IPADDR];   DSLiteTunnelPeer(1040)=[STRING]; DstIPAddr(1007)=[IPADDR]; RcvVPNInstance(1041)=[STRING];   Action(1049)=[STRING].,$1：入接口名称   $2：源IP地址   $3：DS-Lite Tunnel对端地址   $4：目的IP地址   $5：VPN名称   $6：动作类型,3,ATK/3/ATK_IP4_UDP_BOMB_RAW: RcvIfName(1023)=Ethernet0/0/2;   SrcIPAddr(1003)=9.1.1.1; DSLiteTunnelPeer(1040)=--; DstIPAddr(1007)=6.1.1.1;   RcvVPNInstance(1041)=--; Action(1049)=logging.,日志聚合开关开启，满足IP报文长度-IP首部数据报长度的UDP报文首包触发日志；日志聚合开关关闭，每个满足IP报文长度-IP首部数据报长度的UDP报文触发一个日志,无
 ATK_IP4_UDP_BOMB_RAW_SZ,SrcZoneName(1025)=[STRING]; SrcIPAddr(1003)=[IPADDR];   DSLiteTunnelPeer(1040)=[STRING]; DstIPAddr(1007)=[IPADDR]; RcvVPNInstance(1041)=[STRING];   Action(1049)=[STRING].,$1：入域名称   $2：源IP地址   $3：DS-Lite Tunnel对端地址   $4：目的IP地址   $5：VPN名称   $6：动作类型,3,ATK/3/ATK_IP4_UDP_BOMB_RAW_SZ: SrcZoneName(1025)=Trust;   SrcIPAddr(1003)=9.1.1.1; DSLiteTunnelPeer(1040)=--; DstIPAddr(1007)=6.1.1.1;   RcvVPNInstance(1041)=--; Action(1049)=logging.,日志聚合开关开启，满足IP报文长度-IP首部数据报长度的UDP报文首包触发日志；日志聚合开关关闭，每个满足IP报文长度-IP首部数据报长度的UDP报文触发一个日志,无
 ATK_IP4_UDP_BOMB_SZ,SrcZoneName(1025)=[STRING]; SrcIPAddr(1003)=[IPADDR];   DSLiteTunnelPeer(1040)=[STRING]; DstIPAddr(1007)=[IPADDR]; RcvVPNInstance(1041)=[STRING];   Action(1049)=[STRING]; BeginTime_c(1011)=[STRING]; EndTime_c(1012)=[STRING]; AtkTimes(1050)=[UINT32].,$1：入域名称   $2：源IP地址   $3：DS-Lite Tunnel对端地址   $4：目的IP地址   $5：VPN名称   $6：动作类型   $7：攻击开始时间   $8：攻击结束时间   $9：攻击次数,3,ATK/3/ATK_IP4_UDP_BOMB_SZ: SrcZoneName(1025)=Trust;   SrcIPAddr(1003)=9.1.1.1; DSLiteTunnelPeer(1040)=--; DstIPAddr(1007)=6.1.1.1; RcvVPNInstance(1041)=--;   Action(1049)=logging; BeginTime_c(1011)=20131011074913; EndTime_c(1012)=20131011075413;   AtkTimes(1050)=2.,日志聚合开关开启，满足IP报文长度-IP首部数据报长度的UDP报文数超过1，聚合后触发日志,无
 ATK_IP4_UDP_FLOOD,RcvIfName(1023)=[STRING]; DstIPAddr(1007)=[IPADDR];   DstPort(1008)=[UINT16]; RcvVPNInstance(1041)=[STRING]; UpperLimit(1048)=[UINT32];   Action(1049)=[STRING]; BeginTime_c(1011)=[STRING].,$1：入接口名称   $2：目的IP地址   $3：目的端口   $4：VPN名称   $5：速率上限   $6：动作类型   $7：攻击开始时间,3,ATK/3/ATK_IP4_UDP_FLOOD: RcvIfName(1023)=Ethernet0/0/2;   DstIPAddr(1007)=6.1.1.5; DstPort(1008)=22; RcvVPNInstance(1041)=--; UpperLimit(1048)=10;   Action(1049)=logging; BeginTime_c(1011)=20131009093351.,单位时间内指定IPV4目的地址的UDP报文数超过阈值，触发日志,无
 ATK_IP4_UDP_FLOOD_SZ,SrcZoneName(1025)=[STRING]; DstIPAddr(1007)=[IPADDR];   DstPort(1008)=[UINT16]; RcvVPNInstance(1041)=[STRING]; UpperLimit(1048)=[UINT32];   Action(1049)=[STRING]; BeginTime_c(1011)=[STRING].,$1：入域名称   $2：目的IP地址   $3：目的端口   $4：VPN名称   $5：速率上限   $6：动作类型   $7：攻击开始时间,3,ATK/3/ATK_IP4_UDP_FLOOD_SZ: SrcZoneName(1025)=Trust;   DstIPAddr(1007)=6.1.1.5; DstPort(1008)=22; RcvVPNInstance(1041)=--; UpperLimit(1048)=10;   Action(1049)=logging; BeginTime_c(1011)=20131009093351.,单位时间内指定IPV4目的地址的UDP报文数超过阈值，触发日志,无
