# G0084: Gallmaker

## Description
Gallmaker is a cyberespionage group that has been active since at least December 2017, primarily targeting victims in the Middle East. The group focuses on entities in the defense, military, and government sectors. (Citation: Symantec Gallmaker Oct 2018)

## Tactics, Techniques, and Procedures (TTPs)
| Platform | Tactic | Technique | Description | Data Sources |
| --- | --- | --- | --- | --- |
| Linux, Windows, macOS | Exfiltration | Data Compressed | Gallmaker has used WinZip to archive data prior to exfiltration. | Binary file metadata, File monitoring, Process command-line parameters, Process monitoring |
| Windows, macOS, Linux | Initial Access | Spearphishing Attachment | Gallmaker sent emails with malicious Microsoft Office documents attached. | File monitoring, Packet capture, Network intrusion detection system, Detonation chamber, Email gateway, Mail server |
| Linux, Windows, macOS | Execution | User Execution | Gallmaker sent lure documents with warnings asking victims to "enable content" for execution. | Anti-virus, Process command-line parameters, Process monitoring |
| Linux, macOS, Windows | Defense Evasion, Execution | Scripting | Gallmaker used PowerShell scripts for execution. | Process monitoring, File monitoring, Process command-line parameters |
| Windows | Execution | PowerShell | Gallmaker used PowerShell to download additional payloads. | PowerShell logs, Loaded DLLs, DLL monitoring, Windows Registry, File monitoring, Process monitoring, Process command-line parameters |
| Windows | Execution | Dynamic Data Exchange | Gallmaker attempted to exploit Microsoft’s DDE protocol to gain access to victim machines and for execution. | API monitoring, DLL monitoring, Process monitoring, Windows Registry, Windows event logs |
| Linux, macOS, Windows | Defense Evasion | Obfuscated Files or Information | Gallmaker obfuscated shellcode used during execution. | Network protocol analysis, Process use of network, File monitoring, Malware reverse engineering, Binary file metadata, Process command-line parameters, Environment variable, Process monitoring, Windows event logs, Network intrusion detection system, Email gateway, SSL/TLS inspection |

This table provides a comprehensive overview of the tactics, techniques, and procedures (TTPs) employed by Gallmaker, along with the relevant data sources for detection and analysis.
