User: The following is 20 lines of a system log. Each line consists of a timestamp, log level, process id, relevant software component, and the log content. Think step-by-step and step and summarize this log chunk: 
2015-07-29 19:14:06, WARN, None, 59060:LearnerHandler, ******* GOODBYE /10.10.34.12:59060 ********
2015-07-29 19:14:46, WARN, None, 59103:LearnerHandler, ******* GOODBYE /10.10.34.12:59103 ********
2015-07-29 19:14:56, WARN, None, 57247:LearnerHandler, ******* GOODBYE /10.10.34.13:57247 ********
2015-07-29 19:15:16, ERROR, None, 52419:LearnerHandler, Unexpected exception causing shutdown while sock still open
2015-07-29 19:15:56, WARN, None, 57319:LearnerHandler, ******* GOODBYE /10.10.34.13:57319 ********
2015-07-29 19:16:06, WARN, None, 52476:LearnerHandler, ******* GOODBYE /10.10.34.11:52476 ********
2015-07-29 19:16:06, WARN, None, 59203:LearnerHandler, ******* GOODBYE /10.10.34.12:59203 ********
2015-07-29 19:16:16, WARN, None, 59211:LearnerHandler, ******* GOODBYE /10.10.34.12:59211 ********
2015-07-29 19:16:26, WARN, None, 52502:LearnerHandler, ******* GOODBYE /10.10.34.11:52502 ********
2015-07-29 19:16:26, ERROR, None, 57354:LearnerHandler, Unexpected exception causing shutdown while sock still open
2015-07-29 19:17:36, ERROR, None, 57438:LearnerHandler, Unexpected exception causing shutdown while sock still open
2015-07-29 19:17:56, WARN, None, 57458:LearnerHandler, ******* GOODBYE /10.10.34.13:57458 ********
2015-07-29 19:18:26, WARN, None, 57502:LearnerHandler, ******* GOODBYE /10.10.34.13:57502 ********
2015-07-29 19:18:56, WARN, None, 52703:LearnerHandler, ******* GOODBYE /10.10.34.11:52703 ********
2015-07-29 19:18:56, WARN, None, 59406:LearnerHandler, ******* GOODBYE /10.10.34.12:59406 ********
2015-07-29 19:20:16, ERROR, None, 59455:LearnerHandler, Unexpected exception causing shutdown while sock still open
2015-07-29 19:20:16, WARN, None, 57580:LearnerHandler, ******* GOODBYE /10.10.34.13:57580 ********
2015-07-29 19:20:36, ERROR, None, 59480:LearnerHandler, Unexpected exception causing shutdown while sock still open
2015-07-29 19:20:46, ERROR, None, 57617:LearnerHandler, Unexpected exception causing shutdown while sock still open
2015-07-29 19:20:56, ERROR, None, 52814:LearnerHandler, Unexpected exception causing shutdown while sock still open
Assistant: This log chunk shows multiple instances of LearnerHandlers from different IP addresses (10.10.34.11, 10.10.34.12, 10.10.34.13) being shut down due to unexpected exceptions. There are also several instances of "GOODBYE" messages being logged.
