Not sure what's up here:
    error: internal compiler error: static call to invalid vtable: VtableObject(VtableObject(object_ty=error::Error + 'static))
    note: the compiler unexpectedly panicked. this is a bug.
    note: we would appreciate a bug report: http://doc.rust-lang.org/complement-bugreport.html
    note: run with `RUST_BACKTRACE=1` for a backtrace
    thread 'rustc' panicked at 'Box', /home/rustbuild/src/rust-buildbot/slave/nightly-dist-rustc-linux/build/src/libsyntax/diagnostic.rs:182
    stack backtrace:
       1:     0x7f5538025ed0 - sys::backtrace::write::hf251c2373d8c39658Rt
       2:     0x7f55380478b0 - failure::on_fail::h2ff2bf5f19ce9580S5z
       3:     0x7f5537fb67b0 - rt::unwind::begin_unwind_inner::h639cf27e708a803eKKz
       4:     0x7f5532da51e0 - rt::unwind::begin_unwind::h13718395300347571823
       5:     0x7f5532da5a80 - diagnostic::Handler::bug::h605aae0a1c8b932cA1F
       6:     0x7f55362f83c0 - session::Session::bug::h4be63562d7120fbbB6q
       7:     0x7f5537016770 - trans::meth::trans_static_method_callee::hbb6577e2dd06bcddldz
       8:     0x7f5537013560 - trans::callee::trans::h540a689ed7456efdAag
       9:     0x7f553701d1e0 - trans::callee::trans_call_inner::h10047627878835684653
      10:     0x7f55370221d0 - trans::expr::trans_rvalue_dps_unadjusted::hfcba8e4f830451013Si
      11:     0x7f5536fd9f40 - trans::expr::trans_into::heeb89ad379a90d59Myh
      12:     0x7f5536fda540 - trans::controlflow::trans_block::h8b9dd08cca7ae2b7C3d
      13:     0x7f55370a4530 - trans::base::trans_closure::ha8f0acc2eac303fay0t
      14:     0x7f5536fc5b30 - trans::base::trans_fn::h78aae1b635a8d84cdbu
      15:     0x7f5536fc60d0 - trans::monomorphize::monomorphic_fn::h54cdbc6aa90ad799Fpd
      16:     0x7f5537017ca0 - trans::callee::trans_fn_ref_with_substs::h94b37b44eeb69e4bIxg
      17:     0x7f5537016770 - trans::meth::trans_static_method_callee::hbb6577e2dd06bcddldz
      18:     0x7f55370428e0 - trans::expr::trans_def_fn_unadjusted::h8078a7095bde75f7qfj
      19:     0x7f553703a0c0 - trans::expr::trans_def::hde738785651c8ed4yIi
      20:     0x7f5537021560 - trans::expr::trans_unadjusted::ha8ff77947160b4b3Qji
      21:     0x7f5536fdb130 - trans::expr::trans::hd6f8e0f4d7584dd0gCh
      22:     0x7f5536febbe0 - trans::callee::trans_args::h6d47968cc0a5de94zch
      23:     0x7f553701d1e0 - trans::callee::trans_call_inner::h10047627878835684653
      24:     0x7f55370221d0 - trans::expr::trans_rvalue_dps_unadjusted::hfcba8e4f830451013Si
      25:     0x7f5536fd9f40 - trans::expr::trans_into::heeb89ad379a90d59Myh
      26:     0x7f55370df7e0 - trans::tvec::write_content::h8f5f7dafb5ea8658XHy
      27:     0x7f55370221d0 - trans::expr::trans_rvalue_dps_unadjusted::hfcba8e4f830451013Si
      28:     0x7f5536fd9f40 - trans::expr::trans_into::heeb89ad379a90d59Myh
      29:     0x7f55370c1b50 - trans::_match::trans_match_inner::h314f750cba3e3179rkx
      30:     0x7f55370221d0 - trans::expr::trans_rvalue_dps_unadjusted::hfcba8e4f830451013Si
      31:     0x7f5537021560 - trans::expr::trans_unadjusted::ha8ff77947160b4b3Qji
      32:     0x7f5536fdb130 - trans::expr::trans::hd6f8e0f4d7584dd0gCh
      33:     0x7f553703d3b0 - trans::expr::trans_addr_of::h882b3763331e06f5HKj
      34:     0x7f5537021560 - trans::expr::trans_unadjusted::ha8ff77947160b4b3Qji
      35:     0x7f5536fdb130 - trans::expr::trans::hd6f8e0f4d7584dd0gCh
      36:     0x7f5536febbe0 - trans::callee::trans_args::h6d47968cc0a5de94zch
      37:     0x7f553701d1e0 - trans::callee::trans_call_inner::h10047627878835684653
      38:     0x7f55370221d0 - trans::expr::trans_rvalue_dps_unadjusted::hfcba8e4f830451013Si
      39:     0x7f5537021560 - trans::expr::trans_unadjusted::ha8ff77947160b4b3Qji
      40:     0x7f5536fdb130 - trans::expr::trans::hd6f8e0f4d7584dd0gCh
      41:     0x7f5536febbe0 - trans::callee::trans_args::h6d47968cc0a5de94zch
      42:     0x7f553701e7a0 - trans::callee::trans_call_inner::h8327427649995086115
      43:     0x7f55370221d0 - trans::expr::trans_rvalue_dps_unadjusted::hfcba8e4f830451013Si
      44:     0x7f5536fd9f40 - trans::expr::trans_into::heeb89ad379a90d59Myh
      45:     0x7f5536fda540 - trans::controlflow::trans_block::h8b9dd08cca7ae2b7C3d
      46:     0x7f55370a4530 - trans::base::trans_closure::ha8f0acc2eac303fay0t
      47:     0x7f5536fc5b30 - trans::base::trans_fn::h78aae1b635a8d84cdbu
      48:     0x7f5536fc60d0 - trans::monomorphize::monomorphic_fn::h54cdbc6aa90ad799Fpd
      49:     0x7f5537017ca0 - trans::callee::trans_fn_ref_with_substs::h94b37b44eeb69e4bIxg
      50:     0x7f5537016770 - trans::meth::trans_static_method_callee::hbb6577e2dd06bcddldz
      51:     0x7f55370428e0 - trans::expr::trans_def_fn_unadjusted::h8078a7095bde75f7qfj
      52:     0x7f553703a0c0 - trans::expr::trans_def::hde738785651c8ed4yIi
      53:     0x7f5537021560 - trans::expr::trans_unadjusted::ha8ff77947160b4b3Qji
      54:     0x7f5536fdb130 - trans::expr::trans::hd6f8e0f4d7584dd0gCh
      55:     0x7f5536febbe0 - trans::callee::trans_args::h6d47968cc0a5de94zch
      56:     0x7f553701d1e0 - trans::callee::trans_call_inner::h10047627878835684653
      57:     0x7f55370221d0 - trans::expr::trans_rvalue_dps_unadjusted::hfcba8e4f830451013Si
      58:     0x7f5536fd9f40 - trans::expr::trans_into::heeb89ad379a90d59Myh
      59:     0x7f55370df7e0 - trans::tvec::write_content::h8f5f7dafb5ea8658XHy
      60:     0x7f55370221d0 - trans::expr::trans_rvalue_dps_unadjusted::hfcba8e4f830451013Si
      61:     0x7f5536fd9f40 - trans::expr::trans_into::heeb89ad379a90d59Myh
      62:     0x7f55370c1b50 - trans::_match::trans_match_inner::h314f750cba3e3179rkx
      63:     0x7f55370221d0 - trans::expr::trans_rvalue_dps_unadjusted::hfcba8e4f830451013Si
      64:     0x7f5537021560 - trans::expr::trans_unadjusted::ha8ff77947160b4b3Qji
      65:     0x7f5536fdb130 - trans::expr::trans::hd6f8e0f4d7584dd0gCh
      66:     0x7f553703d3b0 - trans::expr::trans_addr_of::h882b3763331e06f5HKj
