## 行业规模 市场空间 判断   
### 作者  
digoal  
### 日期  
2021-03-03   
### 标签  
PostgreSQL , 行业 , 市场空间   
----  
## 背景  
按行业挑选出所有上市公司, 根据公司整体市值情况, 判断对应行业的市场空间    
https://stock.zlck.com/hangye/I.html  
例如: 信息传输、软件和信息技术服务业行业  
- 1.电信、广播电视和卫星传输服务(32)  
- 2.互联网和相关服务(346)  
- 3.软件和信息技术服务业(1137)指对信息传输、信息制作、信息提供和信息接收过程中产生的技术问题或技术需求所提供的服务  
[《小白读财经: 如何判断一只股票是否有潜力?  净资产, 净资产收益率, 净利润率, 资产周转率, 杠杆率》](../202012/20201227_01.md)    
还可以判断这个行业有多少家公司, 是寡头竞争还是诸侯混战.    
软件和信息技术服务业下级行业分类  
- 1.软件开发(517)指为用户提供计算机软件、信息系统或者设备中嵌入的软件，或者在系统集成、应用服务等技术服务时提供软件的开发和经营活动；包括基础软件、支撑软件、应用软件、嵌入式软件、信息安全软件、计算机（应用）系统、工业软件以及其他软件的开发和经营活动  
- 2.信息系统集成服务(414)指基于需方业务需求进行的信息系统需求分析和系统设计，并通过结构化的综合布缆系统、计算机网络技术和软件技术，将各个分离的设备、功能和信息等集成到相互关联的、统一和协调的系统之中，以及为信息系统的正常运行提供支持的服务；包括信息系统设计、集成实施、运行维护等服务  
- 3.信息技术咨询服务(56)指在信息资源开发利用、工程建设、人员培训、管理体系建设、技术支撑等方面向需方提供的管理或技术咨询评估服务；包括信息化规划、信息技术管理咨询、信息系统工程监理、测试评估、信息技术培训等  
- 4.数据处理和存储服务(56)指供方向需方提供的信息和数据的分析、整理、计算、编辑、存储等加工处理服务，以及应用软件、业务运营平台、信息系统基础设施等的租用服务；包括各种数据库活动、网站内容更新、数据备份服务、数据存储服务、在线企业资源规划（ERP）、在线杀毒、电子商务平台、物流信息服务平台、服务器托管、虚拟主机等。包括云服务相关行业。  
- 5.集成电路设计(24)指IC设计服务，即企业开展的集成电路功能研发、设计等服务  
- 6.其他信息技术服务业(70)  
软件和信息技术服务业行业上市公司市值排行榜  
```  
排名	代码	股票名	公司名	董事长	总经理	董秘	主营业务	城市	市值  
1	小002230	科大讯飞	科大讯飞股份	刘庆		江涛	语音支撑软件、行业	安徽	988.69亿  
2	沪600406	国电南瑞	国电南瑞科技	奚国	郑宗	方飞	电网自动化、发电及	江苏	506.20亿  
3	小002405	四维图新	北京四维图新	吴劲	程鹏	雷文	导航电子地图的开发	北京	408.12亿  
4	沪600570	恒生电子	恒生电子股份	彭政	刘曙	童晨	为金融机构提供IT软	浙江	323.40亿  
5	沪600588	用友网络	用友网络科技	王文		欧阳	软件及服务业务、企	北京	317.98亿  
6	小002153	石基信息	北京中长石基	李仲		罗芳	从事酒店管理系统集	北京	296.63亿  
7	创300033	同花顺	浙江核新同花	易峥	易峥	朱志	金融资讯及数据服务	浙江	283.42亿  
8	小002410	广联达	广联达科技股	刁志		李树	提供工具类软件产品	北京	232.30亿  
9	创300017	网宿科技	网宿科技股份	刘成		周丽	向客户提供全球范围	上海	224.72亿  
10	创300182	捷成股份	北京捷成世纪	徐子	韩胜	游尤	为视音频领域客户提	北京	219.22亿  
11	小002195	二三四五	上海二三四五	陈于	陈于	邱俊	（1）互联网信息服务	上海	203.34亿  
12	小002280	联络互动	杭州联络互动	何志	何志	俞竣	移动终端操作系统、	浙江	198.98亿  
13	沪600718	东软集团	东软集团股份	刘积		王楠	以软件技术为核心，	辽宁	195.40亿  
14	创300383	光环新网	北京光环新网	耿殿	杨宇	高宏	互联网数据中心服务(	北京	190.73亿  
15	深000997	新大陆	福建新大陆电	胡钢	刘清	王栋	计算机应用产品的研	福建	182.72亿  
16	创300324	旋极信息	北京旋极信息	陈江	刘明	黄海	嵌入式产品的开发、	北京	173.73亿  
17	创300496	中科创达	中科创达软件	赵鸿	耿增	武楠	移动智能终端操作系	北京	166.84亿  
18	沪600728	佳都科技	佳都新太科技	刘伟		刘佳	智能安防、智能化轨	广东	162.78亿  
19	深000555	神州信息	神州数码信息	郭为		王燕	技术服务、农业信息	北京	161.11亿  
20	小002373	千方科技	北京千方科技	夏曙	夏曙	周洲	“智能交通+互联网”	北京	153.57亿  
