# G0091: Silence
## Description
[Silence](https://attack.mitre.org/groups/G0091) is a financially motivated threat actor that targets financial institutions in various countries. The group first emerged in June 2016, with primary targets located in Russia, Ukraine, Belarus, Azerbaijan, Poland, and Kazakhstan. Silence has compromised a range of banking systems, including the Russian Central Bank's Automated Workstation Client, ATMs, and card processing systems. (Citation: Cyber Forensicator Silence Jan 2019)(Citation: SecureList Silence Nov 2017)

## Tactics, Techniques, and Procedures (TTPs)
| Platform | Tactic | Technique | Description | Data Sources |
| --- | --- | --- | --- | --- |
| Windows, macOS, Linux | [Initial Access](https://attack.mitre.org/tactics/initial-access/) | [Spearphishing Attachment](https://attack.mitre.org/techniques/T1193/) | [Silence](https://attack.mitre.org/groups/G0091) sends emails with malicious DOCX, CHM, and ZIP attachments. | File monitoring, Packet capture, Network intrusion detection system, Detonation chamber, Email gateway, Mail server |
| Windows | [Execution](https://attack.mitre.org/tactics/execution/), [Persistence](https://attack.mitre.org/tactics/persistence/), [Privilege Escalation](https://attack.mitre.org/tactics/privilege-escalation/) | [Scheduled Task](https://attack.mitre.org/techniques/T1053/) | [Silence](https://attack.mitre.org/groups/G0091) uses scheduled tasks to stage its operations. | File monitoring, Process monitoring, Process command-line parameters, Windows event logs |
| Linux, macOS, Windows | [Defense Evasion](https://attack.mitre.org/tactics/defense-evasion/), [Execution](https://attack.mitre.org/tactics/execution/) | [Scripting](https://attack.mitre.org/techniques/T1064/) | [Silence](https://attack.mitre.org/groups/G0091) employs JS, VBS, and PowerShell scripts. | Process monitoring, File monitoring, Process command-line parameters |
| Windows | [Execution](https://attack.mitre.org/tactics/execution/) | [Service Execution](https://attack.mitre.org/techniques/T1035/) | [Silence](https://attack.mitre.org/groups/G0091) uses Winexe to install a service on remote systems. | Windows Registry, Process monitoring, Process command-line parameters |
| Linux, macOS, Windows | [Execution](https://attack.mitre.org/tactics/execution/) | [Command-Line Interface](https://attack.mitre.org/techniques/T1059/) | [Silence](https://attack.mitre.org/groups/G0091) utilizes the Windows command-line to execute commands. | Process monitoring, Process command-line parameters |
| Linux, Windows, macOS | [Execution](https://attack.mitre.org/tactics/execution/) | [User Execution](https://attack.mitre.org/techniques/T1204/) | [Silence](https://attack.mitre.org/groups/G0091) attempts to get users to launch malicious attachments delivered via spearphishing emails. | Anti-virus, Process command-line parameters, Process monitoring |
| Windows | [Defense Evasion](https://attack.mitre.org/tactics/defense-evasion/), [Execution](https://attack.mitre.org/tactics/execution/) | [Compiled HTML File](https://attack.mitre.org/techniques/T1223/) | [Silence](https://attack.mitre.org/groups/G0091) weaponizes CHM files in their phishing campaigns. | File monitoring, Process monitoring, Process command-line parameters |
| Windows | [Execution](https://attack.mitre.org/tactics/execution/) | [Execution through API](https://attack.mitre.org/techniques/T1106/) | [Silence](https://attack.mitre.org/groups/G0091) leverages the Windows API to perform various tasks. | API monitoring, Process monitoring |
| Linux, macOS, Windows | [Defense Evasion](https://attack.mitre.org/tactics/defense-evasion/) | [Obfuscated Files or Information](https://attack.mitre.org/techniques/T1027/) | [Silence](https://attack.mitre.org/groups/G0091) uses environment variable string substitution for obfuscation. | Network protocol analysis, Process use of network, File monitoring, Malware reverse engineering, Binary file metadata, Process command-line parameters, Environment variable, Process monitoring, Windows event logs, Network intrusion detection system, Email gateway, SSL/TLS inspection |
| Linux, macOS, Windows | [Defense Evasion](https://attack.mitre.org/tactics/defense-evasion/) | [File Deletion](https://attack.mitre.org/techniques/T1107/) | [Silence](https://attack.mitre.org/groups/G0091) deletes scheduled task files after execution. | File monitoring, Process command-line parameters, Binary file metadata |
| Linux, macOS, Windows | [Collection](https://attack.mitre.org/tactics/collection/) | [Screen Capture](https://attack.mitre.org/techniques/T1113/) | [Silence](https://attack.mitre.org/groups/G0091) captures victim screen activity. | API monitoring, Process monitoring, File monitoring |
| Windows, macOS | [Collection](https://attack.mitre.org/tactics/collection/) | [Video Capture](https://attack.mitre.org/techniques/T1125/) | [Silence](https://attack.mitre.org/groups/G0091) has been observed making videos of victims to observe bank employees' daily activities. | Process monitoring, File monitoring, API monitoring |

This revised version aims to improve clarity, coherence, and professionalism by standardizing the language and formatting, and ensuring consistent use of terminology.
