以下是优化后的文本，使其更加清晰、连贯和专业：

---

### 安全日志记录

**日期**: 2023年12月10日  
**时间范围**: 09:11:44 - 09:12:16  
**主机**: LabSZ  
**IP地址**: 103.99.0.122, 185.190.58.151  
**事件类型**: 认证失败与断开连接

#### 详细日志

1. **时间**: 09:11:44  
   **事件**: 收到从103.99.0.122的断开连接请求。错误代码：14。原因：没有更多的用户认证方法可用 [preauth]。
   
2. **时间**: 09:11:45  
   **事件**: 用户ubnt无效（来自103.99.0.122）。

3. **时间**: 09:11:45  
   **事件**: 输入用户认证请求：无效用户ubnt [preauth]。

4. **时间**: 09:11:45  
   **事件**: pam_unix(sshd:auth): 检查密码；未知用户。

5. **时间**: 09:11:45  
   **事件**: pam_unix(sshd:auth): 认证失败；logname= uid=0 euid=0 tty=ssh ruser= rhost=103.99.0.122。

6. **时间**: 09:11:47  
   **事件**: 无效用户ubnt的密码验证失败（来自103.99.0.122端口60608 ssh2）。

7. **时间**: 09:11:47  
   **事件**: 收到从103.99.0.122的断开连接请求。错误代码：14。原因：没有更多的用户认证方法可用 [preauth]。

8. **时间**: 09:11:48  
   **事件**: pam_unix(sshd:auth): 认证失败；logname= uid=0 euid=0 tty=ssh ruser= rhost=103.99.0.122 user=uucp。

9. **时间**: 09:11:50  
   **事件**: uucp用户的密码验证失败（来自103.99.0.122端口64009 ssh2）。

10. **时间**: 09:11:50  
    **事件**: 收到从103.99.0.122的断开连接请求。错误代码：14。原因：没有更多的用户认证方法可用 [preauth]。

11. **时间**: 09:11:51  
    **事件**: pam_unix(sshd:auth): 认证失败；logname= uid=0 euid=0 tty=ssh ruser= rhost=103.99.0.122 user=sshd。

12. **时间**: 09:11:52  
    **事件**: sshd用户的密码验证失败（来自103.99.0.122端口51359 ssh2）。

13. **时间**: 09:11:52  
    **事件**: 收到从103.99.0.122的断开连接请求。错误代码：14。原因：没有更多的用户认证方法可用 [preauth]。

14. **时间**: 09:11:53  
    **事件**: 用户admin无效（来自103.99.0.122）。

15. **时间**: 09:11:53  
    **事件**: 输入用户认证请求：无效用户admin [preauth]。

16. **时间**: 09:11:53  
    **事件**: pam_unix(sshd:auth): 检查密码；未知用户。

17. **时间**: 09:11:53  
    **事件**: pam_unix(sshd:auth): 认证失败；logname= uid=0 euid=0 tty=ssh ruser= rhost=103.99.0.122。

18. **时间**: 09:11:55  
    **事件**: 无效用户admin的密码验证失败（来自103.99.0.122端口54739 ssh2）。

19. **时间**: 09:11:56  
    **事件**: 收到从103.99.0.122的断开连接请求。错误代码：14。原因：没有更多的用户认证方法可用 [preauth]。

20. **时间**: 09:11:56  
    **事件**: 用户cisco无效（来自103.99.0.122）。

21. **时间**: 09:11:56  
    **事件**: 输入用户认证请求：无效用户cisco [preauth]。

22. **时间**: 09:11:56  
    **事件**: pam_unix(sshd:auth): 检查密码；未知用户。

23. **时间**: 09:11:56  
    **事件**: pam_unix(sshd:auth): 认证失败；logname= uid=0 euid=0 tty=ssh ruser= rhost=103.99.0.122。

24. **时间**: 09:11:57  
    **事件**: 无效用户cisco的密码验证失败（来自103.99.0.122端口58309 ssh2）。

25. **时间**: 09:11:58  
    **事件**: 收到从103.99.0.122的断开连接请求。错误代码：14。原因：没有更多的用户认证方法可用 [preauth]。

26. **时间**: 09:11:58  
    **事件**: 用户test无效（来自103.99.0.122）。

27. **时间**: 09:11:58  
    **事件**: 输入用户认证请求：无效用户test [preauth]。

28. **时间**: 09:11:58  
    **事件**: pam_unix(sshd:auth): 检查密码；未知用户。

29. **时间**: 09:11:58  
    **事件**: pam_unix(sshd:auth): 认证失败；logname= uid=0 euid=0 tty=ssh ruser= rhost=103.99.0.122。

30. **时间**: 09:12:00  
    **事件**: 无效用户test的密码验证失败（来自103.99.0.122端口60250 ssh2）。

31. **时间**: 09:12:00  
    **事件**: 收到从103.99.0.122的断开连接请求。错误代码：14。原因：没有更多的用户认证方法可用 [preauth]。

32. **时间**: 09:12:01  
    **事件**: 用户guest无效（来自103.99.0.122）。

33. **时间**: 09:12:01  
    **事件**: 输入用户认证请求：无效用户guest [preauth]。

34. **时间**: 09:12:01  
    **事件**: pam_unix(sshd:auth): 检查密码；未知用户。

35. **时间**: 09:12:01  
    **事件**: pam_unix(sshd:auth): 认证失败；logname= uid=0 euid=0 tty=ssh ruser= rhost=103.99.0.122。

36. **时间**: 09:12:03  
    **事件**: 无效用户guest的密码验证失败（来自103.99.0.122端口63270 ssh2）。

37. **时间**: 09:12:03  
    **事件**: 收到从103.99.0.122的断开连接请求。错误代码：14。原因：没有更多的用户认证方法可用 [preauth]。

38. **时间**: 09:12:04  
    **事件**: 用户user无效（来自103.99.0.122）。

39. **时间**: 09:12:04  
    **事件**: 输入用户认证请求：无效用户user [preauth]。

40. **时间**: 09:12:04  
    **事件**: pam_unix(sshd:auth): 检查密码；未知用户。

41. **时间**: 09:12:04  
    **事件**: pam_unix(sshd:auth): 认证失败；logname= uid=0 euid=0 tty=ssh ruser= rhost=103.99.0.122。

42. **时间**: 09:12:06  
    **事件**: 无效用户user的密码验证失败（来自103.99.0.122端口49813 ssh2）。

43. **时间**: 09:12:06  
    **事件**: 收到从103.99.0.122的断开连接请求。错误代码：14。原因：没有更多的用户认证方法可用 [preauth]。

44. **时间**: 09:12:06  
    **事件**: 用户operator无效（来自103.99.0.122）。

45. **时间**: 09:12:06  
    **事件**: 输入用户认证请求：无效用户operator [preauth]。

46. **时间**: 09:12:06  
    **事件**: pam_unix(sshd:auth): 检查密码；未知用户。

47. **时间**: 09:12:06  
    **事件**: pam_unix(sshd:auth): 认证失败；logname= uid=0 euid=0 tty=ssh ruser= rhost=103.99.0.122。

48. **时间**: 09:12:08  
    **事件**: 用户admin无效（来自185.190.58.151）。

49. **时间**: 09:12:08  
    **事件**: 输入用户认证请求：无效用户admin [preauth]。

50. **时间**: 09:12:08  
    **事件**: pam_unix(sshd:auth): 检查密码；未知用户。

51. **时间**: 09:12:08  
    **事件**: pam_unix(sshd:auth): 认证失败；logname= uid=0 euid=0 tty=ssh ruser= rhost=185.190.58.151。

52. **时间**: 09:12:08  
    **事件**: 无效用户operator的密码验证失败（来自103.99.0.122端口53492 ssh2）。

53. **时间**: 09:12:09  
    **事件**: 收到从103.99.0.122的断开连接请求。错误代码：14。原因：没有更多的用户认证方法可用 [preauth]。

54. **时间**: 09:12:10  
    **事件**: 无效用户admin的密码验证失败（来自185.190.58.151端口49948 ssh2）。

55. **时间**: 09:12:10  
    **事件**: 用户admin无效（来自103.99.0.122）。

