### 表XV. 模式类别在图案锁键盘上的推理准确性

| 模式类别 | top-1 | top-5 | top-10 | top-20 | top-50 |
| --- | --- | --- | --- | --- | --- |
| 简单 | 82.5% | 100% | 96.7% | 92.5% | 100% |
| 中等 | 96.67% | 100% | 90.8% | 75% | 100% |
| 复杂 | 91.3% | 100% | 94.3% | 83% | 100% |
| 平均 | 92.8% | 98.2% | 90.3% | 95.5% | 98% |

### 表XVI. PIN键盘上的推理准确性

| 数字数量 | 4位 | 6位 |
| --- | --- | --- |
| top-1 | 37.5% | 38.8% |
| top-5 | 67.2% | 68.9% |
| top-10 | 78.0% | 81.3% |
| top-20 | 81.2% | 84.6% |
| top-50 | 92.0% | 91.0% |

### 3) 在PIN键盘上进行的实验
在这组实验中，每位参与者在iPhone 6s上随机输入了10个4位PIN码和10个6位PIN码。这些PIN码是在为每位参与者准备任务时随机生成的。如表XVI所示，EyeTell可以在以下准确率下推断出4位PIN码：top-1为37.5%，top-5为67.2%，top-10为78.0%，top-50为92.0%。此外，对于6位PIN码，平均准确率分别为top-1为38.8%，top-5为68.9%，top-10为81.3%，top-50为91.0%。

### C. 句子推理的额外结果
以下是更多关于句子推理的实验结果。如第六节所述，我们邀请了四位参与者参与句子推理实验。表XVII、表XVIII和表XIX展示了其他三位参与者的结果。可以看出，四位参与者的结果是可比的。

#### 表XVII. 参与者A的句子推理结果
| 输入 | 输出 | 候选数 |
| --- | --- | --- |
| our | our | 27 |
| conference | conference | 1 |
| year | year | 21 |
| volatility | N/A | N/A |
| friends | N/A | N/A |
| on | on | 5 |
| we | we | 3 |
| of | of | 23 |
| at | at | 8 |
| energy | energy | 3 |
| discuss | discuss | 5 |
| electricity | electricity | 1 |

#### 表XVIII. 参与者B的句子推理结果
| 输入 | 输出 | 候选数 |
| --- | --- | --- |
| our | our | 20 |
| conference | conference | 1 |
| year | year | 21 |
| volatility | N/A | N/A |
| friends | N/A | N/A |
| on | on | 15 |
| we | we | 3 |
| of | of | 18 |
| at | at | 16 |
| energy | energy | 6 |
| discuss | discuss | 5 |
| electricity | electricity | 1 |

#### 表XIX. 参与者C的句子推理结果
| 输入 | 输出 | 候选数 |
| --- | --- | --- |
| our | our | 40 |
| conference | N/A | N/A |
| year | year | 12 |
| volatility | N/A | N/A |
| friends | N/A | N/A |
| on | on | 7 |
| we | we | 5 |
| of | of | 12 |
| at | at | 8 |
| energy | energy | 3 |
| discuss | discuss | 12 |
| electricity | electricity | 1 |

#### 参与者D的句子推理结果
| 输入 | 输出 | 候选数 |
| --- | --- | --- |
| the | the | 3 |
| economics | N/A | N/A |
| the | the | 5 |
| prices | prices | 14 |
| texas | texas | 6 |
| in | in | 8 |
| underlying | underlying | 1 |
| university | university | 1 |
| and | and | 30 |
| major | major | 8 |
| of | of | 14 |
| finance | finance | 2 |
| factors | N/A | N/A |

#### 参与者E的句子推理结果
| 输入 | 输出 | 候选数 |
| --- | --- | --- |
| the | the | 3 |
| economics | N/A | N/A |
| the | the | 3 |
| prices | prices | 10 |
| texas | texas | 6 |
| in | in | 8 |
| underlying | underlying | 1 |
| university | university | 1 |
| and | and | 54 |
| major | major | 60 |
| of | of | 6 |
| finance | N/A | N/A |
| factors | N/A | N/A |

#### 参与者F的句子推理结果
| 输入 | 输出 | 候选数 |
| --- | --- | --- |
| the | the | 2 |
| economics | N/A | N/A |
| the | the | 8 |
| prices | prices | 16 |
| texas | texas | 6 |
| in | in | 8 |
| underlying | underlying | 1 |
| university | university | 2 |
| and | and | 42 |
| major | major | 32 |
| of | of | 11 |
| finance | N/A | N/A |
| factors | N/A | N/A |

以上表格展示了不同参与者在句子推理实验中的结果。从数据可以看出，不同参与者之间的结果具有一定的可比性。
