### 事件日志格式规范

#### 1. 通用设备日志格式规范
| 序号 | 记录项                         |
|------|--------------------------------|
| 1    | 事件名称                       |
| 2    | 事件产生时间                   |
| 3    | 设备名称                       |
| 4    | 事件优先级                     |
| 5    | 事件严重等级                   |
| 6    | 事件详细信息                   |
| 7    | 事件分类1                      |
| 8    | 事件分类2                      |
| 9    | 事件输入字节数                 |
| 10   | 事件输出字节数                 |
| 11   | 事件传输协议                   |
| 12   | 事件进入的包数量               |
| 13   | 事件出去的包数量               |
| 14   | 事件发生设备地址               |
| 15   | 事件发生设备名称               |
| 16   | 事件入设备接口                 |
| 17   | 事件出设备接口                 |
| 18   | 事件发生设备厂家               |
| 19   | 事件源地址                     |
| 20   | 事件源端口                     |
| 21   | 事件目的地址                   |
| 22   | 事件目的端口                   |
| 23   | 事件设备进程                   |
| 24   | 源IP地址                       |
| 25   | 目标IP地址                     |
| 26   | 源端口                         |
| 27   | 目的端口                       |
| 28   | 协议                           |
| 29   | 策略类型                       |
| 30   | NAT转换外部地址                |
| 31   | NAT转换内部地址                |

#### 2. 交换机设备日志格式规范
| 序号 | 记录项                         |
|------|--------------------------------|
| 1    | 事件名称                       |
| 2    | 事件产生时间                   |
| 3    | 设备名称                       |
| 4    | 事件优先级                     |
| 5    | 事件严重等级                   |
| 6    | 事件详细信息                   |
| 7    | 事件分类1                      |
| 8    | 事件分类2                      |
| 9    | 事件进入的字节数               |
| 10   | 事件出去的字节数               |
| 11   | 事件传输协议                   |
| 12   | 事件进入的包数                 |
| 13   | 事件出去的包数                 |
| 14   | 事件发生设备地址               |
| 15   | 事件发生设备名称               |
| 16   | 事件入设备接口                 |
| 17   | 事件出设备接口                 |
| 18   | 事件发生设备厂家               |
| 19   | 事件源地址                     |
| 20   | 事件源端口                     |
| 21   | 事件目的地址                   |
| 22   | 事件目的端口                   |
| 23   | 事件设备进程                   |

#### 3. 流量分析日志格式规范
| 序号 | 记录项                                 |
|------|----------------------------------------|
| 1    | 网络镜像文件                           |
| 2    | 获取镜像时间                           |
| 3    | 流公用信息-用户账号长度                 |
| 4    | 流公用信息-用户账号                     |
| 5    | 流公用信息-BRAS地址长度                 |
| 6    | 流公用信息-BRAS地址                     |
| 7    | 流公用信息-链路编号                     |
| 8    | 流公用信息-包类型                       |
| 9    | 流公用信息-包子类型                     |
| 10   | 流公用信息-传输协议                     |
| 11   | 流公用信息-目的IP长度                   |
| 12   | 流公用信息-目的IP                       |
| 13   | 流公用信息-目的端口                     |
| 14   | 流公用信息-源IP长度                     |
